"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Participation-margin CATE","Sex","Male - Female",0.00701464224428973,-0.00944809752774542,0.0421665091085895,0.00731519643130976,-0.00846361557587591,0.0424946964683625,0.000737682603924788,-0.0236589047194099,0.0382892975820295,0.466375
"Participation-margin CATE","Race and ethnicity","Hispanic - White, non-Hispanic",-0.0226947864790762,-0.0553761144577223,0.000161044856671741,-0.0213676905013103,-0.0547007927662801,0.00167634710117487,0.00200363375316869,-0.049936444254474,0.00720106325185334,0.033375
"Participation-margin CATE","Race and ethnicity","Hispanic - Black, non-Hispanic",0.0210821201615361,-0.0174341803218301,0.0747752667332787,0.0204851402887437,-0.0176258430068776,0.0744118524934477,0.00224910909262295,-0.0328044836788721,0.0737747642563595,0.687875
"Participation-margin CATE","Race and ethnicity","Hispanic - Asian, non-Hispanic",-0.0246790073805924,-0.0720685824271712,0.00910453565611672,-0.0226773336597694,-0.0700014673785676,0.0113583145255961,0.00310048838415554,-0.057976288826523,0.0126216215069841,0.05375
"Participation-margin CATE","Race and ethnicity","Hispanic - Other or multiple, non-Hispanic",0.028503002121435,-0.0169253658936288,0.10905452318352,0.0318654489032558,-0.0135770810061243,0.111209008138932,0.00307790629740583,-0.0400982589651014,0.103829156771613,0.7495
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Black, non-Hispanic",0.0437769066406123,-0.000276141868001926,0.0955562256043741,0.041852830790054,-0.00210684159107224,0.0943516019661749,0.00161995784667677,-0.0096546133842599,0.0933602749643679,0.9625
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Asian, non-Hispanic",-0.00198422090151617,-0.0497607772270905,0.0389805454727539,-0.00130964315845909,-0.0488396086530253,0.0396469228202561,0.00272456488323355,-0.0415519778891692,0.0389326915722511,0.429875
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Other or multiple, non-Hispanic",0.0511977886005112,-0.00190052694568192,0.13204873971629,0.0532331394045661,0.000299423363918264,0.133207308600113,0.00238106783733386,-0.0200771777348245,0.126543456543957,0.975875
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic - Asian, non-Hispanic",-0.0457611275421285,-0.109392314841304,0.00477138994303449,-0.0431624739485131,-0.10621063328079,0.00648710953986445,0.00274283118411961,-0.104215371654522,0.0178904237574959,0.055375
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic - Other or multiple, non-Hispanic",0.00742088195989892,-0.0685784849181515,0.0949104522811448,0.0113803086145121,-0.0643809832931125,0.0979984399947574,0.00302803110643493,-0.0722632572692326,0.0950238744982567,0.603375
"Participation-margin CATE","Race and ethnicity","Asian, non-Hispanic - Other or multiple, non-Hispanic",0.0531820095020274,-0.00551524763793089,0.139576155431603,0.0545427825630252,-0.00337378455973067,0.140244438894671,0.00350776896450224,-0.0230245882822946,0.132110153408345,0.967375
"Participation-margin CATE","Age group","0-17 - 18-34",-0.0539677389646127,-0.0941978227932887,-0.0157528427995795,-0.0589308858622682,-0.0975222162371688,-0.0213675758647562,0.0015843744596696,-0.0978625091206204,-0.0199992626039161,0.000375
"Participation-margin CATE","Age group","0-17 - 35-49",-0.0560863679107702,-0.0967477017171526,-0.0170838302569264,-0.0612685219919591,-0.100260903709034,-0.0231036729225864,0.00128725578853664,-0.100811197973807,-0.0217258460101111,0.000125
"Participation-margin CATE","Age group","0-17 - 50-64",-0.0567044584762561,-0.0975421923065741,-0.0165299232400887,-0.0631737071907724,-0.101872392232802,-0.0238595737054406,0.00152894302056671,-0.102988018310332,-0.0233593960712132,5e-04
"Participation-margin CATE","Age group","0-17 - 65+",-0.0528313194757056,-0.0956535839436823,-0.00931428777418774,-0.0555639471156722,-0.0968677353509164,-0.0127248373764008,0.00162314485959629,-0.0980443858841301,-0.0130835083472142,0.005625
"Participation-margin CATE","Age group","18-34 - 35-49",-0.00211862894615752,-0.0207113563706379,0.0145526088097526,-0.00233763612969085,-0.0218443141680819,0.0152312744533158,0.00112260091846608,-0.0182820293039081,0.0136067570445264,0.305625
"Participation-margin CATE","Age group","18-34 - 50-64",-0.00273671951164337,-0.0218268665975186,0.0181922982567957,-0.00424282132850415,-0.0242398459883851,0.0175724470777711,0.00113483721352466,-0.0225658928959532,0.0140802502389449,0.216375
"Participation-margin CATE","Age group","18-34 - 65+",0.00113641948890712,-0.0218409485972766,0.0333966683224203,0.00336693874659606,-0.0198083678942162,0.0357556004758749,0.00138226482279034,-0.0230272624945975,0.0297611399877896,0.5325
"Participation-margin CATE","Age group","35-49 - 50-64",-0.000618090565485846,-0.0078827384712761,0.00895527024440784,-0.0019051851988133,-0.00888637476081005,0.00733367221823133,0.00116188222089599,-0.0106967206762614,0.00688635027863484,0.26275
