DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP A: Log-Normal Hurdle,1,1.17787206731502,0.0340762112105508,2.75447590470307,0.0806338015398361,0.942,0.132016810546701,8.89544642742375,1.25850586885486,2.17316143190742,0.446232932314308,0.958,-0.0200495584830905,3.90097538029086,1.62410499962933,NA,NA,NA,NA,NA,NA,0.0145316860883862,0.00353319091545906,1,0.662430071212661,0.247469238321661,0.0376094021260099
DGP A: Log-Normal Hurdle,2,1.26538835681386,0.0342525736893592,2.8496630550459,0.093812336778396,0.97,-0.410011684471718,7.26414038568396,1.17157602003546,1.2746080419218,0.175728720068162,0.788,0.0356198521492496,2.89601864381871,1.08965963674569,NA,NA,NA,NA,NA,NA,0.0299216089374611,0.0234773500461954,0.992,-0.196758257343226,0.169788659602738,0.0107752236431638
DGP A: Log-Normal Hurdle,3,1.16089515080127,0.0337552539442459,0.806035843661383,0.16779637710936,0.984,0.458320910703915,4.24545621833596,1.32869152791063,1.24932267855153,0.544278138368236,0.994,0.401055128817912,4.54345508764129,1.70517328916951,NA,NA,NA,NA,NA,NA,0.0267699919156436,0.0125066910314505,1,0.0487880014377572,0.216066687438384,0.0462619449756964
DGP A: Log-Normal Hurdle,4,1.15902252255854,0.0341860009290037,4.79884969592643,0.36913371983377,0.94,-0.432776746124373,9.08793970498226,1.52815624239231,2.20013139347709,0.648932165500843,0.888,-0.115757592907961,3.80189840574766,1.80795468805938,NA,NA,NA,NA,NA,NA,0.0171160737281442,0.00210184796447553,1,0.257629169546058,0.236096513295187,0.0362878488934792
DGP A: Log-Normal Hurdle,5,1.32941980398533,0.0342092103804721,3.89672267946405,0.906426505721669,0.902,0.206431302018024,6.96543588797362,2.235846309707,1.83607369354304,0.631372273191471,0.89,0.322225241694042,3.67590294372898,1.9607920771768,NA,NA,NA,NA,NA,NA,0.0252985255544187,0.0119082554843147,1,0.029087193774284,0.175593090628319,0.0461174658647868
DGP A: Log-Normal Hurdle,6,1.27260723934819,0.0335530779584051,0.958770402071163,0.112273612300605,0.974,0.02901081769812,4.73737959549477,1.16033362704758,1.78524734335649,0.554610093977629,0.896,0.167149360698493,3.52339371146607,1.82721733332582,NA,NA,NA,NA,NA,NA,0.0356194775496498,0.0308523295233444,0.996,-0.0130761600781671,0.176861671958326,0.00270074843506078
DGP A: Log-Normal Hurdle,7,1.3016135419188,0.0362052777828499,4.20261770100399,1.01264413253419,0.946,-0.121388492505091,7.10855146062135,2.31425767445299,2.25110761255604,0.829674426545014,0.884,0.0371218428823833,3.57481265269199,2.13128796846381,NA,NA,NA,NA,NA,NA,0.0355801219777046,0.0312330048472492,0.988,-0.0310635856704613,0.163484945253117,0.00497227293560072
DGP A: Log-Normal Hurdle,8,1.24279633581811,0.0351783931348561,0.949553971638463,0.0253316751374191,0.978,0.100103750727801,3.53008645503353,1.21746466068069,2.29113378095234,0.845360354411372,0.86,-0.0647342374490034,3.69263553076894,2.08815669022949,NA,NA,NA,NA,NA,NA,0.0269385043396196,0.0181395585375318,1,0.387289943001419,0.225772375449391,0.0533179516723879
DGP A: Log-Normal Hurdle,9,1.1975553822349,0.0337258855244657,3.94467605608677,0.643257804466011,0.968,-0.357751600369858,7.17145418143028,1.84081318670091,2.21055645199472,0.652283081235694,0.892,-0.0282304509070953,4.36178823073833,1.84983846347059,NA,NA,NA,NA,NA,NA,0.0281461001358764,0.0163720479660862,1,-0.0731977118857284,0.231223269266701,0.0173538375583795
DGP A: Log-Normal Hurdle,10,1.23214355078666,0.034032008468493,7.50087846627394,0.0170160288030001,0.72,-0.355133235675172,7.57303375386395,1.24915957958966,1.8239557124821,0.167432384795375,0.972,-0.0812801113336872,4.76767759438702,1.06471116599128,NA,NA,NA,NA,NA,NA,0.0453689709930582,0.0414263492070809,0.958,-0.247259795007447,0.169835774089186,-0.00739434073858797
