"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP A: Log-Normal Hurdle",100,3,0.367,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",250,3,0.367,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.367,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",1000,3,0.367,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",100,3,0.367,"DPglm",0.0855064644210812,0.0641424427955365,0.9797,1.943055
"DGP A: Log-Normal Hurdle",250,3,0.367,"DPglm",0.0673857587425734,0.0486117399436395,0.99472,1.982754
"DGP A: Log-Normal Hurdle",500,3,0.367,"DPglm",0.0527153793663407,0.0309563010023659,0.99688,1.9897495
"DGP A: Log-Normal Hurdle",1000,3,0.367,"DPglm",0.0569996728550925,0.0285526756340914,0.9966,1.989775
"DGP A: Log-Normal Hurdle",100,3,0.367,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",250,3,0.367,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",1000,3,0.367,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",100,3,0.367,"Gamma Hurdle",0.208405478111402,0.0691769171430972,0.951,0.818258177520592
"DGP A: Log-Normal Hurdle",250,3,0.367,"Gamma Hurdle",0.129232701201468,0.0419596490266169,0.95808,0.532037211987538
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma Hurdle",0.097816642570367,0.0315055726234993,0.9397,0.378905216940225
"DGP A: Log-Normal Hurdle",1000,3,0.367,"Gamma Hurdle",0.0706427746150243,0.0254799150437988,0.94807,0.269084480817777
"DGP A: Log-Normal Hurdle",100,3,0.367,"ZIC-BCF-Smear",0.068013497570646,0.0541274157675406,0.9894,0.479671024741985
"DGP A: Log-Normal Hurdle",250,3,0.367,"ZIC-BCF-Smear",0.0539581738512609,0.0419962952649448,0.99032,0.355912079791393
"DGP A: Log-Normal Hurdle",500,3,0.367,"ZIC-BCF-Smear",0.0460290284108184,0.0318931979726791,0.99326,0.271009052950584
"DGP A: Log-Normal Hurdle",1000,3,0.367,"ZIC-BCF-Smear",0.0397129562347341,0.0256340856779066,0.98629,0.222542647685686
"DGP B: Gamma Hurdle",100,3,0.395,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",250,3,0.395,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.395,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",1000,3,0.395,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",100,3,0.395,"DPglm",0.096498214680664,0.0753232736782227,0.9788,1.939665
"DGP B: Gamma Hurdle",250,3,0.395,"DPglm",0.0651295112933089,0.0452500922641664,0.99464,1.983712
"DGP B: Gamma Hurdle",500,3,0.395,"DPglm",0.0550011171815716,0.032693747986176,0.99654,1.989142
"DGP B: Gamma Hurdle",1000,3,0.395,"DPglm",0.0563576854731744,0.0302303151836868,0.99649,1.98893325
"DGP B: Gamma Hurdle",100,3,0.395,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",250,3,0.395,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",1000,3,0.395,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",100,3,0.395,"Gamma Hurdle",0.207839922196855,0.06893810637058,0.9498,0.818739957475795
"DGP B: Gamma Hurdle",250,3,0.395,"Gamma Hurdle",0.129189598240407,0.0419553628086665,0.95824,0.531761466940168
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma Hurdle",0.0975890582245453,0.0313038465047241,0.93994,0.379017930025852
"DGP B: Gamma Hurdle",1000,3,0.395,"Gamma Hurdle",0.0707379665267686,0.0255348789845285,0.94817,0.269135611668207
"DGP B: Gamma Hurdle",100,3,0.395,"ZIC-BCF-Smear",0.066918537580513,0.0531557302457164,0.9852,0.475107448647092
"DGP B: Gamma Hurdle",250,3,0.395,"ZIC-BCF-Smear",0.0539777788743313,0.0412548110600225,0.98816,0.355885283768542
"DGP B: Gamma Hurdle",500,3,0.395,"ZIC-BCF-Smear",0.0458557413945475,0.0318956484113767,0.9934,0.270559523834219
"DGP B: Gamma Hurdle",1000,3,0.395,"ZIC-BCF-Smear",0.0398827381260331,0.0256576870496447,0.98327,0.221678905792207
"DGP C: Tweedie Semicontinuous",100,3,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",250,3,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",100,3,0.18,"DPglm",0.0695915371526939,0.0469676880981925,0.813,1.416665
"DGP C: Tweedie Semicontinuous",250,3,0.18,"DPglm",0.0518365154281118,0.0316417477678082,0.84308,1.512205
"DGP C: Tweedie Semicontinuous",500,3,0.18,"DPglm",0.043577538983512,0.0233894192359805,0.87032,1.5827355
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"DPglm",0.0356718490834814,0.0173215369225075,0.88255,1.6390615
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",250,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma Hurdle",0.172511630377911,0.0500035226733285,0.975,0.88768693628106
