DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP B: Gamma Hurdle,1,1.07127747572252,0.0617059643281585,0.469619463383217,0.118251792042264,1,0.782462888801112,8.855943133819,0.953025683680255,0.633130265033519,0.40019984660417,1,0.793532725585193,7.17910918573584,0.671077629118349,NA,NA,NA,NA,NA,NA,0.0463383010855597,0.0378435436010494,1,0.262978997329213,0.429128189739972,0.0238624207271091
DGP B: Gamma Hurdle,2,1.00207997818749,0.0600397348895486,13.2789313286514,1.13556380733354,0.92,0.258808063088789,17.2846606583055,2.13764378552102,1.05401279085344,0.915418583209314,0.98,0.281042615184821,9.33894558203495,0.086661394978172,NA,NA,NA,NA,NA,NA,0.035986007885856,0.0251096325045502,1,0.480056937081945,0.499536247215763,0.0851493673940987
DGP B: Gamma Hurdle,3,1.03551223751252,0.0615025147570998,0.795478998738569,0.104144094971634,0.99,0.417572728923368,9.04027712444887,0.931368142540891,3.58450535247285,1.43256902415976,0.99,0.321497997218711,9.29001285755401,2.46808126167229,NA,NA,NA,NA,NA,NA,0.0747440686394597,0.0687160497490613,1,0.0676267980051359,0.469107663072404,0.130218564506161
DGP B: Gamma Hurdle,4,1.07793796879626,0.0663750221421076,6.10359543939468,1.19228845113029,0.89,0.188197890074812,12.9445274144197,2.27022641992655,1.66143014184391,1.44352449557917,0.84,-0.362346823718427,6.43191613855125,-0.365586526782906,NA,NA,NA,NA,NA,NA,0.0736438985812636,0.0688080266619525,1,0.239936880893188,0.385688277440371,-0.00243300451984489
DGP B: Gamma Hurdle,5,0.997745550804839,0.0582584365966988,5.74566150850133,0.207896017984673,0.95,0.100582983703245,15.4087231897836,0.789849532820165,0.915258122726595,0.171580202257667,1,0.404001050257581,9.14014321924715,1.16932575306251,NA,NA,NA,NA,NA,NA,0.0559150868326233,0.0460623292272884,1,0.328906800048219,0.475133641904079,0.104320765823987
DGP B: Gamma Hurdle,6,0.966342578829852,0.0570423361480862,1.16882876690986,1.03466486354523,1,0.444388621197181,5.51773446148108,-0.0683222847153812,0.739422636376606,0.0282681120644579,0.98,0.430814044036992,4.70050613172411,0.938074466765394,NA,NA,NA,NA,NA,NA,0.111915621623159,0.101368497228845,1,-0.540449344956868,0.481351262687866,0.158410833376931
DGP B: Gamma Hurdle,7,1.00369346793775,0.0610850425340274,0.654276172822769,0.0765992702073629,0.99,0.267935954311423,6.08611399777239,1.08029273814512,2.41868413860582,1.45735986378167,0.99,-0.0616839680403186,8.16461086316298,2.46105333171943,NA,NA,NA,NA,NA,NA,0.0331542663832848,0.017293036508403,1,-0.203831787537581,0.44177954379589,0.0783780790424304
DGP B: Gamma Hurdle,8,1.07062375601745,0.0648604243290116,0.67136409266663,0.303324100806587,1,0.414619018781063,4.71036379792089,0.767299655210864,0.913343076206812,0.701272594737068,0.93,0.423647658895623,5.21198475313337,0.369351161280383,NA,NA,NA,NA,NA,NA,0.0245130597410843,0.00555972849700304,1,0.156114739787384,0.454399655108533,0.0593006958320085
DGP B: Gamma Hurdle,9,0.957904933905896,0.0579511906550296,0.523616078017218,0.210224246385744,1,0.628899392700312,8.32601564584683,1.16812918029164,0.799731996338499,0.563827828902032,0.87,0.513617798589528,6.29129235159148,0.394077105003864,NA,NA,NA,NA,NA,NA,0.0269824726986236,0.00400027630098271,1,0.267122395102836,0.434777097213851,0.0539509143540469
DGP B: Gamma Hurdle,10,1.01276102311714,0.0582501899313164,3.32948469270223,0.446555947123042,1,0.166822605634556,15.3697749792074,1.45931697024018,0.74705485531755,0.396159745039617,1,0.318680662174251,6.1975070042125,0.616601278077521,NA,NA,NA,NA,NA,NA,0.0615351587616995,0.0568274069492497,1,0.41565331462605,0.447794901558074,0.00142278298206678
DGP B: Gamma Hurdle,11,1.06358973352961,0.060318863160327,1.72526651916747,1.54417318575327,0.89,0.0780071190025522,5.49388754115679,-0.480583452223668,1.18564529033894,0.95971363909106,0.9,0.42685461708354,6.88484161994852,0.103876094438546,NA,NA,NA,NA,NA,NA,0.109013581311024,0.101920994637837,0.96,-0.426747835402835,0.401546677993384,-0.0416021314775096
DGP B: Gamma Hurdle,12,0.914005576137963,0.0601203783167249,1.23162469473105,0.617401829014995,0.99,-0.0718647809746684,7.38439055802781,0.296603747122968,0.959690699961879,0.327899655701754,1,0.194085001573116,4.6958825317816,0.586105920436209,NA,NA,NA,NA,NA,NA,0.0235338540022297,7.94076588725182e-05,1,0.456626162838025,0.418878495820898,0.0600409706578524
