"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP B: Gamma Hurdle",1,"OK",1.02386081795244,0.0609373733025546,1.10232179895486,0.214102732970545,1,0.016521393011869,60.2313790112499,0.809758084981892,0.0591321428324514,0.0485293733025546,0.996,-0.0411599738930468,1.9921,0.012408
"DGP B: Gamma Hurdle",2,"OK",1.0935928822047,0.0611317147876129,1.39685345605023,1.18124185257097,1,0.483895925915861,63.38275499604,2.27483473477567,0.0616853563578085,0.0399002852123872,1,-0.0374491110928209,1.988,0.101032
"DGP B: Gamma Hurdle",3,"OK",1.04941968476852,0.0599685300516193,1.09954367421383,0.552340460251623,1,0.10843483532862,65.042805956389,0.4970792245169,0.0349927594947005,0.00703253005161934,1,0.0413999107945511,2,0.052936
"DGP B: Gamma Hurdle",4,"OK",1.11875928826024,0.0645764522847024,2.18859194005885,1.03915010168576,1,0.174999296272034,73.5660871404724,2.157909389946,0.0425857358512644,0.0130835477152976,1,-0.0911997302745323,1.996,0.07766
"DGP B: Gamma Hurdle",5,"OK",1.01686049490686,0.0620960771405408,1.43682715280745,0.750898189425054,1,0.127084912453095,73.5248130739121,1.76775868433191,0.0725728757758936,0.0645760771405408,0.988,0.0097726655268287,1.972,-0.00248
"DGP B: Gamma Hurdle",6,"OK",0.995796211988016,0.0585138626943219,1.39060420331533,1.05358576391171,1,0.56721357776637,70.4343443076258,2.04938197589972,0.0759676051449789,0.0626301373056781,1,0.150760307781701,1.996,0.121144
"DGP B: Gamma Hurdle",7,"OK",1.13047256925297,0.063896254771107,0.789867275482349,0.189724777264548,1,0.499626414624685,63.4139562776419,1.32019734651752,0.0556140171456732,0.041503745228893,1,0.030787333825041,2,0.1054
"DGP B: Gamma Hurdle",8,"OK",1.05451245221241,0.0639903770556158,0.901150784913546,0.51146186411324,1,0.409817339364184,59.4357948489176,1.56597431632565,0.0346728064128118,0.000277622944384168,0.996,0.090242797878802,1.984,0.064268
"DGP B: Gamma Hurdle",9,"OK",1.00654277288138,0.0622423698318759,1.56960748757248,0.279690658913692,1,0.139045635483529,66.3940569581572,1.28623343179507,0.145504462566818,0.130901630168124,1,0.160490853279411,1.988,0.193144
"DGP B: Gamma Hurdle",10,"OK",1.09092306653365,0.0591505664900695,0.769846887664453,0.397179766680259,1,0.555877061948894,61.7818325221686,1.48810283321391,0.0365907463995447,0.00662656649006952,0.988,0.0449192072081843,1.968,0.052524
"DGP B: Gamma Hurdle",11,"OK",1.08293271685498,0.0630362500390472,0.908629147457775,0.444503684214465,1,0.382924593055787,62.8677345920306,1.52743640106945,0.0378130479191119,0.00743225003904715,1,-0.0597029597290245,2,0.055604
"DGP B: Gamma Hurdle",12,"OK",1.07167943163405,0.0612782195443407,1.3276282057302,0.41898189132136,1,0.209612936692814,66.3021054242469,1.49066132295541,0.085674515198012,0.0732497804556593,1,0.0486080234431425,2,0.134528
"DGP B: Gamma Hurdle",13,"OK",1.06314696055363,0.0621558687133932,2.77052449486183,1.00000579271537,1,-0.00964526827518277,75.4358160974976,2.063152753269,0.0653692695993594,0.0507241312866068,1,0.0682962119651671,2,0.11288
"DGP B: Gamma Hurdle",14,"OK",1.01606588426303,0.0615067961192404,1.20324931556172,0.0876521576825249,1,0.126361155702829,67.2202304328919,0.928413726580508,0.0420012790568134,0.0225747961192404,1,0.036102989885575,1.988,0.038932
"DGP B: Gamma Hurdle",15,"OK",1.01128406253543,0.0613897708330026,2.94786308940487,2.47394163508623,1,0.313102811385886,66.7930820690327,3.48522569762166,0.115604939990321,0.0850502291669974,0.956,0.021237561192707,1.8482,0.14644
"DGP B: Gamma Hurdle",16,"OK",1.02181821850828,0.0618845466255146,1.92807786053721,1.73979070465668,1,0.483602217969596,62.1094871002121,2.76160892316495,0.0351479936758345,0.00312054662551461,1,0.0631372342121415,1.992,0.058764
"DGP B: Gamma Hurdle",17,"OK",1.04746884967539,0.0645931468744725,1.06832375362199,0.636917645778109,1,0.446772116312666,62.3961078074672,1.6843864954535,0.0737968301144439,0.0542948531255275,0.996,0.0346782135470245,1.9882,0.118888
"DGP B: Gamma Hurdle",18,"OK",1.05707179686313,0.0624458598132981,0.916209337687715,0.426895950402923,1,0.335739870438862,61.6412458159339,1.48396774726606,0.0340625344384481,0.0139738598132981,1,0.184953644402329,1.996,0.048472
