DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP A: Log-Normal Hurdle,1,1.13361171263085,0.0614567004604292,9.58074238763065,1.30714571185832,0.897,-0.275803004159775,6.3766717876247,2.44075742448916,2.37927188569746,0.724623712806877,0.948,0.104440557826364,3.8927877525988,1.85823542543772,NA,NA,NA,NA,NA,NA,0.0390714372406983,0.0106586005091364,1,0.296033037253864,0.298660633759573,0.0721153009695656
DGP A: Log-Normal Hurdle,2,1.19029251339734,0.0633362563340666,6.17619047070969,1.69578885840905,0.896,0.0501053624339169,7.84730843396496,2.88608137180639,2.393004930296,1.27824069817162,0.844,0.353357600157854,3.68841438399926,2.46853321156896,NA,NA,NA,NA,NA,NA,0.0360011367390283,0.0159797753614225,0.999,-0.130843041496921,0.214817715104192,0.0793160316954891
DGP A: Log-Normal Hurdle,3,1.17204235489226,0.0612173262296859,3.60962593885672,0.13926545505368,0.96,0.155130189163625,6.80429843093599,1.31130780994594,1.44988963404706,0.668319463695859,0.974,0.626242689387387,3.28510119389434,1.84036181858812,NA,NA,NA,NA,NA,NA,0.057732275050807,0.050848888620061,1,0.487832480792717,0.244380775920096,0.112066214849747
DGP A: Log-Normal Hurdle,4,1.189005954739,0.0622989220253295,0.738714785469054,0.0578955764522398,0.989,0.513831973691184,2.92549339378101,1.24690153119124,1.18523977822496,0.588004874609268,0.984,0.622095664823254,2.90252039064629,1.77701082934827,NA,NA,NA,NA,NA,NA,0.0254990423763517,0.00392631278905717,1,0.330052631743063,0.180472939192249,0.0662252348143867
DGP A: Log-Normal Hurdle,5,1.1639398562912,0.061301634659011,7.06818213318013,0.107748527127916,0.82,0.155806086310181,5.46103988182128,1.27168838341911,1.85920990679676,0.740711555749158,0.981,0.265557040778726,3.97665833796928,1.90465141204035,NA,NA,NA,NA,NA,NA,0.0617298823476094,0.0371157735839664,0.982,-0.15376803704873,0.282462935989201,0.0984174082429774
DGP A: Log-Normal Hurdle,6,1.17800007303323,0.0609359749226901,3.36700084819923,0.0371135233574007,0.973,0.00329003688529683,5.45573617998363,1.21511359639063,1.05866255683848,0.0861814248124734,0.896,0.512263921042733,2.65686781613719,1.26418149784571,NA,NA,NA,NA,NA,NA,0.0310443445894971,0.0218710512229168,1,0.556387484541164,0.224101033147676,0.0390649236997733
DGP A: Log-Normal Hurdle,7,1.22267579896178,0.0631129316851842,4.94571148567045,0.682171588353809,0.837,0.22413848143783,6.0017649998065,1.90484738731559,1.77331984678201,0.77894711334993,0.943,0.36906942689384,3.67493323561068,2.00162291231171,NA,NA,NA,NA,NA,NA,0.0268321455923998,0.00156564299124295,1,0.0343751118799756,0.171583882702369,0.0615472886939413
DGP A: Log-Normal Hurdle,8,1.21131688155375,0.0624204089489714,5.24844562329097,0.856735987486147,0.788,0.0366076896643117,6.47641182600753,2.0680528690399,1.64208594549292,0.489599479222644,0.97,0.30693904855822,3.13768823634441,1.7009163607764,NA,NA,NA,NA,NA,NA,0.0215447115421058,0.00795689474466539,1,0.641122928547173,0.220840879583499,0.0703773036936367
DGP A: Log-Normal Hurdle,9,1.15399451472814,0.0614879138001816,0.873693128604857,0.208848458295918,0.983,0.245386057033324,4.4538362625181,1.36284297302405,0.872905328863845,0.283923129460503,0.999,0.558255821115678,3.78344679857084,1.43791764418864,NA,NA,NA,NA,NA,NA,0.0217720965631094,0.0171319233966705,1,0.866827130761071,0.249527784345385,0.0786198371968521
DGP A: Log-Normal Hurdle,10,1.17369326105997,0.0616496440515706,1.08290990786389,0.333142479783771,0.914,0.0454033987164407,3.60781697621025,0.840550781276203,1.85294589080021,0.780724104771545,0.928,0.395590794509354,3.09650633018083,1.95441736583152,NA,NA,NA,NA,NA,NA,0.0396448065260566,0.0208202049090004,0.997,-0.226879836444384,0.226244913081186,0.0824698489605711
