"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP C: Tweedie Semicontinuous",1,"OK",2.70001496934885,0.0212458164602577,2.93306005360624,0.492942195951986,0.996,0.84029043856804,5.04268691106035,2.20707277339686,0.103546222460196,0.0399822380795826,0.926,0.511522179982669,0.296421190192304,0.0612280545398403
"DGP C: Tweedie Semicontinuous",2,"OK",2.55317675197361,0.021305719934207,2.36359256625043,1.03550041421139,0.978,0.993112284690403,4.54840922003394,3.588677166185,0.0903822692609064,0.0522317194616314,0.752,0.661405092354411,0.299488308461864,0.0735374393958384
"DGP C: Tweedie Semicontinuous",3,"OK",2.73018673183198,0.0209051289857752,1.37003319878628,0.564475836677123,0.952,0.962979632799982,4.87416438748779,3.2946625685091,0.0460392429241913,0.0065994083231572,1,0.144148645834244,0.267541969901328,0.0275045373089324
"DGP C: Tweedie Semicontinuous",4,"OK",2.5817345812308,0.0211293249316936,1.6782414099215,0.321925712176717,0.976,0.923624668281889,4.79179037577705,2.90366029340752,0.054835907162391,0.0158183110509365,1,-0.0710329823794272,0.289820067784576,0.00531101388075713
"DGP C: Tweedie Semicontinuous",5,"OK",2.76067895691057,0.0211869762912533,5.51171809369186,0.845534678325003,0.972,0.982682928802276,5.35553880901103,3.60621363523558,0.0907391828884387,0.00262059375425603,0.97,0.0967222393918823,0.273304173708249,0.0185663825369973
"DGP C: Tweedie Semicontinuous",6,"OK",2.31780948834592,0.0210303316287965,1.13539130345953,0.0960325814061587,1,0.959213996139812,4.44206888054415,2.22177690693976,0.0508738558798539,0.00078385321512248,0.998,-0.033335406427795,0.273138033275607,0.021814184843919
"DGP C: Tweedie Semicontinuous",7,"OK",2.44430281866847,0.0226334155846351,1.78528358404207,0.084033888004596,0.932,0.967247535226595,4.45233329076602,2.36026893066387,0.0774126534097142,0.0045100298684483,0.994,0.214513529656266,0.288308232849394,0.0181233857161868
"DGP C: Tweedie Semicontinuous",8,"OK",2.45747559382589,0.0218233227907417,1.21106942277085,0.326490731900076,1,0.948232106244951,4.7436298608626,2.78396632572597,0.103220846036541,0.0251068866389928,0.68,0.0325907407596196,0.273497681024555,0.0469302094297345
"DGP C: Tweedie Semicontinuous",9,"OK",2.50993222327545,0.0209743183776661,1.11736611273126,0.0150430056145734,1,0.967738246129309,4.50911404948645,2.52497522889002,0.0746215861140419,0.00619841905105309,0.938,0.18575387525245,0.259104556922056,0.014775899326613
"DGP C: Tweedie Semicontinuous",10,"OK",2.6874220838882,0.0212399421254203,2.43764074927983,0.665870499673598,1,0.998323068727307,5.13020897149815,3.3532925835618,0.0455463655977802,0.00473186921082926,1,-0.0388753782458078,0.290612950311766,0.016508072914591
