"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP B: Gamma Hurdle",1,"OK",1.00040882513034,0.0614567004604292,2.1137818332161,0.173588821607414,0.962,0.0566282726985077,3.46610654035729,1.17399764673775,0.0572222643459696,0.00856389032569196,1,0.314785151637739,0.265220285115562,0.0700205907861212
"DGP B: Gamma Hurdle",2,"OK",1.05042945624279,0.0633362563340666,1.03420942862116,0.441352749275559,0.892,0.739751800184104,3.18726744009182,1.49178220551834,0.0643198040577773,0.0166288779654216,0.999,0.000271085040803921,0.274327801499801,0.0799651342994882
"DGP B: Gamma Hurdle",3,"OK",1.03432374789037,0.0612173262296859,1.37542047421374,0.410779905049843,0.995,0.405938955332743,3.1744231410795,0.623543842840532,0.0822830410113581,0.0451098272406124,0.899,0.468498634176871,0.269592899378612,0.106327153470298
"DGP B: Gamma Hurdle",4,"OK",1.04929407221181,0.0622989220253295,1.20909616561797,0.287409508423273,0.994,0.570144947120248,3.3500601472578,1.33670358063508,0.0435203718810951,0.0167517891604784,1,0.364958947859292,0.269206075771563,0.0790507111858079
"DGP B: Gamma Hurdle",5,"OK",1.02717331797174,0.061301634659011,1.88758615370127,0.422666690985915,0.942,0.201326974704852,3.49157417268549,0.604506626985824,0.111253650239197,0.0376487131315355,0.802,-0.0449629139864474,0.266242386842292,0.0989503477905465
"DGP B: Gamma Hurdle",6,"OK",1.03958141569625,0.0609359749226901,1.34591211560242,0.210621097472835,0.938,0.742465251298444,3.52435623230019,1.25020251316909,0.075382253336508,0.0220968623388005,0.958,0.503937696611808,0.265858222069955,0.0388391125838896
"DGP B: Gamma Hurdle",7,"OK",1.07900760544891,0.0631129316851842,0.871237598356681,0.188770796075414,1,0.243528243360484,3.67166859514037,0.890236809373499,0.047631705851011,0.011397726923645,1,-0.0302697021119139,0.276599846501206,0.0517152047615392
"DGP B: Gamma Hurdle",8,"OK",1.06898339601962,0.0624204089489714,1.1645423444755,0.13596408475962,0.976,0.740045638708615,3.39497496406189,1.20494748077924,0.0302014705337806,0.00312692359972784,1,0.704232525828339,0.274202613243507,0.0655473325486992
"DGP B: Gamma Hurdle",9,"OK",1.01839658484719,0.0614879138001816,2.58229398152752,0.741533332614747,0.985,0.238563188716103,3.56633664082147,1.75992991746194,0.0686117025936002,0.0200077006388095,0.949,0.787956982882775,0.26956380291593,0.0814956144389911
"DGP B: Gamma Hurdle",10,"OK",1.03578066746984,0.0616496440515706,1.44452588215223,0.589326504026216,0.962,0.713713782049023,3.45905952476009,1.62510717149606,0.0832698070370715,0.0192833397836218,0.945,-0.248752043762436,0.269856212466578,0.0809329838351925
"DGP B: Gamma Hurdle",11,"OK",1.0604309773695,0.0620993353981448,0.733468055957334,0.100243393577609,1,0.669502369389363,3.43596854069584,0.960187583791889,0.0838092395275691,0.0291908872345528,0.921,0.490795217195226,0.26442786410913,0.0912902226326976
"DGP B: Gamma Hurdle",12,"OK",1.04138404261161,0.062176307588183,1.11836330403412,0.48396411490647,1,0.669579815487457,3.40759880716311,0.557419927705142,0.0461382680868677,0.0273349831066275,1,0.715872205569018,0.279016817845685,0.0348413244815554
"DGP B: Gamma Hurdle",13,"OK",1.07594226966654,0.0620650299384153,1.73685050584764,0.534780630311192,0.975,0.195580847819156,3.36271808805054,0.541161639355344,0.0731655951167817,0.00621088694423003,0.979,0.32751289597476,0.265550527525014,0.0682759168826453
"DGP B: Gamma Hurdle",14,"OK",1.05899784521093,0.0611413902384271,1.30084267931348,0.0802179658200382,0.963,0.51258155252842,3.38767950650008,0.978779879390892,0.0785404962947585,0.00329727704089671,0.955,0.25708986208077,0.26999667862538,0.0644386672793238
"DGP B: Gamma Hurdle",15,"OK",1.0230226448135,0.0615839784657813,0.797611062377233,0.0658004222796375,0.997,0.666213103257819,3.12853894228745,0.957222222533859,0.0711488186503235,0.02304609882835,0.981,0.421250094675781,0.270879893647569,0.0385378796374312
"DGP B: Gamma Hurdle",16,"OK",1.02662103607375,0.0608020964600703,0.918797172106159,0.09515328951808,1,0.547437039072113,3.20652116234815,1.12177432559183,0.0417416460475824,0.0146720945276741,1,0.863100106849415,0.271383859072016,0.0461300019323962
