"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP A: Log-Normal Hurdle",1,"OK",1.21391641442031,0.0617059643281585,4.7721809126615,1.43040822365821,0.97,0.533793636186569,12.8722029586133,2.64432463807851,0.171430531601997,0.074998413365859,1,-0.167239136620816,0.831150101564019,-0.0132924490377005
"DGP A: Log-Normal Hurdle",2,"OK",1.13550537713239,0.0600397348895486,2.1032533444674,0.0740392581499141,0.99,0.510880384578372,8.26038521783979,1.2095446352823,0.156016240961785,0.100071373647592,1,0.368168284536834,0.82235937720326,0.160111108537141
"DGP A: Log-Normal Hurdle",3,"OK",1.17338909006909,0.0615025147570998,7.22675163362342,3.22165522715497,0.99,0.255538860515692,13.8880094149443,4.39504431722406,0.154296725640103,0.0506600298787641,1,-0.218846175238093,0.84883409317442,0.112162544635864
"DGP A: Log-Normal Hurdle",4,"OK",1.22146374184348,0.0663750221421076,1.99745196347661,0.720863641025605,0.99,-0.380582863205694,8.17618233713088,0.500600100817877,0.159317342322497,0.076023791783455,1,-0.0497343192504568,0.827539217956296,-0.00964876964134738
"DGP A: Log-Normal Hurdle",5,"OK",1.13059382744881,0.0582584365966988,2.70665643397801,0.673014218826291,1,0.216543646607415,13.2557002978818,1.8036080462751,0.180513501590158,0.0462730745535592,1,0.0615907598283518,0.76721401321292,0.104531511150258
"DGP A: Log-Normal Hurdle",6,"OK",1.09500959833365,0.0570423361480862,4.85129938889181,0.573381531970492,0.88,0.0385467772362518,10.5387100649677,0.521628066363163,0.304389827037492,0.0813217319643967,0.88,-0.58824724628311,0.819793882518167,0.138364068112483
"DGP A: Log-Normal Hurdle",7,"OK",1.13733370054694,0.0610850425340274,8.24774101531998,1.88460214806013,1,0.482212390624811,12.3943267983116,-0.747268447513189,0.186501424219066,0.0186100111999694,1,-0.465632862406621,0.808889435619571,0.042475031334058
"DGP A: Log-Normal Hurdle",8,"OK",1.21317565294777,0.0648604243290116,4.58643369291498,1.79283082422198,1,0.108389829584237,11.6508454328757,3.00600647716974,0.091286691420964,0.0104853024201561,1,0.721834230341807,0.805061518503215,0.0753457267491676
"DGP A: Log-Normal Hurdle",9,"OK",1.08544849404055,0.0579511906550296,1.99346753209391,0.204754642732513,1,0.301198267377056,9.9192523112051,1.29020313677306,0.259899310622793,0.0197803864620314,0.93,0.511056757075608,0.77278048079126,0.0381708041929982
"DGP A: Log-Normal Hurdle",10,"OK",1.14760858667156,0.0582501899313164,4.2964601300437,0.377790586389211,0.99,0.530020510257111,14.0516016966522,1.52539917306077,0.17453071866163,0.146091500265308,1,0.546154589200349,0.861938135384442,-0.0878413103339913
"DGP A: Log-Normal Hurdle",11,"OK",1.20520506124683,0.060318863160327,2.16737164824549,0.247709092478542,0.99,0.51309969652349,11.7833905556785,0.957495968768289,0.154045004235867,0.103525625560377,1,-0.35371528639433,0.806389040033668,-0.0432067624000502
"DGP A: Log-Normal Hurdle",12,"OK",1.03570400469519,0.0601203783167249,17.9577244245422,3.30258663533188,0.87,0.682154610961285,14.3058324298765,-2.26688263063669,0.212058943499538,0.0467157569482444,0.95,0.619283922907359,0.791787097896339,0.106836135264969
