"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP C: Tweedie Semicontinuous",1,"OK",2.37571357231139,0.0218201539500285,1.8487779882042,0.131084421426193,1,0.935110798692082,6.67665548157446,2.50679799373759,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",2,"OK",2.62870557736534,0.0213337935719748,4.04370987394494,0.370609024545449,0.864,0.799443164704775,8.57329396083503,2.25809655281989,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",3,"OK",2.84585068544022,0.0207167250345648,4.17249007094737,1.11804341674677,0.944,0.62058831164781,8.23797072178203,1.72780726869345,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",4,"OK",2.48464419261649,0.0224780800567295,1.43874682254634,0.353872300519494,1,0.946791435081992,7.84408562905449,2.13077189209699,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",5,"OK",2.71369592753468,0.0215322289638972,1.51905418131524,0.21806886413233,1,0.953281574128682,8.91153808301711,2.93176479166701,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",6,"OK",2.23247383325208,0.0210693498965256,3.40478561000953,1.15135524482013,0.956,0.599389783481264,7.13723867421337,1.08111858843195,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",7,"OK",2.46097788109682,0.0220996929827799,1.59552465161042,0.0585139519070461,1,0.930768621358576,7.29031121043083,2.40246392918977,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",8,"OK",2.75428068735422,0.0218953488351838,3.78581812785714,0.705520874752001,0.984,0.57255860354111,7.95600449270902,2.04875981260222,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",9,"OK",2.5528860139538,0.021167832917919,3.89268800116036,1.03885197906864,0.996,0.951323950989786,8.11996270476065,3.59173799302244,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",10,"OK",2.49296592303261,0.0217399046390286,5.14341783201635,0.351553451158645,0.752,0.312912702943748,7.72468465183036,2.14141247187397,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",11,"OK",2.31922186555094,0.0216004615278234,1.98406859363246,0.214266759446142,1,0.931350336771813,7.95321533730272,2.53348862499708,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",12,"OK",2.79251047366805,0.0210465939054191,3.35199245392734,0.395596630515641,1,0.738917525510424,8.80648175536442,2.39691384315241,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",13,"OK",2.64194165301296,0.0217636614080272,4.15072871130142,0.984486267433561,0.968,0.929228405323073,9.07391238896032,3.62642792044652,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",14,"OK",2.63355136971793,0.0212770784027434,4.00865468871494,0.629024550643928,0.816,0.54435027788694,7.54215115318462,2.004526819074,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",15,"OK",2.67306921319688,0.0223559693986991,3.62343898663539,1.93127411809124,0.912,0.859363107497908,8.64204218455269,0.74179509510564,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",16,"OK",2.56948756432939,0.021347937677912,2.62592467127876,0.339367665019944,0.996,0.716907832655534,7.89127907756147,2.23011989930944,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",17,"OK",2.4642807302194,0.0222370887429775,4.272452402715,0.588404226335953,0.888,0.907689203736485,8.91033758979312,3.05268495655535,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",18,"OK",2.39264312864018,0.0219665593634184,2.49415310853523,0.142595056153743,1,0.954185760789935,8.22721965327119,2.25004807248644,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",19,"OK",2.79796599297036,0.0205219994087447,2.62912486044001,0.66224914785847,1,0.961929766602146,8.37827038573491,3.46021514082883,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",20,"OK",3.36740745600922,0.0197197595260066,5.08935652963032,0.636610915655185,1,0.994198552090464,11.2493474167342,4.0040183716644,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",21,"OK",2.71287922890403,0.0209183999349454,3.10774000270013,0.695126768136737,1,0.872340195141538,8.79877663512056,3.40800599704077,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",22,"OK",2.21248873794823,0.0222917992098299,2.33927715657429,0.44950818351626,0.984,0.931473425933341,7.33656671798704,1.76298055443197,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",23,"OK",2.6226215690809,0.0225169236619374,4.1837178692443,1.67128284053667,1,0.96130392006808,8.6131255516437,4.29390440961758,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",24,"OK",3.01412880406285,0.0213909903152175,3.51201449238126,0.684648242447016,1,0.89977683349423,7.50752190043748,2.32948056161583,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",25,"OK",3.30098642192026,0.0210374448366916,3.34072511060574,0.535818368450554,1,0.938309220935072,9.10284693298619,3.83680479037081,NA,NA,NA,NA,NA,NA
