"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP A: Log-Normal Hurdle",1,"OK",1.1096997396477,0.0118031604407881,2.1324382305253,0.267483951362903,0.872,0.554384798384673,4.3386545713663,1.3771836910106,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",2,"OK",1.22368738814138,0.0113056811273697,1.12119441614228,0.351104803482898,1,0.89974223960631,4.07294981406102,0.872582584658487,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",3,"OK",1.11517004148068,0.0109262618963662,1.54892441653323,0.279153560217019,0.99,0.895959143972214,4.03661429644176,0.836016481263664,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",4,"OK",1.09215211339109,0.0111327539751749,1.50240029585595,0.651749596122238,0.93,0.735147451122675,4.0739462917563,0.440402517268852,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",5,"OK",1.28772228955732,0.0112212266445524,0.677784236682255,0.218569036176934,1,0.932459079235143,4.23877669055484,1.06915325338039,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",6,"OK",1.23401434004357,0.0113190698495429,1.43360272273635,0.210334085766366,0.998,0.430062781961849,4.55933451571267,1.02368025427721,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",7,"OK",1.25700822486956,0.0122542943690812,1.37128724976928,0.361374268525471,0.984,0.561239530044003,4.2750466583704,1.61838249339503,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",8,"OK",1.1775590499659,0.0118400699208606,1.6206455677928,0.198038785751973,0.942,0.573408780162295,4.3179592081248,0.979520264213929,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",9,"OK",1.1526562018398,0.0111025147286804,2.53017762994714,0.739785663340223,0.73,0.0955367061425184,4.48258528596851,1.89244186518002,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",10,"OK",1.17290188906914,0.0117427485672918,2.44913783676926,0.593402305065071,0.81,0.788654056568906,4.12088179094036,0.579499584004068,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",11,"OK",1.17298595277844,0.0113609353804827,1.43560545580489,0.105475433315028,0.912,0.153472461682562,3.86196292050298,1.27846138609347,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",12,"OK",1.19171937496789,0.0122288981615744,1.43875906979006,0.398728267679976,1,0.262491869519554,4.52796839107787,1.59044764264786,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",13,"OK",1.21866831007128,0.0116962467183285,1.26394559168541,0.493143374714577,1,0.589229778439928,4.10845609869244,0.725524935356708,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",14,"OK",1.08993837475591,0.0117195148254679,1.97099752838367,0.209187575783398,0.924,0.306818589284562,4.64367656058709,1.29912595053931,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",15,"OK",1.14789792793876,0.0114240057125764,1.73803219602984,0.473536282584789,0.834,0.154832418454649,3.96784611927033,1.62143421052354,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",16,"OK",1.19214971926295,0.012052998415725,1.04002141684386,0.147071109619644,1,0.449828635658933,4.28000626635402,1.3392208288826,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",17,"OK",1.17363536802974,0.011402428388958,1.43923927713837,0.489632425393415,1,0.266980008266741,4.50515111863739,1.66326779342315,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",18,"OK",1.12686753556993,0.0121304240116203,1.20621335872922,0.474670074444418,1,0.81589995141512,4.47016336832687,1.60153761001435,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",19,"OK",1.16275652266159,0.0115287557444602,2.06983144534546,0.506797729683712,0.99,0.0418084507393124,4.42115496400847,1.66955425234531,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",20,"OK",1.10149084342169,0.0115952392304588,1.04824365182338,0.150842805458947,1,0.944132102855816,4.37896452913555,0.950648037962744,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",21,"OK",1.16806748152273,0.0115892091940298,1.92072324896541,0.191370196673475,0.914,0.279832661725139,3.87967709371606,0.976697284849253,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",22,"OK",1.22789851810926,0.0118719084204687,1.84896783740476,0.667789343691919,0.882,0.553138931876694,4.16608762835229,0.560109174417339,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",23,"OK",1.20084268956015,0.0119150849716691,1.60145097001093,0.190492845743841,0.976,0.568826073762645,4.71091418690942,1.01034984381631,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",24,"OK",1.05174899307865,0.0111505717337904,1.96083353226166,0.486255868474916,0.976,0.896062303869149,4.23527979609466,0.565493124603733,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",25,"OK",1.18216953953413,0.0110793664834216,1.31958548142539,0.0889667758352043,0.958,0.723510346239883,4.09314967070522,1.09320276369892,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",26,"OK",1.07696742284682,0.0120331032952641,0.712209858707911,0.104863878217722,1,0.888236846066798,4.4550897899575,1.18183130106454,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",27,"OK",1.24268815380876,0.0119584894853845,1.20299141098628,0.187037261947143,1,0.832516327991738,4.67993326177544,1.05565089186162,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",28,"OK",1.14018676488828,0.0113626064329089,1.154445421863,0.272254997432259,1,0.797313579270714,4.53458315340182,1.41244176232054,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",29,"OK",1.17995288328917,0.0119853886918549,2.16135682255544,0.308514527751606,0.974,0.273396408292969,4.11234860834645,1.48846741104077,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",30,"OK",1.30310138901695,0.0121022304463438,1.08847603004576,0.20253654364503,1,0.645806456022093,3.49759745414571,1.10056484537192,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",31,"OK",1.1858981190144,0.0117936094528603,1.07968198829618,0.336853695606762,0.982,0.603513165017402,3.78959282769266,0.849044423407633,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",32,"OK",1.16036700076495,0.0115778673823159,2.44047805517932,0.998792609133332,0.862,0.911752380374543,4.32240889931786,0.161574391631615,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",33,"OK",1.24143518588965,0.011499765603714,1.30460084044437,0.490345559453956,0.996,0.518466046234566,4.0110320806029,0.75108962643569,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",34,"OK",1.1745025512704,0.0110778326370529,1.4965259519904,0.243631288926198,0.934,0.789135975321968,3.80657359504464,0.930871262344205,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",35,"OK",1.19281493485447,0.0118101845120769,1.6887208440467,0.416503176046746,0.998,0.33886998291392,4.57646595127433,1.60931811090122,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",36,"OK",1.13318519595679,0.0114807851868501,4.85847828818498,1.87201862106085,0.758,0.76025476420172,4.64852932587381,-0.738833425104064,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",37,"OK",1.15894428710232,0.0113612767882601,2.97621501156494,1.34778799300807,0.932,0.14728224471596,4.85375041140157,2.50673228011038,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",38,"OK",1.20725692024435,0.0118479487805562,1.8744561335774,0.421584017253395,0.96,0.16121271769457,4.64374558407801,0.78567290299096,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",39,"OK",1.16168300805254,0.0114518068224047,2.90414214927346,0.808929611785166,0.922,0.888713880189024,5.02903214759973,0.352753396267375,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",40,"OK",1.10689119004391,0.0116239311336542,1.98206705176674,0.304947835115213,0.952,0.780297957807573,4.39312440280282,0.801943354928696,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",41,"OK",1.21094565467594,0.0115615966543053,1.77537821553704,0.776578307343069,1,0.803096851356294,5.09334664198388,0.43436734733287,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",42,"OK",1.15880355088771,0.0112472288672842,1.41915477147329,0.278044948252943,0.97,0.344089160314406,4.07719055334403,0.880758602634771,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",43,"OK",1.19148955658689,0.0111946235880349,1.43453873181247,0.147571342253043,0.96,0.390419928349105,4.25043687160459,1.33906089883994,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",44,"OK",1.14205878221771,0.0115622705471914,1.75346691645009,0.649220006173935,0.992,0.266781993058854,4.59062251668959,1.79127878839164,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",45,"OK",1.16957516705799,0.011494760030173,0.421544362173492,0.281504368726883,1,0.987514295833047,4.16068034131838,1.45107953578487,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",46,"OK",1.22782833804989,0.0121957432827865,2.24499632587803,0.721825918099657,0.846,0.376477081417509,4.00039778946367,1.94965425614955,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",47,"OK",1.21244410007433,0.0107817653040442,0.95684454520623,0.0646667538277079,0.996,0.691139970362392,4.35820203697238,1.27711085390204,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",48,"OK",1.24598888751097,0.0127093197331902,3.87805349332921,0.599269537898079,0.76,0.751024928334976,4.64253478087357,0.646719349612895,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",49,"OK",1.18032813199225,0.0111619494983859,1.54051630270337,0.093013546239836,0.876,0.565462000221596,4.13979816329981,1.08731458575241,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",50,"OK",1.14966829267359,0.0120609639760419,1.59040823819074,0.0762298561130077,0.922,0.648205306017524,4.06716964238363,1.07343843656058,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",51,"OK",1.2300872266788,0.0120531838379584,1.92778470162204,0.449160681059974,0.938,0.590488049426979,4.30373075058562,0.780926545618823,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",52,"OK",1.14607967108702,0.0115220997925947,1.99240063821701,0.809709833061784,0.952,0.0313243348322247,4.26407993639202,1.9557895041488,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",53,"OK",1.19753350514161,0.0117314553547116,4.21656226483498,1.54665972770488,0.822,-0.403645312063463,4.50410084858928,2.74419323284649,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",54,"OK",1.25555855306626,0.0121115464206756,2.01016679675704,0.663111956691929,0.956,0.0770417906564906,4.03574148674931,1.91867050975819,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",55,"OK",1.20113557965195,0.0117003925343932,1.34386241503439,0.236582046435201,0.968,0.579774902266188,4.05898459917064,1.43771762608715,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",56,"OK",1.15364112163704,0.0113593060892639,2.14118794566257,0.859015405253415,0.86,0.0459708156182403,3.68747511230819,2.01265652689046,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",57,"OK",1.19699117676619,0.0112021563142942,0.974213700253544,0.168122997091779,0.998,0.639836953541466,4.00941678260256,1.02886817967441,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",58,"OK",1.19958803666789,0.0116111764898692,2.60332216155413,0.300909826397024,0.84,0.248386033849867,4.2735283686854,1.50049786306492,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",59,"OK",1.24292624246703,0.0118878240006061,0.951111062454473,0.1297146979395,1,0.434030212390049,4.13630641743772,1.37264094040653,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",60,"OK",1.19797468327617,0.0108748319866129,2.27303992197104,0.793230936148007,0.948,0.766702715774381,4.18800569838457,0.404743747128162,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",61,"OK",1.21314308100743,0.011490935254409,1.26324006322662,0.208599493870606,0.99,0.774540781369486,4.51365030321385,1.00454358713682,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",62,"OK",1.20933353225572,0.0108624556718823,1.43808228232355,0.417074557139721,1,0.534332800578875,4.67231429882746,0.792258975115998,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",63,"OK",1.18019179804411,0.0120465353912578,1.6299252328946,0.10886579644198,0.894,0.515775857050862,4.34763235306545,1.28905759448609,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",64,"OK",1.16528104653591,0.011657994640891,0.808936925987577,0.0653246942028898,1,0.754518818230683,4.54431031766979,1.2306057407388,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",65,"OK",1.2127227762852,0.0117456858806796,0.853043223805135,0.34565625895298,1,0.796918880987216,4.44730726341194,1.55837903523818,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",66,"OK",1.16071936026279,0.0117367162079932,0.874893935257788,0.172085393715686,1,0.87832848977948,4.46698028599846,0.9886339665471,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",67,"OK",1.24520968246613,0.0116981209952638,0.978821013038536,0.468513007895645,1,0.712655057363761,3.90425640915571,1.71372269036177,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",68,"OK",1.18813411786791,0.0114053658348888,1.78577360762289,0.14873264786561,0.938,0.573283988369765,4.23616552996438,1.33686676573352,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",69,"OK",1.14811917919351,0.011843341971916,1.81425161761878,0.324922319270288,0.97,0.483593408479799,4.29359285106612,1.4730414984638,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",70,"OK",1.06025869022243,0.0114399757119992,3.12147113415379,0.195731047003715,0.908,0.93653686968657,5.39752540656936,1.25598973722614,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",71,"OK",1.24623871026356,0.0118644515418376,3.32131929302954,0.904674644430862,0.794,-0.0979567672710925,4.45150809031199,2.15091335469442,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",72,"OK",1.10583779111875,0.0113640075817762,1.58545864872205,0.438155217259653,0.8,0.722128156202153,4.34649202866488,0.667682573859098,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",73,"OK",1.19337533407559,0.011568025985403,1.054175143345,0.26132869620021,1,0.586696505332375,3.6892627461702,1.4547040302758,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",74,"OK",1.23101351534834,0.0119212695761454,2.12011052738425,0.52668451213851,0.696,0.0913856403515997,4.03941624528234,1.75769802748685,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",75,"OK",1.14097390442592,0.0109970303891991,1.78105316695896,0.428177209760829,0.876,0.32046797019819,3.87716753932058,1.56915111418675,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",76,"OK",1.15261127652658,0.0119377541819253,1.80904104175516,0.419702438418948,0.99,0.712182131122269,4.24708150731019,0.732908838107632,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",77,"OK",1.23531424818698,0.0115843793330062,2.00279235306939,0.547949889708058,0.868,0.45384002717732,4.26720143284042,1.78326413789504,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",78,"OK",1.07409170801493,0.0111686693155044,0.587636278245727,0.00380644689139126,1,0.936458180010862,4.31318542403467,1.07789815490632,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",79,"OK",1.08462349599854,0.0108736568522047,1.04145250484055,0.510430161521162,1,0.945789726408458,4.59745331742988,0.574193334477374,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",80,"OK",1.22208032698028,0.0115862709948002,0.821990442760504,0.0160546363755816,0.994,0.638579078439958,4.14337551019331,1.2060256906047,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",81,"OK",1.16335976012632,0.0121605025407249,1.95306850060666,0.552751025304138,0.888,0.534693968717434,4.37637061027342,1.71611078543045,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",82,"OK",1.23676573370299,0.0119990984781084,1.1077299033371,0.203213785229228,0.998,0.803993112036307,3.84671848232614,1.03355194847376,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",83,"OK",1.14467261985813,0.0119921316746913,1.11493355835276,0.234511203640002,1,0.941702055524011,4.4686249660496,0.910161416218127,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",84,"OK",1.22364156163033,0.0116436275166945,1.07143758096601,0.114232336084392,0.992,0.800978379957175,3.92774865193774,1.10940922554594,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",85,"OK",1.1716825344795,0.0120657833358423,1.5378920726494,0.288278373637226,0.988,0.138777602522972,4.29003266134626,1.45996090811672,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",86,"OK",1.25110690182986,0.0117460407454377,1.34047696655817,0.142333674315228,0.998,0.676935341207688,4.05216977549999,1.39344057614509,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",87,"OK",1.26368383634023,0.0110780125251518,2.1729847549565,1.18841915767965,0.802,0.253735013791565,3.9362109646884,2.45210299401987,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",88,"OK",1.18413658399115,0.0115390640070158,1.59622208207421,0.409921449179985,1,0.238740886716195,4.16562500096063,1.59405803317113,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",89,"OK",1.19142421092476,0.011590470700212,0.574588178386634,0.18229867991934,1,0.912039508781691,4.21663928505461,1.00912553100542,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",90,"OK",1.16531911215897,0.0123152365695188,3.4527627962573,0.948415404174552,0.762,0.910893126828369,4.35920592225919,0.216903707984417,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",91,"OK",1.13227125552181,0.0115290664635268,3.27545889222007,1.13842364945841,0.938,0.735607659049762,4.31448797053844,-0.00615239393660391,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",92,"OK",1.24238133349199,0.0110227467810174,1.17870704077644,0.126764856555935,1,0.297191937771591,4.17668199717532,1.36914619004792,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",93,"OK",1.1128003853189,0.0115665975687999,1.20727288134397,0.315987887610627,1,0.72288001382839,4.47898959704701,1.42878827292953,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",94,"OK",1.25418355726809,0.0118908920951818,1.0756207352612,0.695792877870703,0.984,0.70360685185354,4.07947255712454,0.558390679397388,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",95,"OK",1.1253600036491,0.0106616289126314,1.33503940231962,0.35880754708485,0.998,0.851681459985145,4.26366621541098,0.76655245656425,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",96,"OK",1.08891047028137,0.0115686136427035,1.72079631501522,0.531639013788958,1,0.94116678695549,4.02851151067506,0.557271456492414,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",97,"OK",1.1288544343992,0.0116730752427498,1.56736604655761,0.167159907993427,0.908,0.79859493096056,4.09580467521701,1.29601434239262,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",98,"OK",1.20237542396403,0.0104649098917815,1.28995972916482,0.109740782932637,0.972,0.218605968386611,4.34866448852283,1.09263464103139,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",99,"OK",1.16149427108297,0.0110148888809645,1.67438873700028,0.0122800144663236,0.91,0.765592181987673,4.12127295757933,1.17377428554929,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",100,"OK",1.25335715228512,0.0123124504223416,2.22455879777932,0.53885056683057,0.834,-0.563976331083894,3.68116992423111,1.79220771911569,NA,NA,NA,NA,NA,NA
