"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP B: Gamma Hurdle",1,"OK",0.979306583038026,0.0118031604407881,1.36139004068305,0.319352209245638,1,0.725196923490732,5.37441811673705,1.29865879228366,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",2,"OK",1.07990032976661,0.0113056811273697,1.33785174420511,0.0866439019674733,0.986,0.0125410373775985,4.71232100529118,0.993256427799132,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",3,"OK",0.984134107461838,0.0109262618963662,2.08413736210734,0.424092336639287,0.884,0.508916408077583,4.82653574002555,1.40822644410112,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",4,"OK",0.963820857218856,0.0111327539751749,1.7117002825632,0.596970226102967,1,0.0900627741704538,5.02455302439053,1.56079108332182,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",5,"OK",1.13641093192348,0.0112212266445524,1.34435393583297,0.240148924361934,1,0.765062886777304,4.70864686644095,1.37655985628541,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",6,"OK",1.08901383283343,0.0113190698495429,2.02828293408247,1.17829035948779,0.956,0.382368855874666,5.01193902149842,-0.089276526654361,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",7,"OK",1.10930586497075,0.0122542943690812,1.39040799091189,0.204366679410563,0.992,0.840783234586335,4.87402334603866,1.31367254438131,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",8,"OK",1.03919221420537,0.0118400699208606,1.01587956250304,0.08808829379244,1,0.661552245992937,5.07595290614282,1.12728050799781,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",9,"OK",1.01721552786854,0.0111025147286804,0.915856707037655,0.119354733447565,1,0.693620323349161,4.70126584317729,1.13657026131611,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",10,"OK",1.03508228413914,0.0117427485672918,2.9620437513055,0.747481136936471,0.918,-0.087478157303517,4.75554365628059,1.78256342107561,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",11,"OK",1.03515647010221,0.0113609353804827,2.62856596237288,0.988960247829055,0.962,0.496516573385536,4.65882943490913,0.0461962222731576,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",12,"OK",1.05168865715921,0.0122288981615744,1.64203766677947,0.457464585130168,0.978,0.301145840756951,5.04470589826634,1.50915324228938,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",13,"OK",1.07547100891591,0.0116962467183285,1.42567049328488,0.0804962348294593,1,0.701730771005777,4.94698799222444,0.994974774086453,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",14,"OK",0.961867239730179,0.0117195148254679,1.79728401939294,0.111877432647234,0.938,0.757732810532027,4.73042301966192,0.849989807082945,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",15,"OK",1.01301636588923,0.0114240057125764,2.54688827661878,0.730009928548321,0.92,0.407566429950964,5.32267503760728,0.283006437340905,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",16,"OK",1.05206843466665,0.012052998415725,0.549545027746872,0.049144040308472,1,0.777918305414248,4.74026485515023,1.00292439435818,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",17,"OK",1.03572957704997,0.011402428388958,3.30401859569133,0.693858893799405,0.696,-0.138576302228522,4.92039675951458,0.34187068325057,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",18,"OK",0.994457109763601,0.0121304240116203,1.46502208612988,0.54887939037884,1,0.804546290132538,4.93369239232616,0.445577719384761,NA,NA,NA,NA,NA,NA
"DGP B: Gamma Hurdle",19,"OK",1.02612902970889,0.0115287557444602,1.46242154156554,0.454393943027848,1,0.697025603507287,4.86487114711348,1.48052297273674,NA,NA,NA,NA,NA,NA
