"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP A: Log-Normal Hurdle",100,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",250,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",1000,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",100,3,0.4,"DPglm",0.104685119018631,0.0719608750112159,0.9816,1.94568
"DGP A: Log-Normal Hurdle",250,3,0.4,"DPglm",0.0847570113223875,0.0529597728026121,0.98784,1.968121
"DGP A: Log-Normal Hurdle",500,3,0.4,"DPglm",0.0766378705593015,0.0434269169923287,0.986,1.9666255
"DGP A: Log-Normal Hurdle",1000,3,0.4,"DPglm",0.0778874654648741,0.0424908330434573,0.96138,1.91169325
"DGP A: Log-Normal Hurdle",100,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",250,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",1000,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",100,3,0.4,"Gamma Hurdle",0.229397978108511,0.0743229069456542,0.9264,0.82134931894015
"DGP A: Log-Normal Hurdle",250,3,0.4,"Gamma Hurdle",0.166551886303055,0.0501222075160242,0.89944,0.545005551371471
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma Hurdle",0.128889865191566,0.0323890838646134,0.88558,0.39412027114262
"DGP A: Log-Normal Hurdle",1000,3,0.4,"Gamma Hurdle",0.111040152028421,0.0261165154039401,0.8217,0.281698152150748
"DGP A: Log-Normal Hurdle",100,3,0.4,"ZIC-BCF-Smear",0.0833987330473214,0.0571161648557008,0.9802,0.468933558409537
"DGP A: Log-Normal Hurdle",250,3,0.4,"ZIC-BCF-Smear",0.0744358555494452,0.0439965391657725,0.96372,0.353024101099763
"DGP A: Log-Normal Hurdle",500,3,0.4,"ZIC-BCF-Smear",0.0652376316428196,0.0313718548700372,0.94716,0.27603264645115
"DGP A: Log-Normal Hurdle",1000,3,0.4,"ZIC-BCF-Smear",0.0615823840532229,0.0261576949373318,0.90844,0.219863635697191
"DGP B: Gamma Hurdle",100,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",250,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",1000,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",100,3,0.4,"DPglm",0.101164728948919,0.0683020440951096,0.9842,1.946895
"DGP B: Gamma Hurdle",250,3,0.4,"DPglm",0.0880706867110864,0.0570484433411493,0.98832,1.974711
"DGP B: Gamma Hurdle",500,3,0.4,"DPglm",0.0768503627790333,0.0433355308402824,0.98202,1.957598
"DGP B: Gamma Hurdle",1000,3,0.4,"DPglm",0.0767675769510215,0.0399122561030125,0.96597,1.92393
"DGP B: Gamma Hurdle",100,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",250,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",1000,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",100,3,0.4,"Gamma Hurdle",0.229120409497126,0.0738366524556408,0.9257,0.820587156078535
"DGP B: Gamma Hurdle",250,3,0.4,"Gamma Hurdle",0.166191263460852,0.0497968541979009,0.89952,0.544808743397222
"DGP B: Gamma Hurdle",500,3,0.4,"Gamma Hurdle",0.129146929751935,0.032352438653366,0.88522,0.394274719939659
"DGP B: Gamma Hurdle",1000,3,0.4,"Gamma Hurdle",0.110938673545364,0.0260585783334832,0.82323,0.281945465033513
"DGP B: Gamma Hurdle",100,3,0.4,"ZIC-BCF-Smear",0.0829066688196149,0.056562118438077,0.9798,0.465333991272307
"DGP B: Gamma Hurdle",250,3,0.4,"ZIC-BCF-Smear",0.0750573600876751,0.0446158753987952,0.96404,0.355450097155814
"DGP B: Gamma Hurdle",500,3,0.4,"ZIC-BCF-Smear",0.0663176792665235,0.0318283125547835,0.94452,0.278143877460539
"DGP B: Gamma Hurdle",1000,3,0.4,"ZIC-BCF-Smear",0.0624718052412226,0.0266275606022598,0.90932,0.223042351105713
"DGP C: Tweedie Semicontinuous",100,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",250,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",100,3,0.4,"DPglm",0.0988659339466541,0.0812255400913722,0.9962,1.9869225
"DGP C: Tweedie Semicontinuous",250,3,0.4,"DPglm",0.0668500496833727,0.0536646508122369,0.99852,1.997006
"DGP C: Tweedie Semicontinuous",500,3,0.4,"DPglm",0.0568131727857392,0.0433179709190008,0.99804,1.9961675
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"DPglm",0.0491796058106662,0.0326200944176393,0.99613,1.991739
