"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP A: Log-Normal Hurdle",500,1,0.85,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,2,0.62,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,4,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,5,0.07,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,1,0.85,"DPglm",0.0779501440253713,0.0376868395340367,0.9693,1.92635
"DGP A: Log-Normal Hurdle",500,2,0.62,"DPglm",0.0844710832654868,0.0499354872889883,0.98774,1.9746915
"DGP A: Log-Normal Hurdle",500,3,0.4,"DPglm",0.0766378705593015,0.0434269169923287,0.986,1.9666255
"DGP A: Log-Normal Hurdle",500,4,0.18,"DPglm",0.0612395489340376,0.0283606339729641,0.90198,1.7230535
"DGP A: Log-Normal Hurdle",500,5,0.07,"DPglm",0.0483542010279038,0.0186979051023072,0.55614,0.941179
"DGP A: Log-Normal Hurdle",500,1,0.85,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,2,0.62,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,4,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,5,0.07,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,1,0.85,"Gamma Hurdle",0.103633734825626,0.0319362819896232,0.85946,0.316948036918443
"DGP A: Log-Normal Hurdle",500,2,0.62,"Gamma Hurdle",0.130310264293362,0.0399904877386081,0.87388,0.395587123790784
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma Hurdle",0.128889865191566,0.0323890838646134,0.88558,0.39412027114262
"DGP A: Log-Normal Hurdle",500,4,0.18,"Gamma Hurdle",0.108242024130912,0.0282629671299585,0.8769,0.328608077580964
"DGP A: Log-Normal Hurdle",500,5,0.07,"Gamma Hurdle",0.0846935612713215,0.0209655531940402,0.86098,0.253072436035659
"DGP A: Log-Normal Hurdle",500,1,0.85,"ZIC-BCF-Smear",0.0647375456159147,0.0269338860308386,0.92788,0.227506446514768
"DGP A: Log-Normal Hurdle",500,2,0.62,"ZIC-BCF-Smear",0.0720959699329185,0.0367209478864538,0.92562,0.287367051623457
"DGP A: Log-Normal Hurdle",500,3,0.4,"ZIC-BCF-Smear",0.0652376316428196,0.0313718548700372,0.94716,0.27603264645115
"DGP A: Log-Normal Hurdle",500,4,0.18,"ZIC-BCF-Smear",0.0509555974181045,0.0236730913754916,0.94792,0.210563669842869
"DGP A: Log-Normal Hurdle",500,5,0.07,"ZIC-BCF-Smear",0.0382385000140371,0.0149304333461891,0.93062,0.142733642751
