"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias","CATE_RMSE_Median","ATE_AbsErr_Median","N_Seeds","N_Diverged","Diverge_Rate"
"DGP A: Log-Normal Hurdle",100,3,0.4,"BCF-Linear",4.73469234784127,1.65780624819927,0.9217,0.360343332900867,10.9580913536269,2.30589162493395,0.0917905133847371,2.42230603786239,1.3069600496987,100,0,0
"DGP A: Log-Normal Hurdle",250,3,0.4,"BCF-Linear",5.3337209422654,1.18349968657192,0.91264,0.339277671456743,8.26096380313985,1.42182263463242,0.310845794267539,2.60070602069898,1.09678234130435,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"BCF-Linear",5.81215843694941,0.843864713538256,0.8807,0.346670057924931,6.38471760248761,1.1271888835634,0.172072706598243,3.36980900946897,0.739990024257599,100,0,0
"DGP A: Log-Normal Hurdle",1000,3,0.4,"BCF-Linear",5.21017410661931,0.513954708101668,0.83804,0.306447722593895,4.71080944403568,0.704216236459,0.136932528466024,2.96629492348513,0.388892410786905,100,0,0
"DGP A: Log-Normal Hurdle",100,3,0.4,"DPglm",3.04814705036832,1.25092445516038,0.9983,0.181711819862421,141.772002893129,1.54082046889934,0.422960410664468,2.70851704980843,1.08860033542302,100,0,0
"DGP A: Log-Normal Hurdle",250,3,0.4,"DPglm",2.48742657599777,0.798748786093614,0.997,0.288785733075975,79.776850796665,0.990739666631208,0.31968514131727,2.28093011996195,0.652821460226243,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"DPglm",3.07048839182655,0.518756373837962,0.99654,0.198369100799596,61.5323436102184,0.680462076656703,0.021367474364316,2.37979921790902,0.381729644050745,100,0,0
"DGP A: Log-Normal Hurdle",1000,3,0.4,"DPglm",2.38710631683092,0.437209743050585,0.99085,0.23964821066423,48.0738168823795,0.533914324683842,0.0433400123090174,2.22090036023135,0.391841693903805,100,0,0
"DGP A: Log-Normal Hurdle",100,3,0.4,"Gamma Hurdle",2065976.30232966,385429.348266947,0.8877,-0.0436894516457202,4186637.31103771,3854270.93506089,385426.190426779,5.92652893323303,1.40475038580415,100,1,0.01
"DGP A: Log-Normal Hurdle",250,3,0.4,"Gamma Hurdle",4.77266430939671,1.27058479643071,0.82392,-0.0129427847400811,10.138615949065,1.57732397635238,0.780956832061789,4.34425380508213,1.06205905594545,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma Hurdle",96804052.5934578,58981249.7039378,0.69162,-0.0392617630823054,58319273.322038,559478017.147084,58981249.3542768,3.96037169773988,0.759195398214215,100,4,0.04
"DGP A: Log-Normal Hurdle",1000,3,0.4,"Gamma Hurdle",1032149.45770403,989441.207848194,0.57783,-0.0702481794590052,578529.761101049,9352397.43085571,989441.107935029,3.72582597466357,0.73777780726293,100,3,0.03
"DGP A: Log-Normal Hurdle",100,3,0.4,"Gamma +.01",5428474232.1022,1945437804.55548,0.8193,-0.0603406168272951,440694627103.319,13391046752.5085,616224078.944224,9.57067439556049,2.56384826035089,100,6,0.06
"DGP A: Log-Normal Hurdle",250,3,0.4,"Gamma +.01",16318569697.0664,9529003173.46321,0.7534,-0.0221889450848998,14142293489.7164,95197877211.0607,9510564428.21004,5.57872641182126,1.1802833244676,100,5,0.05
"DGP A: Log-Normal Hurdle",500,3,0.4,"Gamma +.01",3011949042.94015,77563676.5599579,0.69528,-0.0805640158757931,214360446607.373,750559768.512373,72527626.3437409,4.33605222475785,0.746727398359111,100,5,0.05
"DGP A: Log-Normal Hurdle",1000,3,0.4,"Gamma +.01",89443268773.9973,88803318337.5473,0.56095,-0.09324471518041,45495220370.861,546064267877.73,88803242145.6357,3.97242678690708,0.60178437497537,100,5,0.05
"DGP A: Log-Normal Hurdle",100,3,0.4,"ZIC-BCF-Smear",1.87543546665663,0.742738356229471,0.9574,0.569023709758098,7.18350999945445,1.00738072316854,0.0761786337323009,1.56851015310729,0.52525913821352,100,0,0
"DGP A: Log-Normal Hurdle",250,3,0.4,"ZIC-BCF-Smear",1.80126887472467,0.599792503387615,0.92092,0.663972463796059,5.42620219937087,0.766957750797696,0.110541624561089,1.6251422984373,0.519494624717775,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"ZIC-BCF-Smear",1.73370873941134,0.428306009117695,0.89694,0.686304694963835,4.42152355772447,0.536751519841123,0.119437151550362,1.61129258853207,0.351547241013975,100,0,0
"DGP A: Log-Normal Hurdle",1000,3,0.4,"ZIC-BCF-Smear",1.60956618814069,0.348170784319787,0.87532,0.720965913981034,3.58740260719407,0.428072465673614,0.165188190510854,1.5102138542614,0.308981216926825,100,0,0
"DGP B: Gamma Hurdle",100,3,0.4,"BCF-Linear",5.19487002093494,1.58629404211372,0.9333,0.339619105029111,10.7635278082889,2.15984663789102,0.0508799713355568,2.11221608126657,1.13288463019893,100,0,0
"DGP B: Gamma Hurdle",250,3,0.4,"BCF-Linear",5.61998357475033,1.20774523605592,0.89916,0.303839914485775,7.71265858038122,1.65144712202051,0.112377908484824,2.38157389212223,1.01653651865295,100,0,0
"DGP B: Gamma Hurdle",500,3,0.4,"BCF-Linear",5.79220351459971,0.819074184272557,0.89072,0.317832300966145,6.62439232224105,1.10051141574477,0.216527197692722,3.85552998765437,0.629387370118452,100,0,0
"DGP B: Gamma Hurdle",1000,3,0.4,"BCF-Linear",5.61874575446431,0.618661373830699,0.84483,0.250763360332106,4.61622431085583,0.758999841592268,0.0602712375367597,3.52158863494745,0.555418344435587,100,0,0
"DGP B: Gamma Hurdle",100,3,0.4,"DPglm",3.21233751060267,1.24143984831384,0.9992,0.177312957875554,147.016857058625,1.57925482303613,0.0490217416523026,2.69470243856183,1.0178901602294,100,0,0
"DGP B: Gamma Hurdle",250,3,0.4,"DPglm",2.44945985926331,0.773135923336733,0.99768,0.205325548405863,80.5304057500699,0.958926152220111,0.164762628921888,2.12554746894284,0.679156496379101,100,0,0
"DGP B: Gamma Hurdle",500,3,0.4,"DPglm",2.63869615293828,0.564136002721546,0.99524,0.21053615550908,61.4565330675826,0.716386800482981,0.126051046480816,2.31643728903154,0.492293713407144,100,0,0
"DGP B: Gamma Hurdle",1000,3,0.4,"DPglm",2.45421294315723,0.477995896607051,0.9921,0.206660762301829,48.5358986636854,0.563333413669129,0.100983844774726,2.11960181525138,0.412237750742117,100,0,0
"DGP B: Gamma Hurdle",100,3,0.4,"Gamma Hurdle",1798299798.95415,189539175.946085,0.8973,-0.0622741999883468,1827693620.25197,1895391739.35593,189539173.244154,5.99161670402547,1.33099271734415,100,1,0.01
"DGP B: Gamma Hurdle",250,3,0.4,"Gamma Hurdle",400238725.764322,60668203.0878852,0.82908,-0.0117138769200317,3492664357.12213,606681167.183176,60668041.0240794,4.05239334184039,0.96372466987342,100,3,0.03
