"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,1.46798684685201,0.0717687960179394,10.4485126707379,0.615213651462841,0.866,0.530636047095758,11.6238410526527,2.08320049831485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",2,1.3953554626142,0.0730564793162102,2.2195780192103,0.680222713640816,0.854,0.274572384591594,2.57850716664645,0.715132748973381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",3,1.21332229627424,0.0719070138943265,1.72413324606236,0.805519134306734,0.876,0.181288458154585,3.25685232827605,0.407803161967502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",4,1.36086139459503,0.0698640280873067,5.11953050005815,0.776713727652244,0.916,0.425731737587119,8.92659781243995,2.13757512224727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",5,1.37274337222837,0.0715123069258409,7.0265406714807,0.497447433550892,0.736,0.570132716800725,6.3114653101799,0.875295938677478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",6,1.30505577790732,0.0709609555801723,4.37692042344345,0.718973466017107,0.892,0.191305457217755,5.62830550547119,2.02402924392443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",7,1.32092658636603,0.0659446758790443,13.225751194179,1.4618795915845,0.926,0.736926671927294,9.15477800745184,2.78280617795053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",8,1.34393361783001,0.0688754158550571,2.02188499238921,0.11275052159074,0.898,0.393869099441159,3.15551627627335,1.23118309623927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",9,1.26636266625191,0.0654421606019721,7.36678753027039,0.555810503365083,0.882,0.597046649555886,8.55775155298683,1.82217316961699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",10,1.31328074704068,0.0703955425118843,6.76028311179753,0.109097986138163,0.862,0.520484652453579,7.89478703299884,1.42237873317884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
