"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,1.34809510700821,0.060213512155364,2.20123281638395,1.10503386437099,1,0.601099448973765,19.8226195973679,2.45312897137921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",2,1.2051258665722,0.0630936642298321,9.20713530542675,0.433240106690469,0.9,0.383866598836903,9.57034752498484,0.771885759881735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",3,1.47625509777467,0.0534536054988935,19.2360693444863,6.48268890850074,0.91,0.613528569375967,19.3509211113793,7.95894400627542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",4,1.34698658855003,0.0628991170373967,1.24884652455177,0.617678768460995,0.99,0.418332697375993,8.06726945587747,1.96466535701102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",5,1.19583920160386,0.051076327268538,1.7191799866555,1.3371221862285,0.92,0.484329583590262,5.52076685563236,-0.14128298462464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",6,1.1521440941157,0.0546029976150687,10.7721866535352,0.35126147997062,0.94,0.526426718048291,27.2821277861673,0.800882614145076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",7,1.38558201599681,0.0574073317345905,2.41363582342269,1.4611445412349,0.94,0.382210056077506,6.25600052260598,-0.0755625252380917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",8,1.4398320624721,0.0567590868357872,1.65479851592836,1.03805975420356,1,0.606405136347483,7.68978443614671,2.47789181667566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",9,1.28254792817198,0.0568396670913751,1.97424206672471,0.23121174001457,1,0.383777125586528,12.1872401908651,1.51375966818655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",10,1.32569668153842,0.0645321062035445,14.7714944794636,4.52470399331036,0.83,0.657913710149111,16.8708679578946,5.85040067484878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",11,1.5143578874827,0.0578483061580227,3.11777443453598,1.91790979001898,0.93,0.42145393944933,8.08398839526269,-0.403551902536288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",12,1.26122071736261,0.0633090291099638,1.32775821942275,0.856939981962602,0.96,0.585219240342658,4.73157152168964,0.404280735400007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",13,1.29796320604408,0.0628102187626655,1.91422729214379,1.04012483829924,0.94,0.111151338340574,5.95343078255696,0.257838367744832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",14,1.34959704439407,0.0561448149064783,2.01218684551637,0.745309217964808,0.98,0.503053356564361,8.26818530703319,0.604287826429262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",15,1.41240139484198,0.0613853132129508,1.25294108885202,0.164756934609365,0.99,0.538065076877414,8.54552411334525,1.57715832945134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",16,1.33271883247162,0.057274187642785,3.98628041695562,0.599050405821648,0.99,0.40840479353847,11.7333901288611,1.93176923829327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",17,1.58754276828266,0.0550780008839529,26.7435952987693,4.45043327427802,0.84,0.122807559981611,12.4633304012779,6.03797604256069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",18,1.35993003855488,0.0592728290581476,2.16901608970642,1.67362308636564,0.92,-0.123312228681877,7.47363702182788,-0.313693047810753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",19,1.31204102228046,0.057594038209122,1.74870232066032,1.21475630581527,1,0.64278540200962,11.6962535433601,0.0972847164651912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",20,1.03719934354894,0.0652153603842352,1.37292464871776,1.01122562294795,0.92,0.267229611540459,4.33994212302144,0.0259737206009881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",21,1.13884634401486,0.0511107857692858,1.62700962378587,1.32696454244849,0.83,0.331679527434312,4.65547813365825,-0.188118198433629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",22,1.18804093565954,0.0539364577541308,1.15793149656059,0.4007792844625,0.96,0.0169914206746852,4.45790255800932,0.787261651197037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",23,1.47446105394792,0.0589965213674102,1.32436004371345,0.671909644886353,0.99,0.297216250341512,8.39256577559228,0.802551409061563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",24,1.1338050046838,0.0539859702663814,2.09938561638498,1.80101843545589,1,0.34605833058992,10.1486068687984,2.93482344013969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",25,1.48058499637136,0.0569649786040285,2.53810370793029,1.6451952234573,0.95,0.0136430927984478,9.58034786866674,-0.164610227085934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
