"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",1.34809510700821,0.060213512155364,2.38978563656862,0.22275459715972,1,0.268817928934596,128.0151422504,1.12534050984849,0.141889241992916,0.131473512155364,1,0.0167900734461282,2,-0.07126
"DGP B (nonlinear): Gamma Hurdle",2,"OK",1.2051258665722,0.0630936642298321,3.56439460648871,0.70734911212288,1,0.387845411627799,109.714421295967,0.497776754449324,0.117439120739116,0.102016335770168,1,0.190434855205162,2,0.16511
"DGP B (nonlinear): Gamma Hurdle",3,"OK",1.47625509777467,0.0534536054988935,5.20386387698298,1.77013507603814,1,0.358978893321748,311.197027513256,3.24639017381282,0.0962209076632051,0.0640863945011065,1,0.0504340971526693,2,0.11754
"DGP B (nonlinear): Gamma Hurdle",4,"OK",1.34698658855003,0.0628991170373967,1.8328469438674,0.736141028119486,1,0.384465698351452,94.9448440436165,2.08312761666951,0.0944280856827115,0.0792008829626033,1,0.0410733061112184,2,0.1421
"DGP B (nonlinear): Gamma Hurdle",5,"OK",1.19583920160386,0.051076327268538,2.64878938285805,1.93204816208115,1,0.0141054219002182,110.942878103064,-0.736208960477293,0.0730304344156136,0.052793672731462,1,0.360397846265284,1.98,0.10387
"DGP B (nonlinear): Gamma Hurdle",6,"OK",1.1521440941157,0.0546029976150687,3.7835401363433,2.0941536312506,1,0.550068360095415,151.091009529697,-0.942009537134901,0.0539734278528431,0.00226700238493126,1,0.24866207679246,2,0.05687
"DGP B (nonlinear): Gamma Hurdle",7,"OK",1.38558201599681,0.0574073317345905,3.47275028161745,0.298456346057213,1,-0.0151762762120409,193.263816720928,1.08712566993959,0.115603339872271,0.105207331734591,1,0.159421009415581,2,-0.0478
"DGP B (nonlinear): Gamma Hurdle",8,"OK",1.4398320624721,0.0567590868357872,2.261216408746,1.50290538580608,1,0.308723174380492,91.3863199731737,2.94273744827818,0.075088188368487,0.0564409131642128,1,0.220701095576484,2,0.1132
"DGP B (nonlinear): Gamma Hurdle",9,"OK",1.28254792817198,0.0568396670913751,2.51110049960877,0.169876159422216,1,0.0256045818772354,101.485157183522,1.4524240875942,0.109753325823189,0.0926696670913751,0.99,-0.122792574047261,1.99,-0.03583
"DGP B (nonlinear): Gamma Hurdle",10,"OK",1.32569668153842,0.0645321062035445,3.70737682808745,1.79892544391029,1,0.443721902733283,247.159339673435,3.12462212544871,0.136878543768273,0.0768478937964555,0.93,0.104353144743596,1.74,0.14138
"DGP B (nonlinear): Gamma Hurdle",11,"OK",1.5143578874827,0.0578483061580227,3.06622152172142,0.897906424413045,1,0.194512496228571,140.978600109646,0.61645146306965,0.0651922455282506,0.0178816938419773,1,0.378543811783645,1.97,0.07573
"DGP B (nonlinear): Gamma Hurdle",12,"OK",1.26122071736261,0.0633090291099638,1.44533071210814,0.142275056729313,1,0.135765799640784,86.9130087348876,1.1189456606333,0.065972541319217,0.0332409708900362,0.99,0.151792328660048,1.98025,0.09655
"DGP B (nonlinear): Gamma Hurdle",13,"OK",1.29796320604408,0.0628102187626655,3.14646645789689,1.55912254191648,1,-0.573673414851067,102.41514478783,-0.2611593358724,0.14451951750815,0.128120218762666,1,-0.0546126309964424,2,-0.06531
"DGP B (nonlinear): Gamma Hurdle",14,"OK",1.34959704439407,0.0561448149064783,2.93299442423914,0.888385154327152,1,0.224007426063199,128.928743486893,2.23798219872122,0.118640497886716,0.106325185093522,1,0.369733805619284,2,0.16247
"DGP B (nonlinear): Gamma Hurdle",15,"OK",1.41240139484198,0.0613853132129508,2.64709374917311,0.975660529537292,1,-0.206083999295606,118.524522117891,2.38806192437927,0.0499161657731075,0.0234153132129508,1,0.229326150550903,2,0.03797
"DGP B (nonlinear): Gamma Hurdle",16,"OK",1.33271883247162,0.057274187642785,2.44815862995772,0.781651182248875,1,0.0604914722987811,117.77204208687,0.551067650222746,0.0884288454051153,0.068874187642785,0.92,-0.166385928761478,1.8305,-0.0116
"DGP B (nonlinear): Gamma Hurdle",17,"OK",1.58754276828266,0.0550780008839529,5.25654920551717,1.42025678847168,1,-0.00320857397378712,197.449511832403,0.167285979810984,0.0577619774857524,0.0110019991160471,1,0.227267929926294,1.99,0.06608
"DGP B (nonlinear): Gamma Hurdle",18,"OK",1.35993003855488,0.0592728290581476,2.49063924390339,1.01614474716174,1,0.34549856544648,138.218612864619,0.343785291393147,0.118796014899869,0.103037170941852,0.99,0.340055820341554,1.98,0.16231
"DGP B (nonlinear): Gamma Hurdle",19,"OK",1.31204102228046,0.057594038209122,2.27939871221497,0.334133824524765,1,0.520765121603552,181.969179091501,1.64617484680523,0.0808862040621741,0.057695961790878,1,0.520674398501236,2,0.11529
"DGP B (nonlinear): Gamma Hurdle",20,"OK",1.03719934354894,0.0652153603842352,1.74524910507921,1.01963557329706,1,0.127801433257429,103.380317266314,2.056834916846,0.0659159301354483,0.0216946396157648,1,0.210945041669458,2,0.08691
"DGP B (nonlinear): Gamma Hurdle",21,"OK",1.13884634401486,0.0511107857692858,2.34979358687409,0.585052531894342,1,-0.143347515008796,154.678075648695,0.553793812120516,0.0785132838648972,0.0487107857692858,0.97,-0.169030598917332,1.90025,0.0024
"DGP B (nonlinear): Gamma Hurdle",22,"OK",1.18804093565954,0.0539364577541308,1.52870730489092,0.00738119560392156,1,-0.12730410845823,88.3188068566684,1.18065974005562,0.0979277273710983,0.0833564577541308,0.95,-0.0238625704180541,1.91025,-0.02942
"DGP B (nonlinear): Gamma Hurdle",23,"OK",1.47446105394792,0.0589965213674102,2.03077583435248,0.604234825252738,1,0.289387698494826,111.139398802722,2.07869587920065,0.0676632448931532,0.0447834786325898,1,0.20539893818832,2,0.10378
"DGP B (nonlinear): Gamma Hurdle",24,"OK",1.1338050046838,0.0539859702663814,3.50460688795092,2.98313726719305,1,0.341040424394973,134.872012628434,4.11694227187685,0.136239845060903,0.119334029733619,1,0.387803493420565,2,0.17332
"DGP B (nonlinear): Gamma Hurdle",25,"OK",1.48058499637136,0.0569649786040285,2.01210264790102,0.282765109236039,1,0.499222602142009,115.607804456803,1.19781988713532,0.0665533378634478,0.0309950213959715,0.99,0.0498429631368738,1.98,0.08796
"DGP B (nonlinear): Gamma Hurdle",26,"OK",1.25396563575293,0.0661291612896944,1.77652617500065,0.181455501418833,0.99,0.325560720126884,101.58207414709,1.0725101343341,0.139546168635267,0.102900838710306,0.97,-0.0116473027387475,1.87025,0.16903
"DGP B (nonlinear): Gamma Hurdle",27,"OK",1.40118643483906,0.0689472413599277,3.49334899570614,3.06846440511627,1,-0.121647476351746,101.660056872962,-1.66727797027721,0.150644826026387,0.140537241359928,1,-0.22989122605943,2,-0.07159
"DGP B (nonlinear): Gamma Hurdle",28,"OK",1.32177242989194,0.0630782467065841,2.55748072988802,0.66179115538956,1,0.0443330604934908,184.225023052842,0.659981274502377,0.0743530851935036,0.0328282467065841,1,-0.000337095081231591,2,0.03025
"DGP B (nonlinear): Gamma Hurdle",29,"OK",1.34256520651938,0.0607422958055559,2.67931351618023,0.140963652918524,1,-0.206726133928289,137.216222992843,1.48352885943791,0.159515672735856,0.125057704194444,1,0.176361457751112,2,0.1858
"DGP B (nonlinear): Gamma Hurdle",30,"OK",1.57622788058346,0.0687685747342664,1.88873703434652,0.660087316146201,1,0.42845229786586,127.31731227354,2.23631519672966,0.14382232329424,0.107701425265734,0.98,0.181602034433035,1.95,0.17647
"DGP B (nonlinear): Gamma Hurdle",31,"OK",1.29861663998397,0.0674197624737032,2.55484282294455,1.95543746876099,1,0.256447177195917,129.578346155775,3.25405410874496,0.0543487582052345,0.00955023752629683,1,0.257135791996746,2,0.07697
"DGP B (nonlinear): Gamma Hurdle",32,"OK",1.537238152239,0.061971413249824,2.09862856209551,0.764012222314586,1,0.23920086341387,107.863952473633,0.773225929924418,0.0568237826657567,0.021691413249824,1,0.261399862975175,2,0.04028
"DGP B (nonlinear): Gamma Hurdle",33,"OK",1.80265072182591,0.0540716339436352,9.66464355286888,4.89263309787425,1,0.638288905348272,356.843711039442,6.69528381970016,0.15982608629083,0.110138366056365,0.92,0.292744963971846,1.73075,0.16421
"DGP B (nonlinear): Gamma Hurdle",34,"OK",1.14368798156008,0.0626230653639857,3.27605582253093,1.23755288133582,1,-0.205857875361182,205.980903254286,-0.09386489977574,0.096294588797661,0.00287693463601426,0.9,0.21778327589818,1.73,0.0655
