"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",0.769013821741187,0.0528517767121514,2.59134307737154,1.18788322772841,0.726,-0.192483854408298,56.0754592134585,-0.418869405987225,0.147474597733825,0.103487776712151,0.612,-0.255675167164346,1.33645,-0.050636
"DGP B (nonlinear): Gamma Hurdle",2,"OK",0.725525530786932,0.0538805804560669,1.87871423115884,0.707377542265045,1,0.253012925265606,60.8814100813426,1.43290307305198,0.101014968690435,0.0771034195439331,1,0.164199889846741,1.996,0.130984
"DGP B (nonlinear): Gamma Hurdle",3,"OK",0.633745788987463,0.0543082919267149,1.19334067039908,0.558354540204514,1,0.561666775665339,52.3397171033684,1.19210032919198,0.0731448361163301,0.0392337080732851,1,0.201960766198794,1.99805,0.093542
"DGP B (nonlinear): Gamma Hurdle",4,"OK",0.725978940189794,0.0546880759705666,3.53447764247412,2.04091265216679,0.714,-0.236315576070458,48.0691462250732,-1.314933711977,0.21324564836921,0.170794075970567,0.576,-0.294262425456662,1.3724,-0.116106
"DGP B (nonlinear): Gamma Hurdle",5,"OK",0.681499518966481,0.051647405014109,1.61329961493256,0.454718734696023,0.996,0.201478744717368,54.8390997120613,1.1362182536625,0.064970744445096,0.022776594985891,0.996,0.177583015050395,1.96,0.074424
"DGP B (nonlinear): Gamma Hurdle",6,"OK",0.628924982968935,0.050579185260116,1.31003861797132,0.345868962799533,1,0.0738335724278859,57.9304532787826,0.974793945768468,0.064584189690566,0.030967185260116,1,0.0209573004702367,1.998,0.019612
"DGP B (nonlinear): Gamma Hurdle",7,"OK",0.698530192214403,0.0455932871122374,5.31503460829369,0.259901345086712,0.992,0.362408657325646,155.141330802009,0.438628847127691,0.0885212042749366,0.0586567128877626,0.986,0.277896695479775,1.96015,0.10425
"DGP B (nonlinear): Gamma Hurdle",8,"OK",0.69593933964001,0.0496715965967399,1.5627124199016,0.79964473304324,1,0.535614167784399,53.2259699919287,1.49558407268325,0.0562337624111123,0.00502840340326008,0.998,0.235291791712626,1.9821,0.0547
"DGP B (nonlinear): Gamma Hurdle",9,"OK",0.648951753996774,0.0479539992429396,3.54420426823181,0.265110165606305,0.998,-0.0378643301014943,104.647750138155,0.383841588390469,0.0692887460838056,0.0357079992429396,0.996,0.0151483524454628,1.9921,0.012246
"DGP B (nonlinear): Gamma Hurdle",10,"OK",0.689151907155665,0.0504557237136059,1.46210852569553,0.485435406715299,0.984,0.483291520372855,54.584529580487,1.17458731387096,0.104617140533722,0.0821982762863941,0.984,0.274252218193323,1.96405,0.132654
"DGP B (nonlinear): Gamma Hurdle",11,"OK",0.729562794149019,0.055338977462651,1.35779103514648,0.0304125031977152,1,0.42683400868251,50.3371669574409,0.759975297346734,0.0690070682109983,0.027959022537349,1,0.203385520924574,2,0.083298
