"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",0.171333463030351,0.0521406606711945,0.273836806757675,0.0952126994931586,1,0.0634954325340169,27.4183941873158,0.0761207635371927,0.0354410482046163,0.0186213393288054,0.993,0.199935566937538,1.989,0.070762
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",0.182966446214612,0.0518959588134662,0.27704539522365,0.0792640610699415,0.998,0.0820934989922746,26.7446800469872,0.10370238514467,0.0294688786269826,0.00231004118653377,0.987,0.190231148652557,1.96805,0.054206
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",0.168010307270197,0.0510047499313579,0.270033352567878,0.0813418265565783,0.997,0.0582382630606961,26.9095216660462,0.0866684807136188,0.078145473339297,0.0690672500686421,0.993,0.182779890244878,1.98105,0.120072
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",0.184168263683188,0.0506980775852667,0.269158900130244,0.0685387140119972,1,0.0223203656609032,26.614321613551,0.115629549671191,0.0282930513314351,0.000748077585266729,1,0.158042357042208,2,0.04995
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",0.176707689441377,0.0515601172175193,0.280871210139862,0.044364692009274,1,0.0364131922319235,27.2694932682552,0.132342997432103,0.0298842810936425,0.00534111721751925,1,0.155840492451128,2,0.046219
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",0.182304947251708,0.0513577795794325,0.394958078091356,0.0057278331361241,1,0.0405590256079531,28.4056977770065,0.188032780387832,0.0347843558370694,0.00541422042056748,0.998,0.114393790746001,1.99805,0.056772
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",0.165033815148593,0.0514459438172991,0.258361807272727,0.0144173875335683,0.999,0.0599168071427685,27.9754743715758,0.150616427615025,0.0348466233881789,0.00243905618270095,0.998,0.138097029583401,1.998,0.053885
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",0.173068896473469,0.0513609819446427,0.267264822517003,0.0210132552793263,1,0.0447805617971755,27.2392527886237,0.152055641194143,0.0449877103881738,0.0319100180553573,0.998,0.238616225401152,1.998,0.083271
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",0.171396932394439,0.0508263028292133,0.348367564121049,0.213912349393227,1,-0.0368804263202737,26.7455934188614,-0.0425154169987884,0.0546209791340959,0.0454743028292133,1,0.0217228970082595,1.998025,0.005352
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",0.177808612592962,0.0522511718839424,0.302853716277766,0.0151473978084085,0.997,-0.0167836159238916,27.4506948391827,0.162661214784553,0.0983845331451828,0.0892848281160576,0.992,0.130197076918544,1.984,0.141536
"DGP C (nonlinear): Tweedie Semicontinuous",11,"OK",0.180582463637289,0.0507821797148383,0.28209905315998,0.0474636528296233,1,0.0785048688248304,27.0941365879628,0.228046116466913,0.040489924869314,0.0295718202851617,1,0.201971885522087,2,0.080354
"DGP C (nonlinear): Tweedie Semicontinuous",12,"OK",0.169993867120637,0.0519835561786089,0.246358679290629,0.0165592741083472,1,0.0879490502132429,27.1828431739936,0.186553141228984,0.0356067569557544,0.0223374438213911,1,0.284504042542028,2,0.074321
"DGP C (nonlinear): Tweedie Semicontinuous",13,"OK",0.178744184656125,0.0513554973605368,0.269396572279436,0.00403945297040986,1,0.045755271174667,27.3540041180047,0.182783637626535,0.0329208849574936,0.0168624973605368,1,0.14953605671895,2,0.034493
