"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,1.56884176910469,0.0557688496158751,NA,NA,NA,NA,NA,NA,1.37535203350297,0.39356462120278,0.936,0.72662035985731,4.96694965016147,1.96240639030747,NA,NA,NA,NA,NA,NA,0.0621507076188355,0.0356531048383578,0.968,0.13997128961846,0.324097541003935,0.091421954454233
"DGP A (nonlinear): Log-Normal Hurdle",2,1.61318773034067,0.0594952776958274,NA,NA,NA,NA,NA,NA,1.76524470613406,0.0704850494779547,0.932,0.672084775509898,5.19436925249038,1.68367277981862,NA,NA,NA,NA,NA,NA,0.0577979716196738,0.0245298819069969,1,-0.152253882968298,0.361405807978068,0.0349653957888305
"DGP A (nonlinear): Log-Normal Hurdle",3,1.64438056899744,0.055576647502657,NA,NA,NA,NA,NA,NA,2.32281189209925,0.392335273870097,0.952,0.600169359411204,5.08568498506612,1.25204529512734,NA,NA,NA,NA,NA,NA,0.0672554534212418,0.0359157695669113,0.98,-0.00987003127880125,0.33751519178001,0.0196608779357457
"DGP A (nonlinear): Log-Normal Hurdle",4,1.78793845028578,0.0553308037706293,NA,NA,NA,NA,NA,NA,3.05216934733026,1.36811076361211,0.92,0.689135258227384,7.74173379406813,3.1560492138979,NA,NA,NA,NA,NA,NA,0.0754212452449915,0.0554484063360363,0.944,-0.22410833987132,0.330165427541844,0.110779210106666
"DGP A (nonlinear): Log-Normal Hurdle",5,1.58881630676919,0.0586305682257537,NA,NA,NA,NA,NA,NA,1.77179058289387,0.0866016936215224,0.944,0.62039006412866,4.9199366439188,1.50221461314766,NA,NA,NA,NA,NA,NA,0.0508435914134579,0.00584597860196874,0.964,0.0358276772051197,0.287482635744089,0.0644765468277225
"DGP A (nonlinear): Log-Normal Hurdle",6,1.47385520543599,0.0595189892959818,NA,NA,NA,NA,NA,NA,1.36805018744333,0.183418372477775,0.944,0.754783147759441,5.23029310787081,1.65727357791377,NA,NA,NA,NA,NA,NA,0.0600737096770587,0.0200746586920985,0.972,-0.0145822920094672,0.353979356369363,0.0795936479880803
"DGP A (nonlinear): Log-Normal Hurdle",7,1.52628977723756,0.0596459665419701,NA,NA,NA,NA,NA,NA,1.81659687225919,1.02285317980208,0.952,0.736612826723338,7.21189226595833,2.54914295703964,NA,NA,NA,NA,NA,NA,0.0612365628432163,0.0386157292808317,0.984,0.00588865874851767,0.379662739189413,0.0982616958228017
"DGP A (nonlinear): Log-Normal Hurdle",8,1.45986913076962,0.0527499656573137,NA,NA,NA,NA,NA,NA,2.61533116154989,1.41812729449777,0.868,0.796797227340509,5.65648241907694,2.87799642526738,NA,NA,NA,NA,NA,NA,0.0831010994294707,0.0669549250092045,0.952,0.103669622222671,0.34485836259897,0.119704890666518
"DGP A (nonlinear): Log-Normal Hurdle",9,1.31476313303371,0.0583393678523996,NA,NA,NA,NA,NA,NA,1.90377735604701,0.825879720152841,0.928,0.58704242130201,5.9327948018865,2.14064285318655,NA,NA,NA,NA,NA,NA,0.099769163317492,0.0104451823103268,0.988,0.0837719163812702,0.538134763465807,0.0478941855420727
"DGP A (nonlinear): Log-Normal Hurdle",10,1.70732237497453,0.0659329802627683,NA,NA,NA,NA,NA,NA,1.21169851570621,0.12781838845879,0.964,0.865867947999472,6.5243315847803,1.57950398651574,NA,NA,NA,NA,NA,NA,0.0636123395838729,0.0141952538091406,0.992,0.200047297398243,0.448249292521398,0.0801282340719089
"DGP A (nonlinear): Log-Normal Hurdle",11,1.81640663696603,0.0586386285414264,NA,NA,NA,NA,NA,NA,1.93953532264148,0.799223817989176,0.96,0.807038596261489,7.45285157736986,2.6156304549552,NA,NA,NA,NA,NA,NA,0.0763106085290901,0.0406110084697415,0.972,-0.200350899327901,0.431132607217179,0.0992496370111678
