"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,1.77879619827561,0.0110916317871946,NA,NA,NA,NA,NA,NA,1.35494753048456,0.258937576747916,0.898,0.78189754176973,4.28485264840067,1.51985862152769,NA,NA,NA,NA,NA,NA,0.0343188165068115,0.013323578846962,0.964,-0.0548584922530432,0.115697795703605,-0.00223194705976739
"DGP A (nonlinear): Log-Normal Hurdle",2,1.70117270918671,0.0114233493779223,NA,NA,NA,NA,NA,NA,1.32339484941741,0.310329567784022,0.886,0.798323640273406,3.96835528227675,2.01150227697074,NA,NA,NA,NA,NA,NA,0.0340436563055343,0.00829723387697,0.904,0.225990465792381,0.142474039768493,0.0197205832548923
"DGP A (nonlinear): Log-Normal Hurdle",3,1.50082176354147,0.00788199031923513,NA,NA,NA,NA,NA,NA,1.434334203848,0.113572051724992,0.96,0.435498779030719,4.66288233309233,1.61439381526646,NA,NA,NA,NA,NA,NA,0.0323699350179639,0.0069665941063011,0.984,0.146119416009483,0.125155819443857,0.000915396212934036
"DGP A (nonlinear): Log-Normal Hurdle",4,1.65517084657915,0.00764632427028824,NA,NA,NA,NA,NA,NA,1.44651574759632,0.0805033848992288,0.826,0.650264233633609,3.67789593541004,1.57466746167992,NA,NA,NA,NA,NA,NA,0.0328053556839056,0.0064699719283044,0.968,-0.0808784435408687,0.129309973081701,0.00117635234198385
"DGP A (nonlinear): Log-Normal Hurdle",5,1.68303833400879,0.00953527958929935,NA,NA,NA,NA,NA,NA,2.71649696560811,0.782480876597082,0.916,0.65702256869016,5.46259170764399,2.46551921060587,NA,NA,NA,NA,NA,NA,0.0380573774956922,0.0244748248666375,0.976,0.228494667411174,0.171221230602639,0.0340101044559368
"DGP A (nonlinear): Log-Normal Hurdle",6,1.69905195585648,0.0102771252163715,NA,NA,NA,NA,NA,NA,1.77517544407737,0.555626941104052,0.952,0.661371312427462,4.6973620220564,2.25467889696053,NA,NA,NA,NA,NA,NA,0.0404180176657814,0.0229799422207578,0.972,-0.170815219780948,0.147432211936625,-0.0127028170043863
"DGP A (nonlinear): Log-Normal Hurdle",7,1.71830679000571,0.0111531675511075,NA,NA,NA,NA,NA,NA,1.81938175449167,0.644062678345908,0.936,0.715415693844476,4.31189057907575,2.36236946835161,NA,NA,NA,NA,NA,NA,0.0270435751385494,0.00724954387064034,0.924,0.336298728260357,0.102552240162491,0.00390362368046716
"DGP A (nonlinear): Log-Normal Hurdle",8,1.61821317185072,0.00835365689759604,NA,NA,NA,NA,NA,NA,1.56751675641405,0.0636405883005025,0.898,0.639730922621186,3.72452728890244,1.68185376015122,NA,NA,NA,NA,NA,NA,0.0401047781088956,0.0201384185194244,0.824,0.0267153191516229,0.119601170754325,-0.0117847616218284
"DGP A (nonlinear): Log-Normal Hurdle",9,1.59257984701277,0.00775491581875694,NA,NA,NA,NA,NA,NA,2.21098536170253,0.546962936713421,0.922,0.523818130817618,5.08372956654489,2.13954278372619,NA,NA,NA,NA,NA,NA,0.0367226164837171,0.00641626654846217,0.972,-0.0571885103168476,0.154492055446059,0.00133864927029478
"DGP A (nonlinear): Log-Normal Hurdle",10,1.63487285889802,0.00996041030507254,NA,NA,NA,NA,NA,NA,1.18256290578414,0.53073963739519,0.954,0.745833643410761,5.15280349515054,1.10413322150284,NA,NA,NA,NA,NA,NA,0.0506576689950826,0.0344584835316526,0.786,0.0339602558037604,0.151956887477059,-0.0244980732265801
"DGP A (nonlinear): Log-Normal Hurdle",11,1.64011152416079,0.0102377728127234,NA,NA,NA,NA,NA,NA,1.07939116144415,0.27675642545298,0.828,0.763858237899044,3.05384569319592,1.36335509870781,NA,NA,NA,NA,NA,NA,0.0285662979913063,0.00847832488717877,0.954,0.276487909976483,0.109162744625251,0.00175944792554468
"DGP A (nonlinear): Log-Normal Hurdle",12,1.73551261561094,0.0122002576167792,NA,NA,NA,NA,NA,NA,3.02048594846115,0.561785890395223,0.932,0.591442984929986,4.47106660837082,2.29729850600617,NA,NA,NA,NA,NA,NA,0.0323562403045917,0.0175926798594435,0.732,-0.304071839060538,0.124726965284824,-0.00539242224266428
"DGP A (nonlinear): Log-Normal Hurdle",13,1.65942638634522,0.0109536054736015,NA,NA,NA,NA,NA,NA,1.41245145398547,0.163131042562755,0.964,0.694135319710557,4.57674019270801,1.82255742890797,NA,NA,NA,NA,NA,NA,0.0284884219212337,0.00490127384670357,0.962,0.38607604056444,0.126346140205745,0.015854879320305
"DGP A (nonlinear): Log-Normal Hurdle",14,1.56498916566386,0.00865361567488014,NA,NA,NA,NA,NA,NA,1.63923978078859,0.439972116884309,0.882,0.63605898046152,3.64968486226952,2.00496128254817,NA,NA,NA,NA,NA,NA,0.0328065855579567,0.00195835508063175,0.986,0.0441930202142193,0.124881209580319,0.00669526059424839
"DGP A (nonlinear): Log-Normal Hurdle",15,1.54721675878056,0.00983061699459156,NA,NA,NA,NA,NA,NA,1.83290494225085,0.804149112178794,0.916,0.622989763874846,4.42799955172793,2.35136587095936,NA,NA,NA,NA,NA,NA,0.0284319894976222,0.00902008850501327,0.988,0.00599926899273236,0.132743190924598,0.000810528489578291
"DGP A (nonlinear): Log-Normal Hurdle",16,1.64442749094885,0.00961199910891512,NA,NA,NA,NA,NA,NA,2.09048098594738,0.277174858981546,0.874,0.555545456286982,4.11671544139552,1.9216023499304,NA,NA,NA,NA,NA,NA,0.0584944644355489,0.0430394710904858,0.916,0.164429537055866,0.1823962428508,0.052651470199401
"DGP A (nonlinear): Log-Normal Hurdle",17,1.79543427368783,0.00966530213829743,NA,NA,NA,NA,NA,NA,2.98912449748674,1.2690234158733,0.78,0.788822376915957,4.78376615780802,3.06445768956114,NA,NA,NA,NA,NA,NA,0.0640780527423273,0.0473079446148906,0.836,-0.0790446499887365,0.17192152810754,0.056973246753188
"DGP A (nonlinear): Log-Normal Hurdle",18,1.61527027945536,0.00924205800877623,NA,NA,NA,NA,NA,NA,1.98648071069187,0.78206963003587,0.982,0.752350247585766,5.94655384167794,2.39733990949123,NA,NA,NA,NA,NA,NA,0.0346131037923271,0.011836365614693,0.896,-0.283219514236968,0.116826476876372,-0.00259430760591681
"DGP A (nonlinear): Log-Normal Hurdle",19,1.7796889305903,0.0100460313079326,NA,NA,NA,NA,NA,NA,2.16421950977838,0.406301812898911,0.88,0.723436976737308,4.00942447044712,2.18599074348921,NA,NA,NA,NA,NA,NA,0.0444401314806298,0.0216629195494781,0.944,0.130084294713407,0.160911639037098,0.0317089508574107
"DGP A (nonlinear): Log-Normal Hurdle",20,1.54205268852783,0.005904442741914,NA,NA,NA,NA,NA,NA,1.37678560757617,0.202164519683168,0.958,0.711601127090744,4.6081693890905,1.744217208211,NA,NA,NA,NA,NA,NA,0.0506951743379429,0.0282278315905923,0.652,0.16286597335996,0.153219091061396,-0.0223233888486783
"DGP A (nonlinear): Log-Normal Hurdle",21,1.4805246735206,0.00985448884552278,NA,NA,NA,NA,NA,NA,0.954250529244946,0.0294431493974145,0.936,0.681409003441717,3.51367703897624,1.50996782291801,NA,NA,NA,NA,NA,NA,0.0289918438072294,0.00635507815605922,0.976,0.0584862235751279,0.106890782250332,0.00349941068946356
"DGP A (nonlinear): Log-Normal Hurdle",22,1.59338568035192,0.00762454590267198,NA,NA,NA,NA,NA,NA,2.07330981570214,0.437505572376838,0.88,0.678693174501674,4.59107050389493,2.03089125272876,NA,NA,NA,NA,NA,NA,0.0351687563332074,0.009699301368555,0.986,0.190612052262839,0.127847016698304,-0.00207475546588301
"DGP A (nonlinear): Log-Normal Hurdle",23,1.80353891796452,0.0113217184252078,NA,NA,NA,NA,NA,NA,2.44301405164473,0.369592376281058,0.908,0.603143060811195,4.96377490470852,2.17313129424558,NA,NA,NA,NA,NA,NA,0.0261209635682507,0.00945895635879094,0.96,0.195666274500099,0.101067743715024,0.00186276206641687
"DGP A (nonlinear): Log-Normal Hurdle",24,1.64778232870458,0.00774942738405258,NA,NA,NA,NA,NA,NA,2.03129314990828,0.182262512613909,0.89,0.543693338639619,4.10445707740683,1.83004484131849,NA,NA,NA,NA,NA,NA,0.0729858294532671,0.0422468634955842,0.892,0.192190682144518,0.191731973527005,0.0499962908796368
