"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,1.38449800188022,0.0557688496158751,NA,NA,NA,NA,NA,NA,1.71604056467128,0.915637648970638,0.844,0.642550080607474,3.4621281978986,0.468860352909586,NA,NA,NA,NA,NA,NA,0.0668227337590232,0.0419585034097677,0.976,0.130679157556327,0.348633406973227,0.0977273530256428
"DGP B (nonlinear): Gamma Hurdle",2,1.42363317531311,0.0594952776958274,NA,NA,NA,NA,NA,NA,1.7282765734546,0.345297540142712,0.976,0.618755726983831,6.08012113781154,1.76893071545582,NA,NA,NA,NA,NA,NA,0.0545901179744409,0.0216145564157129,0.996,-0.157644357028169,0.342924317359643,0.0378807212801144
"DGP B (nonlinear): Gamma Hurdle",3,1.45116075881054,0.055576647502657,NA,NA,NA,NA,NA,NA,2.75768820778276,1.3245232837646,0.8,0.224212390420235,3.74187795639685,0.126637475045937,NA,NA,NA,NA,NA,NA,0.0725308670593951,0.0436533585786406,0.968,-0.0613565061817673,0.340042508498755,0.0119232889240164
"DGP B (nonlinear): Gamma Hurdle",4,1.5778501443891,0.0553308037706293,NA,NA,NA,NA,NA,NA,4.1423685941779,1.98647906999513,0.952,0.579922483804814,10.480091813,3.56432921438424,NA,NA,NA,NA,NA,NA,0.0770870179201305,0.0580623736686509,0.944,-0.189460981634733,0.311324240527153,0.11339317743928
"DGP B (nonlinear): Gamma Hurdle",5,1.4021254694997,0.0586305682257537,NA,NA,NA,NA,NA,NA,2.24043948038089,1.17331029693973,0.78,0.337524452332691,4.38557271834697,0.228815172559975,NA,NA,NA,NA,NA,NA,0.0505585972691112,0.00437977280019596,0.968,0.0549243004923174,0.311512887554791,0.0630103410259497
"DGP B (nonlinear): Gamma Hurdle",6,1.30067265365545,0.0595189892959818,NA,NA,NA,NA,NA,NA,2.54604398733947,1.59511982449097,0.924,0.603425637364543,8.00098109335709,2.89579247814641,NA,NA,NA,NA,NA,NA,0.0615928062813935,0.0272801296312828,0.968,0.0352052620820131,0.326908916267304,0.0867991189272646
"DGP B (nonlinear): Gamma Hurdle",7,1.34694600085868,0.0596459665419701,NA,NA,NA,NA,NA,NA,0.916712878924378,0.00640438371827072,0.984,0.739568842457752,7.04566706777383,1.35335038457695,NA,NA,NA,NA,NA,NA,0.0669178051886988,0.0426934241525963,0.988,-0.0559724227544335,0.428115082520948,0.102339390694566
"DGP B (nonlinear): Gamma Hurdle",8,1.28832998608305,0.0527499656573137,NA,NA,NA,NA,NA,NA,1.09831556818871,0.331787408987629,0.94,0.746678500556767,5.12406938995656,1.62011739507068,NA,NA,NA,NA,NA,NA,0.0868973825880815,0.071461850496519,0.944,0.100684705718036,0.341192295503939,0.124211816153833
"DGP B (nonlinear): Gamma Hurdle",9,1.16027439253467,0.0583393678523996,NA,NA,NA,NA,NA,NA,1.22203564665358,0.0611675520709583,0.948,0.37371181935234,4.82005884785576,1.09910684046371,NA,NA,NA,NA,NA,NA,0.105056837026891,0.00709265103055877,0.988,0.0772931951083874,0.54609929812443,0.0512467168218408
"DGP B (nonlinear): Gamma Hurdle",10,1.5067067076284,0.0659329802627683,NA,NA,NA,NA,NA,NA,1.57865510953933,0.264537318640991,0.988,0.653618485778488,6.86786631223073,1.24216938898741,NA,NA,NA,NA,NA,NA,0.0677435387893501,0.0118759272305775,0.992,0.190461609901027,0.471580796027475,0.0778089074933458
