"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,1.5631995572254,0.00765781315830373,NA,NA,NA,NA,NA,NA,1.34733402035272,0.405438769628707,0.904,0.72320062212971,4.25009858685463,1.15776078759669,NA,NA,NA,NA,NA,NA,0.0298887563184188,0.0075754674261041,0.986,0.0704753810520578,0.118981735642423,8.23457321996295e-05
"DGP B (nonlinear): Gamma Hurdle",2,1.49625981358657,0.00828875682465887,NA,NA,NA,NA,NA,NA,1.24970233768417,0.184739605432446,0.948,0.621130795276246,3.91759274191159,1.31152020815412,NA,NA,NA,NA,NA,NA,0.019083813248202,0.000279838634586368,0.97,0.359809341317828,0.108119528626268,0.0080089181900725
"DGP B (nonlinear): Gamma Hurdle",3,1.32061679211761,0.00486672973615716,NA,NA,NA,NA,NA,NA,1.53508664373468,0.883160241043412,0.932,0.610121004973907,4.58242972402482,2.20377703316102,NA,NA,NA,NA,NA,NA,0.030853321244296,0.0102925425675552,0.95,0.0606950791766909,0.105100928831261,-0.00542581283139803
"DGP B (nonlinear): Gamma Hurdle",4,1.45326655681925,0.00468567932057774,NA,NA,NA,NA,NA,NA,1.83759138180713,1.00882011190958,0.95,0.675361675444469,5.45700104764068,2.46208666872882,NA,NA,NA,NA,NA,NA,0.029996173896698,0.0027802989804598,0.964,0.0196027047083909,0.119570556732854,0.00746597830103754
"DGP B (nonlinear): Gamma Hurdle",5,1.47953410487127,0.00639938610533491,NA,NA,NA,NA,NA,NA,1.66715193559571,0.212599773004967,0.97,0.690722484913052,5.06258643794006,1.69213387787624,NA,NA,NA,NA,NA,NA,0.0274828123934698,0.0112805868985545,0.972,0.107025653293797,0.119232086733458,0.0176799730038894
"DGP B (nonlinear): Gamma Hurdle",6,1.49351670454521,0.00698022650508871,NA,NA,NA,NA,NA,NA,1.85784603018865,1.17332214596664,0.63,0.531610856396704,3.80257436721357,0.320194558578566,NA,NA,NA,NA,NA,NA,0.0412819882603777,0.0206728498844846,0.868,-0.11393922671287,0.189058996706141,-0.0136926233793959
"DGP B (nonlinear): Gamma Hurdle",7,1.51189367521917,0.00788644110928347,NA,NA,NA,NA,NA,NA,1.69069476468728,0.481095772635692,0.98,0.630394839195227,5.29957382152936,1.99298944785486,NA,NA,NA,NA,NA,NA,0.0240957812467077,0.00506826826893722,0.76,0.221247890747194,0.0873144900102236,0.00281817284034624
"DGP B (nonlinear): Gamma Hurdle",8,1.42746710042905,0.00536434334703231,NA,NA,NA,NA,NA,NA,1.36135469160467,0.323904643961696,0.99,0.63844070116948,5.09357134309302,1.75137174439075,NA,NA,NA,NA,NA,NA,0.0324509571188156,0.00886149743934198,0.948,0.135890376744153,0.116075330143971,-0.00349715409230967
"DGP B (nonlinear): Gamma Hurdle",9,1.40650530162536,0.00499394075729454,NA,NA,NA,NA,NA,NA,1.20113755069788,0.025534746449537,0.906,0.741947746045313,4.39618759725457,1.38097055517583,NA,NA,NA,NA,NA,NA,0.0317140120723247,0.00197332231846547,0.968,0.071866983527245,0.110417913925608,0.00696726307576001
"DGP B (nonlinear): Gamma Hurdle",10,1.43788949290927,0.00645367759761391,NA,NA,NA,NA,NA,NA,1.26730833369922,0.0956865640257581,0.98,0.572268392754106,4.83418242819728,1.53357605693502,NA,NA,NA,NA,NA,NA,0.0369673698123233,0.0160885532923042,0.974,0.00310083270322843,0.108414407127718,-0.00963487569469028
"DGP B (nonlinear): Gamma Hurdle",11,1.44199019223789,0.00694837456799941,NA,NA,NA,NA,NA,NA,1.36773355982859,0.553809984980593,0.972,0.7049732686714,4.81806878354793,1.99580017721848,NA,NA,NA,NA,NA,NA,0.0267087516958816,0.00788752978996949,0.946,0.103677519776608,0.101391722372407,-0.000939155221970085
"DGP B (nonlinear): Gamma Hurdle",12,1.52357541077325,0.00869530548490994,NA,NA,NA,NA,NA,NA,2.59762723604065,0.414251529709296,0.962,0.59471969867758,5.42187988865793,1.93782694048255,NA,NA,NA,NA,NA,NA,0.0217443401914569,0.00237559021360923,0.962,0.0969614572314429,0.116631201879126,0.00631971527130072
"DGP B (nonlinear): Gamma Hurdle",13,1.45840650159053,0.00756449675451689,NA,NA,NA,NA,NA,NA,1.8935243339212,0.948495585746847,0.978,0.706786269509044,6.1369964799908,2.40690208733738,NA,NA,NA,NA,NA,NA,0.0339589409693581,0.0127311608482416,0.972,-0.398609658139196,0.102555659815257,-0.00516666409372469
"DGP B (nonlinear): Gamma Hurdle",14,1.38180773518704,0.00552994715235261,NA,NA,NA,NA,NA,NA,1.35777545726005,0.675895179928838,0.952,0.693854315584106,4.61320477932596,2.05770291511587,NA,NA,NA,NA,NA,NA,0.0325401800174909,0.00533625423733129,0.966,-0.121640890907093,0.124690601441583,0.0108662013896839
"DGP B (nonlinear): Gamma Hurdle",15,1.36037352357941,0.00690603449241699,NA,NA,NA,NA,NA,NA,1.19453689788235,0.128051756014995,0.924,0.552814705131013,4.2039212043063,1.23232176756442,NA,NA,NA,NA,NA,NA,0.0243716340579006,0.00654642413908139,0.98,0.149116516144717,0.104478438711912,0.0134524586314984
