"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,0.174938375886975,0.0521978364245934,NA,NA,NA,NA,NA,NA,0.462489674106439,0.401356791544044,1,-0.0477583461326417,2.22232623982383,0.576295167431019,NA,NA,NA,NA,NA,NA,0.0527317582270531,0.0398313238405852,1,-0.421511503970096,0.463874573586628,0.0920291602651786
"DGP C (nonlinear): Tweedie Semicontinuous",2,0.167571036971385,0.0503257092105777,NA,NA,NA,NA,NA,NA,0.144079773000187,0.0717921594290602,0.99,0.110539498139987,0.893731484602495,0.0957788775423245,NA,NA,NA,NA,NA,NA,0.0521436883190093,0.0461476132168816,1,0.0546687002169395,0.444413451629756,0.0964733224274593
"DGP C (nonlinear): Tweedie Semicontinuous",3,0.178346371722813,0.0518899521125538,NA,NA,NA,NA,NA,NA,0.290991313446174,0.24679841561495,0.89,-0.0770275480201367,0.933959981806876,-0.0684520438921368,NA,NA,NA,NA,NA,NA,0.0546581447674629,0.0465524907606125,1,-0.5282311561171,0.417387339725553,0.00533746135194127
"DGP C (nonlinear): Tweedie Semicontinuous",4,0.172108295235235,0.0511973928805942,NA,NA,NA,NA,NA,NA,0.1178710861559,0.057312451715474,1,0.436440702354068,1.10395579663642,0.229420746950709,NA,NA,NA,NA,NA,NA,0.0652863618343763,0.0587493081005707,1,-0.223740955216674,0.472812105761348,0.109946700981165
"DGP C (nonlinear): Tweedie Semicontinuous",5,0.145329356118106,0.0507246658576096,NA,NA,NA,NA,NA,NA,0.208184383993146,0.183448315067544,0.85,-0.294198631455645,0.796712968102148,-0.0381189589494383,NA,NA,NA,NA,NA,NA,0.0867316025664163,0.0810206660937254,1,-0.274698429959789,0.448667230111059,-0.0302960002361159
"DGP C (nonlinear): Tweedie Semicontinuous",6,0.229915256931409,0.0506912656852047,NA,NA,NA,NA,NA,NA,0.550506511924521,0.1923973282432,0.98,0.320583694221576,1.32742160968057,0.0375179286882082,NA,NA,NA,NA,NA,NA,0.0488095181243847,0.0412801734934557,1,0.230282175192914,0.459987356803806,0.0919714391786604
"DGP C (nonlinear): Tweedie Semicontinuous",7,0.157605674854273,0.0534816710102183,NA,NA,NA,NA,NA,NA,0.132874046444617,0.073934068846536,0.99,0.270471516003183,0.796762379138507,0.0836716060077368,NA,NA,NA,NA,NA,NA,0.0449066434811442,0.0361525383852349,1,-0.00168536272755761,0.451435815705402,0.0173291326249834
"DGP C (nonlinear): Tweedie Semicontinuous",8,0.153419501241951,0.0486986847273698,NA,NA,NA,NA,NA,NA,0.194886540814194,0.144196972263628,0.98,-0.138826649332306,1.26731302728295,0.00922252897832327,NA,NA,NA,NA,NA,NA,0.176895324952172,0.168901536303192,0.9,-0.534203361079085,0.571523322177747,-0.120202851575822
"DGP C (nonlinear): Tweedie Semicontinuous",9,0.172870324474864,0.050240723290954,NA,NA,NA,NA,NA,NA,0.291964263196539,0.16828403494915,0.98,0.352793452970888,0.886314131850106,0.00458628952571424,NA,NA,NA,NA,NA,NA,0.0670802370503337,0.0617894999115499,1,-0.1306041428555,0.396363851494445,-0.0115487766205959
"DGP C (nonlinear): Tweedie Semicontinuous",10,0.186020846802491,0.0551152162905868,NA,NA,NA,NA,NA,NA,0.366953455514511,0.32047554388906,1,0.189266195798657,1.46927011428329,0.506496390691551,NA,NA,NA,NA,NA,NA,0.198001366376756,0.194974600735791,0.99,0.235711005808245,0.524679169414358,0.250089817026378
"DGP C (nonlinear): Tweedie Semicontinuous",11,0.149529707885629,0.0513472146357512,NA,NA,NA,NA,NA,NA,0.119805723505097,0.0806571198874708,0.98,0.166839223681798,0.578179118489934,0.0688725879981577,NA,NA,NA,NA,NA,NA,0.0255573077703457,0.00827072660773927,1,-0.128506973007889,0.392869003723452,0.043076488028012
"DGP C (nonlinear): Tweedie Semicontinuous",12,0.149556102730692,0.0528958058679267,NA,NA,NA,NA,NA,NA,0.120922303830634,0.0794669951967262,1,0.249163055674589,0.826209670512197,0.0700891075339656,NA,NA,NA,NA,NA,NA,0.029789680559775,0.012061331530011,1,0.0162705058298294,0.429073015354694,0.0408344743379157
"DGP C (nonlinear): Tweedie Semicontinuous",13,0.176917091644418,0.0490961581525462,NA,NA,NA,NA,NA,NA,0.522986881098801,0.455397403516284,1,0.210745144552736,2.1403795165122,0.632314495160702,NA,NA,NA,NA,NA,NA,0.0363130385047151,0.0272496299031845,1,0.41196668194767,0.489219065232725,0.0763457880557307
"DGP C (nonlinear): Tweedie Semicontinuous",14,0.160320751056902,0.0519404456378095,NA,NA,NA,NA,NA,NA,0.189029358013744,0.0854151510123448,0.99,0.192836233886146,1.23667311821364,0.245735902069247,NA,NA,NA,NA,NA,NA,0.0659879688563186,0.0597412362264997,1,0.204841186421897,0.464625678180173,0.111681681864309
"DGP C (nonlinear): Tweedie Semicontinuous",15,0.187574143481039,0.0547140917104273,NA,NA,NA,NA,NA,NA,0.184167778994219,0.05645412392062,1,-0.0590589579297855,1.35164260477448,0.244028267401659,NA,NA,NA,NA,NA,NA,0.0634217200718942,0.0559243725844165,1,-0.292885642366296,0.47511618499885,-0.00121028087398914
"DGP C (nonlinear): Tweedie Semicontinuous",16,0.178712256373444,0.0500824245922422,NA,NA,NA,NA,NA,NA,0.238455813548502,0.00772656035030303,0.98,-0.0444929462287511,1.31462644815079,0.186438816723747,NA,NA,NA,NA,NA,NA,0.0361753807181156,0.012178501386833,1,-0.445498228022575,0.443673006878118,0.0379039232054092
"DGP C (nonlinear): Tweedie Semicontinuous",17,0.194066286633432,0.0500672053921301,NA,NA,NA,NA,NA,NA,0.225739132038167,0.0433942505425238,0.98,0.0396555657930906,1.06834816847749,0.237460537175956,NA,NA,NA,NA,NA,NA,0.0364809356114507,0.0294434013291819,1,0.283258019544656,0.403029527577347,0.0795106067213119
"DGP C (nonlinear): Tweedie Semicontinuous",18,0.168210777129722,0.0503706515153633,NA,NA,NA,NA,NA,NA,0.179363344655965,0.14363285682183,0.99,0.0569878384686127,0.902199829905183,0.024577920307892,NA,NA,NA,NA,NA,NA,0.124954274404607,0.119639136184247,1,-0.315573910234556,0.494604867882729,-0.0692684846688834
"DGP C (nonlinear): Tweedie Semicontinuous",19,0.169243894518001,0.0502324721007781,NA,NA,NA,NA,NA,NA,0.150494135730275,0.0101030511454164,0.97,0.140988507433196,0.838331036104178,0.179346945663417,NA,NA,NA,NA,NA,NA,0.0450776389696482,0.0364957580569925,1,-0.43908309950197,0.418549692669412,0.0867282301577706
"DGP C (nonlinear): Tweedie Semicontinuous",20,0.159857534597337,0.052618539854326,NA,NA,NA,NA,NA,NA,0.132880879470468,0.0526488587667382,1,0.184246319007166,1.05876425821488,0.212506393364076,NA,NA,NA,NA,NA,NA,0.116610976280943,0.113806158508353,1,0.263998390841925,0.504873299010707,0.166424698362679
"DGP C (nonlinear): Tweedie Semicontinuous",21,0.179020078158704,0.0517883587647815,NA,NA,NA,NA,NA,NA,0.237576488231978,0.157768836584803,0.95,0.30440869226374,0.589299878040207,0.0212512415739009,NA,NA,NA,NA,NA,NA,0.0873833163729869,0.0841356272731721,1,-0.279089854582812,0.378802625822756,-0.0323472685083906
"DGP C (nonlinear): Tweedie Semicontinuous",22,0.206152034030962,0.0509948858947001,NA,NA,NA,NA,NA,NA,0.35573816466314,0.237785963928538,0.97,-0.408092687445734,1.71859135463076,-0.0316339298975758,NA,NA,NA,NA,NA,NA,0.0899765231378651,0.0865947496972616,1,-0.000563587340477062,0.432829753389085,0.137589635591962
"DGP C (nonlinear): Tweedie Semicontinuous",23,0.174882090120797,0.0518418856648652,NA,NA,NA,NA,NA,NA,0.226226784469226,0.186015779952851,0.98,-0.0607015196745422,1.05353845615659,-0.0111336898320545,NA,NA,NA,NA,NA,NA,0.0684772603198293,0.0181606230923166,1,-0.494263853167989,0.596997143837062,0.0336812625725485
"DGP C (nonlinear): Tweedie Semicontinuous",24,0.169429073923885,0.0514418583584733,NA,NA,NA,NA,NA,NA,0.179264231954022,0.134337868623977,0.99,0.247027375879079,0.909746974396953,0.035091205299908,NA,NA,NA,NA,NA,NA,0.0277009020368925,0.0202962165598903,1,0.561636223296572,0.384349031942188,0.031145641798583
"DGP C (nonlinear): Tweedie Semicontinuous",25,0.202999015310406,0.0508332559594345,NA,NA,NA,NA,NA,NA,0.599510904359007,0.400145586931226,1,0.144357101281763,2.42263530921864,0.603144602241632,NA,NA,NA,NA,NA,NA,0.0491706947743226,0.0425306102435239,1,-0.0214606709949717,0.420387558859123,0.00830264571591059
