"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,"OK",1.77879619827561,0.0110916317871946,6.92248572652106,1.68741628710384,0.502,-0.107017254459915,9.9220908254144,3.46621248537945,0.0801199891746565,0.031422290008471,0.93,0.0163827495924149,0.271119445217954,-0.0203306582212764
"DGP A (nonlinear): Log-Normal Hurdle",2,"OK",1.70117270918671,0.0114233493779223,4.73912615633204,0.326220336624818,0.584,-0.0182426363764881,6.70638099256631,2.02739304581153,0.102014487613713,0.000229384271066888,0.848,-0.32715941764544,0.21658939540862,0.0111939651068554
"DGP A (nonlinear): Log-Normal Hurdle",3,"OK",1.50082176354147,0.00788199031923513,3.84710709111805,0.00069978264200857,0.67,-0.256550089096841,5.53260267485709,1.50012198089946,0.0830831649880849,0.0232402424164582,0.922,0.183497670557181,0.263931727257337,-0.0153582520972231
"DGP A (nonlinear): Log-Normal Hurdle",4,"OK",1.65517084657915,0.00764632427028824,4.83237612307289,0.536183820463264,0.754,-0.506305973440482,8.16894236810447,1.11898702611589,0.083313444284723,0.030505864479694,0.876,0.170406627389241,0.268104136500888,-0.0228595402094057
"DGP A (nonlinear): Log-Normal Hurdle",5,"OK",1.68303833400879,0.00953527958929935,7.1225132621939,1.5831388576442,0.486,0.0543995620020827,8.12544766431075,3.26617719165299,0.0807996930388289,0.0260547258255622,0.894,0.174201181246348,0.223899915879262,0.0355900054148616
"DGP A (nonlinear): Log-Normal Hurdle",6,"OK",1.69905195585648,0.0102771252163715,4.92300732647192,1.81530214219332,0.648,-0.0565280864694016,8.912895788387,3.5143540980498,0.117588059884739,0.0381006025425373,0.866,-0.261814890635229,0.27041105240284,-0.0278234773261658
"DGP A (nonlinear): Log-Normal Hurdle",7,"OK",1.71830679000571,0.0111531675511075,2.95928763198992,0.573979843052855,0.816,0.174119950769862,6.2635370443838,2.29228663305856,0.0451089469010014,0.0112863961086926,0.852,0.320753880728151,0.221880136262835,-0.000133228557585104
"DGP A (nonlinear): Log-Normal Hurdle",8,"OK",1.61821317185072,0.00835365689759604,5.38051908354539,0.219667197227999,0.582,-0.328534866579478,7.09144884932993,1.83788036907872,0.0743640520844786,0.0321653171409437,0.83,-0.0809706647036647,0.257228384874527,-0.0238116602433477
"DGP A (nonlinear): Log-Normal Hurdle",9,"OK",1.59257984701277,0.00775491581875694,5.1282689642983,1.20657567094788,0.64,-0.111222773907347,6.85925114693926,2.79915551796064,0.111305787149954,0.0167372608157056,0.842,-0.276593246386002,0.270764497982833,-0.00898234499694865
"DGP A (nonlinear): Log-Normal Hurdle",10,"OK",1.63487285889802,0.00996041030507254,3.20073152491578,0.612504491699704,0.792,0.0867725129802964,6.37893334714569,1.02236836719832,0.0878257636715065,0.0613466224795008,0.53,0.198362567075009,0.246731755220755,-0.0513862121744283
"DGP A (nonlinear): Log-Normal Hurdle",11,"OK",1.64011152416079,0.0102377728127234,2.6085969389276,0.783581942017591,0.914,-0.209579895314383,5.68305755111095,0.856529582143203,0.0678024235483626,0.0190664137473153,0.972,0.210935941115951,0.245320621921646,-0.00882864093459182
"DGP A (nonlinear): Log-Normal Hurdle",12,"OK",1.73551261561094,0.0122002576167792,6.67707186149483,1.83887928711973,0.61,-0.115658266137557,8.13950911421463,3.57439190273067,0.0757362697028614,0.00613540645833538,0.886,-0.0813584271734509,0.230115650642724,0.00606485115844381
"DGP A (nonlinear): Log-Normal Hurdle",13,"OK",1.65942638634522,0.0109536054736015,3.84768241000178,0.521459403171311,0.714,-0.351159883398244,8.01504048723045,2.18088578951653,0.0740335104785288,0.00895531509297558,0.964,0.0838146852167451,0.254838196283131,0.0199089205665771
"DGP A (nonlinear): Log-Normal Hurdle",14,"OK",1.56498916566386,0.00865361567488014,4.91764125354767,0.505237597574958,0.638,-0.318937655257707,7.09608066819913,2.07022676323882,0.08977219264759,0.00812888257197858,0.872,-0.0869658571924803,0.241157572771553,0.000524733102901555
"DGP A (nonlinear): Log-Normal Hurdle",15,"OK",1.54721675878056,0.00983061699459156,3.91383677377181,0.203067029892795,0.738,-0.367865053160756,5.58164064988348,1.34414972888777,0.0598464199969039,0.0143572532998152,0.922,0.412732396786086,0.246204795604232,-0.00452663630522366
"DGP A (nonlinear): Log-Normal Hurdle",16,"OK",1.64442749094885,0.00961199910891512,5.28712708644216,1.02936643662495,0.624,-0.271770326144682,7.42782769094683,2.67379392757381,0.0911218890808896,0.0429069908913156,0.914,-0.0141481476213661,0.277683826995379,0.0525189900002307
"DGP A (nonlinear): Log-Normal Hurdle",17,"OK",1.79543427368783,0.00966530213829743,476350240646.161,475075895202.11,0,0.0913215782119713,277676160457.556,-475075895200.315,0.0837884702514533,0.0390520606188222,0.776,-0.455966884488945,0.256337710763632,0.0487173627571197
"DGP A (nonlinear): Log-Normal Hurdle",18,"OK",1.61527027945536,0.00924205800877623,3.64067647264385,0.286716662500623,0.748,-0.0171667961104671,6.24872442363365,1.32855361695473,0.0912805301717209,0.0237674579596098,0.942,-0.384637270270682,0.257599384740565,-0.0145253999508336
"DGP A (nonlinear): Log-Normal Hurdle",19,"OK",1.7796889305903,0.0100460313079326,4.21027726482934,0.938778852720247,0.742,0.0923382051199718,7.32930206542228,2.71846778331055,0.110178734760706,0.0146678072902001,0.768,0.204824102923611,0.254085911131516,0.0247138385981326
"DGP A (nonlinear): Log-Normal Hurdle",20,"OK",1.54205268852783,0.005904442741914,5.17821343598784,0.00352829760702503,0.582,-0.424717021795508,6.37472239581844,1.5385243909208,0.0768685583896917,0.0552323866173506,0.76,0.100437053568682,0.261844376388582,-0.0493279438754366
"DGP A (nonlinear): Log-Normal Hurdle",21,"OK",1.4805246735206,0.00985448884552278,3.32376357573304,0.00309316961844488,0.782,-0.523628952814971,5.73998357879251,1.47743150390215,0.0846898441328634,0.00234812112968624,0.962,-0.101137523954606,0.254192311664987,0.012202609975209
"DGP A (nonlinear): Log-Normal Hurdle",22,"OK",1.59338568035192,0.00762454590267198,4.14259932317131,0.0810082510245222,0.64,0.0877557028390964,6.39370684814464,1.5123774293274,0.0983172876236315,0.0229137420714595,0.69,-0.111433816311596,0.247015623576114,-0.0152891961687875
"DGP A (nonlinear): Log-Normal Hurdle",23,"OK",1.80353891796452,0.0113217184252078,6.11213244954142,1.33846710648565,0.558,-0.234536692490304,7.66194641083803,3.14200602445016,0.0644090575459506,0.0109026911317354,0.894,0.296185151004502,0.234866137331374,0.00041902729347244
"DGP A (nonlinear): Log-Normal Hurdle",24,"OK",1.64778232870458,0.00774942738405258,5.31506998384428,0.864986322080179,0.744,-0.441873651271753,5.88336156300113,0.782796006624405,0.118059011051977,0.0496306064222222,0.848,0.0962449170232118,0.258032647860685,0.0573800338062748
"DGP A (nonlinear): Log-Normal Hurdle",25,"OK",1.68081539231087,0.00780155132890761,3.43352289276065,0.270749277992727,0.854,0.0740714922759972,7.18216592757507,1.9515646703036,0.0610551735016974,0.0200313835631039,0.988,-0.206200461205836,0.271209558703169,-0.0122298322341962
