"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",1.52970634485617,0.0624191325525533,5.8981197139176,0.288519680080431,0.638,-0.470105775666678,7.78487568615963,1.24118666477574,0.0692424475704659,0.0112704471139468,1,0.280441933128749,0.395762422214749,0.0511486854386065
"DGP B (nonlinear): Gamma Hurdle",2,"OK",1.45367645109587,0.0623430499301357,4.02367502651369,0.043016718378754,0.718,-0.237666638216818,6.98971047615371,1.41065973271712,0.120484735391456,0.0505114617326597,0.904,0.139276835867683,0.394536166676605,0.011831588197476
"DGP B (nonlinear): Gamma Hurdle",3,"OK",1.2743703634641,0.0601662307259155,2.94736564865534,0.847311015909054,0.71,0.113270809253766,5.23430025859958,2.12168137937315,0.110977145013922,0.00559606935865449,0.948,0.0713362537482013,0.390859347564617,0.06576230008457
"DGP B (nonlinear): Gamma Hurdle",4,"OK",1.42411820988523,0.0580166545707573,2.6874500468734,0.455705956413359,0.976,0.32210253654491,8.67522763042463,1.87982416629859,0.134959342516972,0.00651593537791025,0.922,0.0265653828310226,0.39206382404264,0.0645325899486675
"DGP B (nonlinear): Gamma Hurdle",5,"OK",1.44975213672729,0.0613111005316233,6.07554099181296,2.98612585473465,0.558,0.0940566635739364,9.32196911383691,4.43587799146194,0.163326463214576,0.0302436783502958,0.79,0.0246357839881121,0.378929801282085,0.0915547788819191
"DGP B (nonlinear): Gamma Hurdle",6,"OK",1.41699869019813,0.0618354267449801,4.6019317539969,0.367651128388725,0.666,0.20579634639961,8.08427570748361,1.78464981858685,0.14090149823567,0.0321749705384468,0.878,0.000496935760721204,0.39101211012532,0.0296604562065333
"DGP B (nonlinear): Gamma Hurdle",7,"OK",1.41681011233885,0.0591669038805663,3.44307258947946,0.182266330224298,0.944,-0.284882606907906,6.56114533907078,1.23454378211455,0.121774359686941,0.013764163627375,0.942,-0.0284270307044393,0.391618107162245,0.0454027402531913
"DGP B (nonlinear): Gamma Hurdle",8,"OK",1.39585529531459,0.0590533839471208,3.14010553679648,0.13112002251044,0.946,-0.224577360702923,7.11549986020886,1.52697531782503,0.1450191620693,0.0735080055060677,0.826,-0.162486222803843,0.39119302327221,-0.0144546215589469
"DGP B (nonlinear): Gamma Hurdle",9,"OK",1.33360439249353,0.0557522297524369,3.62916845708532,1.31346515705441,0.802,0.357304400960563,6.7924824332739,2.64706954954794,0.0893255666556556,0.0328501511157997,0.996,-0.0252198726637524,0.396407863291727,0.0229020786366372
"DGP B (nonlinear): Gamma Hurdle",10,"OK",1.38548819352514,0.0617781929444686,3.3009165939962,0.497990649189407,0.822,0.00259478118884308,7.07258335377503,1.88347884271455,0.101159420751089,0.0387100395922643,0.99,-0.00276576682082314,0.38891939163825,0.0230681533522043
