"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",1.5631995572254,0.00765781315830373,4.56405850708193,0.0124134254376168,0.786,-0.21761106677522,7.92040827459139,1.55078613178778,0.0797905209901944,0.0269695937211003,0.838,0.293965608413488,0.262098168745874,-0.0193117805627965
"DGP B (nonlinear): Gamma Hurdle",2,"OK",1.49625981358657,0.00828875682465887,4.59081618220029,0.344006434890975,0.63,-0.230102706921365,6.65264289052284,1.84026624847755,0.0870551848194216,0.00319515315518225,0.906,-0.253723320276603,0.202024108407781,0.0114839099798411
"DGP B (nonlinear): Gamma Hurdle",3,"OK",1.32061679211761,0.00486672973615716,2.28335445260802,0.704542910684007,0.898,0.152475169232528,5.3950895971871,2.02515970280162,0.085011799448808,0.0246027980626793,0.862,0.116804549106708,0.268576889733307,-0.0197360683265222
"DGP B (nonlinear): Gamma Hurdle",4,"OK",1.45326655681925,0.00468567932057774,6909.79922007796,6882.42490483611,0,0.148455204493679,5463.60212907704,-6880.97163827929,0.105158693287137,0.0241776551457622,0.786,0.206542935491182,0.268283682904444,-0.0194919758251845
"DGP B (nonlinear): Gamma Hurdle",5,"OK",1.47953410487127,0.00639938610533491,8.25579788874773,2.76797478856,0.48,0.0802206865091166,9.51269657728895,4.24750889343127,0.0803890485774389,0.0146365041824421,0.904,-0.0236824159233187,0.219769520066334,0.021035890287777
"DGP B (nonlinear): Gamma Hurdle",6,"OK",1.49351670454521,0.00698022650508871,4.10038036272016,0.157550796795968,0.768,0.117205187565636,8.6032290542803,1.65106750134118,0.116477209932971,0.0336876340821779,0.87,-0.237682665676923,0.250468033884987,-0.0267074075770891
"DGP B (nonlinear): Gamma Hurdle",7,"OK",1.51189367521917,0.00788644110928347,3.1057645900534,0.213988782953558,0.876,0.203621118151918,6.56550730959445,1.72588245817273,0.0608680532160329,0.0154145327002629,0.646,0.306855383725011,0.217368921827965,-0.0075280915909794
"DGP B (nonlinear): Gamma Hurdle",8,"OK",1.42746710042905,0.00536434334703231,3.76768020691632,0.560071447738783,0.77,-0.0976052940915664,7.6275509958194,1.98753854816783,0.0895667686399287,0.0260941299385217,0.794,-0.0774868473545489,0.236056709251733,-0.0207297865914894
"DGP B (nonlinear): Gamma Hurdle",9,"OK",1.40650530162536,0.00499394075729454,3.55713829310205,0.940859640558845,0.86,0.126196161214268,7.60647618885342,2.34736494218421,0.079499367073184,0.00666664932185588,0.968,-0.258170587307805,0.25972539574167,-0.00167270856456134
"DGP B (nonlinear): Gamma Hurdle",10,"OK",1.43788949290927,0.00645367759761391,3.99082427733748,1.04049078734432,0.75,0.0333965823751366,7.23430988650812,2.47838028025359,0.0650289185346279,0.0313956200342072,0.944,0.132196272535763,0.227849740973059,-0.0249419424365933
