"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",0.167006545911239,0.0508299811973203,0.21990537046311,0.0709375054770293,0.938,-0.0483443957917325,0.757713836255774,0.0960690404342099,0.121718098617103,0.0811217935729615,0.902,-0.0430443741960583,0.402013279851588,-0.0302918123756412
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",0.190575246384559,0.0520047268301583,0.269252826848965,0.00709852595659735,0.972,-0.237114147728878,1.04520605447438,0.197673772341157,0.177015645926184,0.00948096977441368,0.75,-0.24158697582076,0.405246278759067,0.0425237570557446
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",0.170062659541429,0.0510379568346779,0.440372660492665,0.216039023608566,0.76,-0.0389506656914912,0.954151426512921,-0.0459763640671369,0.113389533952709,0.0279992935175216,0.95,-0.177632883285385,0.394012241721867,0.0230386633171563
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",0.179224984337176,0.0510392828848355,0.413084565273587,0.211998119004316,0.85,0.0325298457863849,1.01707277192188,-0.0327731346671408,0.1297248772584,0.0327913017048884,0.924,0.242741288423346,0.401999684443889,0.0838305845897238
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",0.175836189861389,0.0514303287333581,0.285480506080285,0.141463967554956,0.89,-0.0737257687776108,0.903991406957318,0.0343722223064332,0.0778032231794052,0.0615396421575411,1,0.0357325268939718,0.402154360412625,-0.010109313424183
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",0.179425843789392,0.0527559730321366,0.307731273410249,0.00176195683812776,0.846,-0.319672230710783,0.746073730961231,0.181187800627519,0.130957885588748,0.0444578463828569,0.884,-0.251171951971942,0.398503565666075,0.0972138194149934
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",0.181416754375872,0.0518625474946537,184.903119980365,129.28254716749,0,0.157903403192446,126.366882457875,129.463963921866,0.112645011678099,0.0123765233275894,0.928,0.181141270432823,0.385042057623451,0.0394860241670643
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",0.174619418292395,0.0514797551757717,0.497019115089214,0.184065006138048,0.688,-0.00497640899977724,0.979575422780809,-0.00944558784565282,0.120935242769361,0.0147512058815421,0.918,0.00116699643978408,0.396523362446052,0.0367285492942296
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",0.172168568595785,0.050592280147804,0.323882982596476,0.0332944895900249,0.824,-0.279535307181611,0.802565686141422,0.13887407900576,0.110772420281541,0.00798283463269087,0.942,-0.107689358568544,0.394095867896936,0.0426094455151131
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",0.177316345477766,0.0524569377503944,0.296168090318919,0.0510980507461662,0.868,-0.213741865180352,0.881851509251636,0.1262182947316,0.125856045736485,0.0505491806602496,0.864,0.513328414518259,0.395666098198859,0.00190775709014478
