"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",1.12668278815721,0.0331449351506992,1.95189052194336,0.932412133119288,0.812,0.0497363039078696,3.93734946009527,0.194270655037923,0.116261295333182,0.0458962590575872,0.91,-0.457185477373359,0.300021807398719,-0.012751323906888
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",1.28568523334661,0.0310126800397457,1.84497998351522,0.262405798907919,0.782,-0.287109715205058,4.70967698707324,1.54809103225453,0.0891954011814951,0.00914093851480503,0.946,0.183939295908414,0.30203347419356,0.0401536185545508
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",1.14730036698923,0.0317774129213744,1.30539445570012,0.571719087977195,0.944,0.0616582474091475,4.49218006011087,0.575581279012031,0.0574797845524739,0.0220019576842389,0.998,-0.0348790385883791,0.294039056330559,0.00977545523713555
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",1.20911251686963,0.0310381688107188,1.74940873613172,0.918549204302936,0.76,0.103986278013346,4.57033461993241,0.290563312566693,0.0929584426485686,0.00194049705967344,0.906,0.242189098640222,0.29168658885687,0.0329786658703922
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",1.18625056024608,0.0317726521259216,2.01223433244283,0.757391103410581,0.754,-0.181804069888649,3.95071901918222,0.4288594568355,0.0581030975886295,0.0109935514311475,0.984,0.30386040559922,0.270484310520324,0.020779100694774
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",1.21046758284274,0.0335757771260119,1.72285711378994,0.312078061068016,0.83,-0.192909100870124,3.85335832155209,0.89838952177472,0.116489578548264,0.00525866640175808,0.86,0.232691940696818,0.285649265364671,0.03883444352777
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",1.22389894074735,0.0325285315811925,22914768129.5154,22800158290.225,0,-0.00763328607198469,15943671643.8895,22800158291.4489,0.0815338211555319,0.0205294601682079,0.928,0.0540357132638753,0.291135308790964,0.0119990714129846
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",1.17804180665248,0.032283792941639,1.8862480627362,1.04752045314327,0.692,-0.00836545253067062,4.00411887609224,0.130521353509206,0.0658795806602548,0.0200207084986006,0.972,0.293317931186072,0.289216860576193,0.0122630844430383
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",1.1615075435524,0.0321026848276149,1.81481655187574,0.206360787755336,0.824,-0.235040194677897,3.84271013555139,0.955146755797068,0.0516263260674898,0.0250940489623291,0.976,0.351306565017854,0.271140162288095,0.00700863586528581
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",1.19623619193296,0.0328393190249056,1.33007683522093,0.543732276805862,0.868,-0.119414440809611,3.93211882956466,0.652503915127095,0.104379531598742,0.0451704586008564,0.698,0.486659669454935,0.294282305038753,-0.0123311395759508
