"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,"OK",1.52759188509331,0.060213512155364,15.2877122089604,4.36913315955994,0.88,0.0672270114118158,35.9507944512289,5.89672504465325,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",2,"OK",1.36558651145711,0.0630936642298321,2.32025527405208,0.223337882153948,0.99,0.286871978264877,9.74949918346527,1.14224862930316,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",3,"OK",1.67281618037539,0.0534536054988935,46.2457115510905,12.0667388556785,0.67,-0.0773297777664716,69.3144382218003,13.7395550360538,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",4,"OK",1.52633576911722,0.0628991170373967,5.59745952033629,0.862192748028853,1,-0.354327761347881,19.6803013935822,2.38852851714608,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",5,"OK",1.35506334141408,0.051076327268538,12.4004887220995,4.44217117831507,0.95,-0.138058519806849,38.5615418498541,-3.08710783690099,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",6,"OK",1.30555029795728,0.0546029976150687,4.51434743473186,0.803717595983852,0.91,0.445550241338421,14.6682531376602,2.10926789394113,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",7,"OK",1.570070118024,0.0574073317345905,28.9347483954317,6.74164952608772,0.65,-0.833525773056837,35.7458123488849,-5.17157940806372,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",8,"OK",1.63154347426628,0.0567590868357872,6.2502571008796,3.90443232965052,0.74,0.329613891836351,21.3585638372714,5.5359758039168,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",9,"OK",1.45331720079214,0.0568396670913751,5.7781154559831,2.35836960067499,0.93,-0.0544525996541942,19.6567169747387,3.81168680146713,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",10,"OK",1.50221114392109,0.0645321062035445,9.12988969036965,1.74031919854971,0.76,0.828803464242395,18.8513364087313,3.24253034247079,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",11,"OK",1.71599229759056,0.0578483061580227,8.57261844733383,2.6398895241674,0.98,0.162312678420823,23.7141713804012,4.35588182175796,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",12,"OK",1.42915030485527,0.0633090291099638,68.8925789421807,17.8644299248493,0.84,0.286410114107879,87.0271774858245,19.2935802297046,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",13,"OK",1.4707849990665,0.0628102187626655,15.1097878299832,2.09516178048873,0.77,0.225919103767592,29.8308836876536,-0.624376781422228,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",14,"OK",1.5292938031187,0.0561448149064783,861.947862690174,852.517778340047,0.01,-0.197184270822236,1946.0300887184,854.047072143166,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",15,"OK",1.60046045567462,0.0613853132129508,18.112979456543,3.3511768729326,0.85,-0.598806362702944,29.0856597699277,-1.75071641725799,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",16,"OK",1.51016828338824,0.057274187642785,7.19679628407591,1.57904386315326,0.89,-0.329646548047706,17.0716886982824,-0.0688755797650147,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",17,"OK",1.79892163205693,0.0550780008839529,8.77667201814543,2.14452999753224,0.89,-0.492402077470287,20.7624801817586,-0.345608365475314,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",18,"OK",1.54100261946758,0.0592728290581476,23.2989510420666,3.82613608197282,0.59,-0.218830793994806,50.3574330262988,5.3671387014404,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",19,"OK",1.48673725475732,0.057594038209122,10.2030614407796,3.50721247645109,0.88,-0.68301752432758,19.8123913991482,-2.02047522169377,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",20,"OK",1.17530083166441,0.0652153603842352,4.16597231089979,1.5309646929898,0.97,-0.391819308876864,12.260381675063,-0.355663861325393,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",21,"OK",1.29048197300125,0.0511107857692858,8.57685367269838,3.73887325796774,0.71,-0.29258574661152,18.9261333506182,-2.44839128496649,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",22,"OK",1.34622674842267,0.0539364577541308,36.9570811450308,8.6523531518072,0.65,-0.0122617409838969,60.717597633858,-7.30612640338453,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",23,"OK",1.67078326238836,0.0589965213674102,46.0251075352677,9.93085126258714,0.56,-0.0304348930558394,55.1197431858325,11.6016345249755,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",24,"OK",1.28476938713688,0.0539859702663814,29.7396629683296,12.3879486960985,0.51,0.473081307127661,53.4845626769429,13.6727180832354,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",25,"OK",1.67772259827216,0.0569649786040285,7.30861584523297,1.77007738014204,0.95,0.422978816267048,28.3247361237652,3.44779997841421,NA,NA,NA,NA,NA,NA
