"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",1.52970634485617,0.0624191325525533,6.88414963985828,0.691031900402592,0.616,-0.38532112163003,8.13450401796372,0.838674444453578,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",2,"OK",1.45367645109587,0.0623430499301357,4.40233138230643,0.35182295572559,0.662,-0.107780970962356,7.59530853092215,1.10185349537028,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",3,"OK",1.2743703634641,0.0601662307259155,3.05247875972595,0.662136956414964,0.728,0.0787938481786699,5.80689322518322,1.93650731987906,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",4,"OK",1.42411820988523,0.0580166545707573,42949943835.8876,7814381383.8475,1,-0.312162573595583,91425854515.0598,-7814381382.42338,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",5,"OK",1.44975213672729,0.0613111005316233,7.71203404477898,3.78851598647185,0.51,-0.137399244602288,14.0932191917243,5.23826812319914,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",6,"OK",1.41699869019813,0.0618354267449801,5.51410222389834,0.151919256582742,0.558,0.225005132665966,8.60654020950148,1.56891794678087,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",7,"OK",1.41681011233885,0.0591669038805663,5.99345192225915,0.641644995215021,0.918,-0.779676687736501,7.5939355758258,0.77516511712383,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",8,"OK",1.39585529531459,0.0590533839471208,3.27411366020474,0.336693855658599,0.888,-0.302032641839798,6.66334496341542,1.05916143965599,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",9,"OK",1.33360439249353,0.0557522297524369,3.86778372123412,1.06445539582404,0.77,0.0479209576174787,7.47256613500317,2.39805978831756,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",10,"OK",1.38548819352514,0.0617781929444686,3.2086164354157,0.187444346737148,0.796,-0.0415784425725409,7.11238270843516,1.57293254026229,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",11,"OK",1.41263973405662,0.0630202518837032,4.40915004832933,1.00821474495916,0.796,-0.608591209225941,5.86936240380259,0.404424989097455,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",12,"OK",1.47014044881434,0.0621864220973198,3608875404.7137,3605530327.2072,0,0.362774901600812,3368749507.08377,3605530328.67735,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",13,"OK",1.42037192883164,0.060634872011263,3.42095111373571,0.912040994737825,0.762,0.396133349256034,7.56856571011992,2.33241292356947,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",14,"OK",1.30590478263948,0.0570086981567413,2.25306289774106,0.0507797522779561,0.968,-0.0566850421101356,6.33051520070047,1.25512503036153,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",15,"OK",1.30449438294042,0.0583448530577473,3.56288841646442,0.221494469820656,0.808,0.35046965742388,7.34441545515582,1.08299991311976,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",16,"OK",1.38118035120706,0.0581820700710751,5.1429259078098,2.03073651773691,0.684,0.13870191328121,9.71676372871617,3.41191686894397,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",17,"OK",1.5317229568816,0.0590700761727592,848906244.62777,24949818.4339636,0.236,0.0231897458237661,469385174.104267,24949819.9656865,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",18,"OK",1.36483186912653,0.0619893985923326,6.60800207807743,1.14988407410518,0.638,-0.000441698856829814,7.45639929639836,0.214947795021346,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",19,"OK",1.53452810511965,0.0584550748904229,3.6579828015904,0.315474592215994,0.834,0.289498612485895,6.94640943480726,1.85000269733564,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",20,"OK",1.29540337175807,0.0558626990211562,4.26678582970363,0.144067241074633,0.704,-0.193512661928338,7.23182462840662,1.15133613068343,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",21,"OK",1.22766215052356,0.0586199000193407,2.91660379814055,0.0663343796856967,0.928,-0.340441964764844,7.11602885706791,1.29399653020925,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",22,"OK",1.37270107880753,0.0589764503556176,2.44852268917816,0.0219552013195256,0.928,0.220822563699386,6.87761258636853,1.35074587748801,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",23,"OK",1.54654701235628,0.0609171799559662,23829.3471926339,23190.5910942084,0,-0.278996789381148,17621.0336047937,-23189.044547196,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",24,"OK",1.39087592189363,0.0586416828640676,3.24817462388865,0.652465351686151,0.818,0.0560592316514773,5.88181057332285,2.04334127357978,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",25,"OK",1.43609650699455,0.058687614773429,4.61709638915546,0.0391587635146527,0.62,0.101347827231782,7.47133367826742,1.39693774347989,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",26,"OK",1.35277034722199,0.0587531589054973,3.13279003056368,0.474110728617187,0.848,-0.399826287269005,5.65291354749558,0.878659618604804,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",27,"OK",1.47262063689789,0.0589063191463842,4.74977600725987,0.287013548683472,0.726,-0.72463389594437,6.93694873154987,1.18560708821442,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",28,"OK",1.35967636918534,0.0589865434288106,3.14170930882688,0.308757199803918,0.864,-0.363806424359433,7.38784909961437,1.66843356898925,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",29,"OK",1.31627040249481,0.0567874132661609,3.62596781502071,1.63370862375756,0.716,-0.0387041167585596,5.31374929857112,-0.317438221262748,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",30,"OK",1.33414025705455,0.0611465531026013,5.04021248425313,2.83488771007816,0.672,0.468648052032334,9.26069108307564,4.16902796713272,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",31,"OK",1.33045715727605,0.0586462178169341,4.2563917859662,0.692652336526915,0.674,-0.191666845394075,7.43200579400104,0.637804820749131,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",32,"OK",1.31311767057504,0.0571082034714929,6.10053163090965,1.11957287177218,0.616,-0.00366772894217554,8.17798176288369,2.43269054234722,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",33,"OK",1.33202694355229,0.058547664109949,5.80127245851044,1.3944333420978,0.572,-0.183874811453075,9.03151605620858,2.72646028565009,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",34,"OK",1.29182498123263,0.0577046709075579,4.88803645432196,1.14668178952025,0.638,-0.297566785962425,7.53687802526839,2.43850677075288,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",35,"OK",1.39211968485456,0.0561263422912202,2.88447167890543,0.145441630986886,0.918,-0.327770680412201,6.20602657254565,1.24667805386768,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",36,"OK",1.32282269811989,0.0561198658545776,2.24613136813139,0.393905823361085,0.882,0.258745494129908,6.66862601445912,1.71672852148098,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",37,"OK",1.51096768876972,0.0643557188230157,4.56562812475966,0.969523734258213,0.604,0.0591178928744941,7.92208501955422,2.48049142302793,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",38,"OK",1.28681602068306,0.05947512259511,2.6263069413352,0.342534970307315,0.808,-0.0182687502071332,5.49107570803562,0.944281050375742,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",39,"OK",1.38629588356706,0.0593154922011158,17.568035117991,3.46459075944618,0.638,-0.345663332706991,11.4469929922347,-2.07829487587912,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",40,"OK",1.31966460059548,0.0587913414753622,11.6910762059568,5.03339044773693,0.85,0.0591167867408652,29.4690603296951,6.35305504833242,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",41,"OK",1.60154436448595,0.0583925271438882,6.23421968004644,0.797504360673298,0.622,-0.233231819155238,8.81694225274704,2.39904872515924,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",42,"OK",1.38796421157421,0.0581282976981367,4.96943433248795,1.50293993166046,0.634,0.0209460110392545,8.65551755874057,2.89090414323467,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",43,"OK",1.49273565612273,0.0591040550833654,2.75821029146961,0.310804452547308,0.894,0.130801998378436,7.13597532999069,1.80354010867004,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",44,"OK",1.38064666388771,0.0571696058158537,3.7031109364649,1.10409094075642,0.536,0.0710762606626626,6.27894800857426,0.276555723131287,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",45,"OK",1.35972959820186,0.0607733143608492,3.47382264444958,1.06339616849357,0.67,0.238971571999309,7.37161508919189,2.42312576669542,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",46,"OK",1.2353251005066,0.0538790346323169,1.98244867248385,0.240245818383122,0.996,-0.197754522681128,7.1509804285991,0.995079282123483,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",47,"OK",1.34897265746463,0.0590465704871421,3.26822389964458,0.524429530259226,0.754,-0.175228625133477,6.55517785546942,0.824543127205401,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",48,"OK",1.51695938923147,0.0599514693324719,3.96577277832396,0.885777303022377,0.758,0.0606908439059858,8.0035433391131,2.40273669225385,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",49,"OK",1.37799243482842,0.0590611723316512,6.03244077340037,1.36625707811332,0.538,-0.475099204817764,7.6914560004925,2.74424951294174,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",50,"OK",1.22320584906508,0.059241401466388,2.47550418297656,0.316910969917591,0.874,0.00095223366209096,6.01973364967257,1.54011681898267,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",51,"OK",1.3109225735645,0.0610194300136232,63885592.4143977,63870163.1713913,0,0.347750382851455,51829344.5382137,63870164.4823139,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",52,"OK",1.25931614454367,0.0549256694194352,3.74678973637711,1.12753511950297,0.864,-0.096260398232972,7.37999525861945,2.38685126404664,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",53,"OK",1.27381696955223,0.0575519249244027,5.10904067119949,1.09180006318774,0.664,-0.333717670863285,7.77984207220017,2.36561703273997,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",54,"OK",1.40541413179991,0.0652799728189512,401.013414635911,397.671011311306,0,-0.251379166353413,258.975903491002,-396.265597179506,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",55,"OK",1.4714902306124,0.0603821820282083,3.32035394717885,2.23393707383797,0.756,0.223341429710883,9.58881683691902,3.70542730445037,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",56,"OK",1.37147484912187,0.0572221812939725,2.28538848141517,0.617114958385425,0.968,0.317832366395264,7.0340935654349,1.98858980750729,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",57,"OK",1.45277343235919,0.059344403527014,3.63872566107546,1.70800704381797,0.592,0.251478121276621,7.58653223050042,3.16078047617716,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",58,"OK",1.28680656594749,0.058020713389868,4.11754666561146,0.523954262578367,0.63,0.0993220427564985,7.54782131085978,1.81076082852586,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",59,"OK",1.33617272568316,0.0590147876570295,3.21718429670531,0.115515559275406,0.788,0.0160037664365692,6.73344248669802,1.45168828495856,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",60,"OK",1.44911944824623,0.0542028537691397,7.24718716798759,1.95158622328461,0.536,-0.138518773043462,9.73444460335019,3.40070567153084,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",61,"OK",1.40862585172444,0.0636452988234636,3.64199799350938,0.0436186529294257,0.772,-0.0796438049634027,6.81304006808963,1.45224450465386,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",62,"OK",1.39025076006638,0.0604519711532112,6.71144187787324,2.50930004298057,0.574,0.497142376266873,7.6211393879298,3.89955080304695,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",63,"OK",1.25344901641279,0.0611249780019337,2.63459228730141,0.430065740418861,0.922,-0.530350089022236,6.63935008414753,0.823383275993926,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",64,"OK",1.24375815050804,0.0542499478582994,4.75238711772822,1.84081091180218,0.736,-0.246025103189842,6.73622632927036,-0.59705276129414,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",65,"OK",1.3809976286382,0.0585388573731217,4.01465054553565,0.266487495307935,0.8,-0.219570790737476,8.64184637051337,1.11451013333026,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",66,"OK",1.41193466689322,0.0579905010191792,6.64183628698853,1.88168408114728,0.502,0.325216044627192,9.1004819213686,3.2936187480405,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",67,"OK",1.34854004699722,0.0587823105341069,5.3351462038305,0.389442818859727,0.576,-0.0870341245596313,8.58908450049446,1.73798286585695,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",68,"OK",1.46459247496597,0.062875452558917,4.17150132499791,0.3485424151674,0.9,-0.239952008356529,7.61750482261128,1.11605005979857,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",69,"OK",1.31159453942315,0.063601977132458,2.63341697914143,1.20053679774551,0.814,0.0892233185543165,6.52183147639531,2.51213133716867,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",70,"OK",1.37440611595915,0.0556644385971421,3.30386786411783,0.297064011006774,0.926,-0.124173706965051,6.63948673625559,1.07734210495237,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",71,"OK",1.59535402069892,0.0617946492117129,6.16969549145145,1.35093005340029,0.55,0.248138453369267,8.06354482622304,2.9462840740992,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",72,"OK",1.33046413648539,0.0589008865389677,4.55829322601858,0.238038282316968,0.722,-0.19333376484558,6.36620912127852,1.09242585416842,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",73,"OK",1.28338626993771,0.0591694041402138,3.83927568239888,0.285086806461197,0.608,-0.3020791067963,5.80921464352022,1.56847307639891,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",74,"OK",1.4438620422453,0.0660215246676604,4.1192010440479,0.777799706473894,0.88,-0.0456365616986573,10.8895205214677,2.22166174871919,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",75,"OK",1.25216580584154,0.0644545341305879,2458161507.5252,25871946.2206044,0.096,-0.698712202827396,601045002.335823,25871947.4727702,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",76,"OK",1.34331203689048,0.0596442496472701,2.88741001766548,0.45740152903234,0.844,0.293912002422265,6.64718155980927,1.80071356592282,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",77,"OK",1.27643400667259,0.0573600767400252,1258888079.78368,923139379.070818,0.012,0.180663856961646,571084652.46207,-923139377.794384,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",78,"OK",1.29836271079417,0.0579669360099167,2.35553768610407,0.92187384269687,0.846,-0.348881122901,5.79301439414895,0.376488868097298,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",79,"OK",1.31089190304161,0.0576470115924034,2.28669365772711,0.187968983540564,0.956,-0.0294673257197876,6.18457007558729,1.12292291950104,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",80,"OK",1.35184405093191,0.0602282978533523,3096201.11985283,3078856.45265331,0,-0.252092192332872,3017829.63618949,3078857.80449736,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",81,"OK",1.29865211627989,0.0563029015796888,2.86518668198204,0.479434226256033,0.846,-0.0602413148687272,5.78943118943106,0.819217890023855,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",82,"OK",1.26464181594076,0.0553715016496856,5.66255525496308,1.13092378512722,0.618,-0.432168119258842,6.87619545215869,0.133718030813542,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",83,"OK",1.34095703900886,0.0546563796969859,5.96430900451472,1.26752975618164,0.664,-0.48948073525743,7.30041331157196,0.0734272828272229,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",84,"OK",1.37216472714556,0.0603588008055665,3.28928885700483,0.569690841229814,0.68,0.116502894982132,7.04333462585372,1.94185556837537,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",85,"OK",1.26821780925764,0.0592010071449749,3.23610249005333,0.731031265476595,0.692,0.137708192721734,6.48069973189843,0.537186543781047,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",86,"OK",1.28813576461792,0.0578047989280021,4.19301780429656,1.32142949428392,0.736,0.334399819271454,8.19066061426415,2.60956525890184,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",87,"OK",1.36133419370153,0.0571971822453571,3.46927135846911,0.273973362099869,0.89,-0.140057163074556,6.15205694328511,1.08736083160166,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",88,"OK",1.45220214518372,0.0581668623381776,4.04436532649512,0.379837912076864,0.97,0.0857757164782841,6.48139577398879,1.07236423310685,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",89,"OK",1.4551529805169,0.0608435764514228,5.12675750689776,1.25503933033086,0.598,-0.0571069252301929,6.98149863107096,2.71019231084776,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",90,"OK",1.3981200225574,0.0624219803150031,4.75744860737134,1.56856936096383,0.718,-0.503620329965999,6.93515142046246,-0.170449338406434,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",91,"OK",1.25689792037678,0.0582992587372,3.15726439974801,0.963000476340241,0.832,-0.265361379703298,6.38294036700504,0.293897444036542,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",92,"OK",1.48915843479312,0.0592735091621654,5.56368248188477,0.039226295810395,0.696,-0.32380606138601,7.86676849837966,1.44993213898273,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",93,"OK",1.42388703132848,0.0611272229895922,2.79701108534328,0.807939527126868,0.93,-0.467458173961681,5.79751474650858,0.615947504201608,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",94,"OK",1.36594710374986,0.0573744532255875,5.08412335377355,0.291803708552593,0.636,-0.206150885740602,9.07136727645007,1.65775081230245,NA,NA,NA,NA,NA,NA
