"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,"OK",1.31425869722037,0.0718249053094481,4.12462027798241,0.90191845567682,0.72,0.14815336730827,9.45214416939779,2.21617715289719,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",2,"OK",1.24928256800244,0.073057276340949,3.74910996619557,0.0633894533858152,0.78,-0.205823099778737,7.98556541604349,1.18589311461663,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",3,"OK",1.08672465620507,0.0718448293975101,2.25715464565844,0.290527902599255,0.836,0.330034722886402,5.89779285786117,0.796196753605817,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",4,"OK",1.2184435337695,0.0697435707642148,6.77739699342099,1.48912207285212,0.556,-0.157742835895284,10.0422517051194,2.70756560662162,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",5,"OK",1.23067364672599,0.0715551632018136,3.9612083807174,0.921901648147675,0.97,0.400722663999249,11.4451083194725,2.15257529487366,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",6,"OK",1.17191445326351,0.0710648494699032,2.7111715384991,0.964669156644145,0.666,0.317383435852921,5.53450289081003,2.13658360990766,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",7,"OK",1.18415459913956,0.0661409370524688,2.69856285007523,0.582425483128651,0.794,0.720209465413494,6.30774627534167,1.76658008226821,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",8,"OK",1.20329125006557,0.068922963649783,3.90712480622517,0.9201413787686,0.896,-0.26255131780725,6.7630546592399,0.283149871296972,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",9,"OK",1.13459725539491,0.0654603968839991,381566.01480847,355071.996202094,0,-0.272736161714658,395902.932198456,355073.130799349,NA,NA,NA,NA,NA,NA
"DGP B (nonlinear): Gamma Hurdle",10,"OK",1.17649413280721,0.0705089386418431,4.47398817994144,0.240944148824381,0.704,-0.0175820344948112,8.24962890320699,1.41743828163159,NA,NA,NA,NA,NA,NA
