"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",0.171333463030351,0.0521406606711945,0.560673632376143,0.21764517242772,0.74,0.045834832899253,0.735256636282511,-0.0463117093973687,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",0.182966446214612,0.0518959588134662,0.493667154482738,0.226256350547813,0.741,-0.118316236749226,0.710454156187574,-0.0432899043332008,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",0.168010307270197,0.0510047499313579,0.367396714425174,0.145984063840748,0.682,-0.0818786694435369,0.633012651899931,0.0220262434294488,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",0.184168263683188,0.0506980775852667,0.255378102608876,0.143045350248754,0.874,-0.105949990619155,0.715621821217987,0.0411229134344341,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",0.176707689441377,0.0515601172175193,0.392099615231735,0.123538429963692,0.786,-0.124788491762646,0.754345772384928,0.0531692594776851,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",0.182304947251708,0.0513577795794325,0.548434980438532,0.304312937340409,0.856,0.140780307087466,1.26998478861743,-0.122007990088701,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",0.165033815148593,0.0514459438172991,0.340709718789267,0.107196364534095,0.68,0.0294747635265609,0.669148897560453,0.0578374506144984,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",0.173068896473469,0.0513609819446427,0.270207052085832,0.0893950712569513,0.87,-0.0586182614895915,0.681689961067168,0.0836738252165178,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",0.171396932394439,0.0508263028292133,0.315802907992839,0.241754890441431,0.643,-0.0591031968558854,0.662952794747079,-0.0703579580469918,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",0.177808612592962,0.0522511718839424,0.27037714639266,0.0746734329676563,0.899,-0.121507050982165,0.636044396165459,0.103135179625305,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",11,"OK",0.180582463637289,0.0507821797148383,0.291933392667063,0.00877340828727731,0.942,-0.0562217570073855,0.675036583865364,0.189355871924566,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",12,"OK",0.169993867120637,0.0519835561786089,0.324097714859806,0.0478803910163096,0.815,0.0647787327727182,0.755488673568344,0.122113476104327,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",13,"OK",0.178744184656125,0.0513554973605368,0.357314074654495,0.0143178508846382,0.799,-0.0660937243489634,0.770981222405468,0.164426333771487,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",14,"OK",0.174448830278413,0.0516634812863083,0.284823086075452,0.0712645560499687,0.846,-0.116108242088329,0.657237278262839,0.103184274228444,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",15,"OK",0.17496421539878,0.0510609343726735,0.45418128486614,0.138953134531317,0.684,-0.0674280159656078,0.700790361104612,0.0360110808674637,NA,NA,NA,NA,NA,NA
