"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",0.00467408306989485,0.0195150930905089,0.0182549305483667,0.00520887514707147,0.994,-0.0376984808450441,0.058141770293308,0.00988295821696632,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",0.00533371029145488,0.0208818291898502,0.0192874539537207,0.0124185655073666,0.862,-0.116527278608061,0.0586881017093328,0.0177522757988215,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",0.00475961581892935,0.0198231979523438,0.0115113179777247,0.00519411024040679,0.944,0.211615512139777,0.0410298010550882,0.00995372605933614,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",0.00501604569103412,0.0202182707941816,0.0164303746970398,0.000479690801727747,0.904,0.446770123912881,0.05491447833342,0.00453635488930637,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",0.00492120206200028,0.0201296210323276,0.0121297371701519,0.000947501666815686,0.968,-0.181866100546783,0.0462840306158923,0.00586870372881596,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",0.00502166722975829,0.0205082461890081,0.0167621325342217,0.00574737750700671,0.882,-0.328018217704966,0.0521252194160792,-0.000725710277248419,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",0.00507738768918799,0.0203047786299309,0.0368623824558131,0.0257683518393308,0.652,-0.0730754631217713,0.0941159185864964,0.0308457395285188,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",0.00488714775976002,0.0200776700555447,0.0137232440812444,0.0039940941309013,0.932,0.0553805182010677,0.0520180763542721,0.000893053628858724,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",0.00481855478927927,0.0197118008245733,0.0103862132200202,0.00318550295682243,0.978,-0.246028002626939,0.0446421734140255,0.00163305183245683,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",0.00496262780534208,0.0204526501042761,0.0137960724263981,0.00711799845237306,0.994,-0.114467049160781,0.0553572199703033,0.0120806262577151,NA,NA,NA,NA,NA,NA
