"Scenario_ID","DGP","k","True_ATE","Zero_Proportion","Linear_RMSE","Linear_Bias","Linear_Coverage","Linear_Correlation","Linear_Est_ATE","PathA_RMSE","PathA_Bias","PathA_Coverage","PathA_Correlation","PathA_Est_ATE","Gemini_RMSE","Gemini_Bias","Gemini_Coverage","Gemini_Correlation","Gemini_Est_ATE"
1,"DGP A: Log-Normal Hurdle",0,0,0.613,4.86003420889209,0.422609893679813,0.944,0,0.422609893679813,0.488797245522754,0.0675885401490405,1,0,-0.0675885401490405,0.379789345259854,0.131745373384902,1,0,-0.131745373384902
2,"DGP A: Log-Normal Hurdle",0.5,1.05434138458503,0.565,3.9513816626298,0.110350297418597,0.887,0.22166095366626,1.16469168200363,0.854597173387159,0.143493201474443,0.988,0.7926973804896,1.19783458605947,0.846619551772482,0.14785056147953,0.989,0.782747788093028,1.20219194606456
3,"DGP A: Log-Normal Hurdle",1,2.39871811705891,0.524,1.85138496739476,0.562840152846855,0.893,0.546166187161923,2.96155826990576,1.95868603020698,0.631434325437563,0.962,0.656318478448031,3.03015244249647,1.99222780185837,0.630547028158177,0.962,0.64624714275424,3.02926514521708
4,"DGP A: Log-Normal Hurdle",1.5,4.31188975384162,0.502,6.58439080448579,1.16846030256772,0.865,0.431972363969916,5.48035005640933,2.50074230985169,0.982303387687311,0.965,0.779847316218977,5.29419314152893,2.47527475958623,0.937105069202133,0.965,0.784930064296264,5.24899482304375
5,"DGP A: Log-Normal Hurdle",2,6.63543826707354,0.502,7.20264873144847,0.251020842414597,0.669,0.473758989919534,6.88645910948813,2.48601200190815,0.63734969522784,0.956,0.826230329826972,7.27278796230138,2.52395655529152,0.648717045349081,0.968,0.822128980123926,7.28415531242262
6,"DGP B: Gaussian Hurdle",0,0,0.569,0.403281688322309,0.326551472145698,0.993,0,0.326551472145698,0.315137544040619,0.267862847878515,1,0,0.267862847878515,0.287514284282218,0.248655102855287,1,0,0.248655102855287
7,"DGP B: Gaussian Hurdle",0.5,0.758409414807381,0.579,0.369906093901507,0.188354538158153,0.997,0.591375533597039,0.570054876649228,0.298013438257028,0.168171622078379,0.974,0.736519599206046,0.590237792729001,0.305995647171338,0.157433465591895,0.978,0.690226878362691,0.600975949215485
8,"DGP B: Gaussian Hurdle",1,1.59706033593534,0.558,0.571257324815291,0.184681538872037,0.968,0.683101387156543,1.4123787970633,0.519931369300827,0.187364745640098,0.903,0.774708256420728,1.40969559029524,0.517079928301387,0.172237603261583,0.921,0.771983393198059,1.42482273267376
9,"DGP B: Gaussian Hurdle",1.5,2.45892390150482,0.511,0.833692419836337,0.522706328242558,0.886,0.839047040443808,1.93621757326226,0.667139142032769,0.505317663673162,0.979,0.915816760625192,1.95360623783166,0.689829031842742,0.484762006489892,0.977,0.896864212886293,1.97416189501493
10,"DGP B: Gaussian Hurdle",2,3.38702104995083,0.491,0.767446217988894,0.183310799965054,0.939,0.859638160564108,3.57033184991588,0.797022995418088,0.322129590457667,0.944,0.898565829543081,3.70915064040849,0.776978978726541,0.301796736051187,0.955,0.891023196866829,3.68881778600201
11,"DGP C: Tweedie Compound",0,0,0.227,0.99006277983962,0.053514689020196,0.819,0,-0.053514689020196,0.172119956160887,0.11790291713515,1,0,0.11790291713515,0.118820061105034,0.0838536356389416,1,0,0.0838536356389416
12,"DGP C: Tweedie Compound",0.5,1.00897918068591,0.228,2.70276488809575,0.159398772699064,0.762,0.821641146070551,1.16837795338497,1.23839475402187,0.248236609289701,1,0.900788917338314,1.25721578997561,0.91061438687829,0.01461609338117,0.999,0.909491442294505,0.994363087304739
13,"DGP C: Tweedie Compound",1,2.37451486326428,0.221,2.946108967731,0.594247194282299,0.71,0.786423720235215,1.78026766898199,1.69849729608873,0.0493109532538039,0.999,0.931745385910692,2.42382581651809,1.8048266734318,0.398254951698957,0.994,0.936429838853226,1.97625991156533
14,"DGP C: Tweedie Compound",1.5,5.60595974014289,0.187,8.07512003374602,0.00534661616535279,0.621,0.84920613148211,5.61130635630824,10.5746818199327,4.33719531041028,0.935,0.949670555491366,9.94315505055316,6.49711263990733,2.29846093159629,0.994,0.945262380571162,7.90442067173917
15,"DGP C: Tweedie Compound",2,10.9658214359106,0.201,15.3964179186379,0.198285161615802,0.638,0.914232183407649,10.7675362742948,21.6313352393167,4.40960090128946,0.98,0.835972054170565,15.3754223372001,20.8727208357377,1.84079271407354,0.998,0.83991282095224,12.8066141499841
