DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP B: Gamma Hurdle,1,1.04131593370232,0.0605390965549027,0.996802976542083,0.339703759394242,0.986,0.16623916334165,4.94484905786257,0.701612174308078,1.69829428670931,0.639040832596138,0.998,0.357374569445708,4.70196723226959,1.68035676629846,NA,NA,NA,NA,NA,NA,0.0502248825679002,0.0420884524578652,0.994,-0.0501752780971369,0.224564391958976,0.0184506440970375
DGP B: Gamma Hurdle,2,1.08168351446858,0.0625899902775181,4.23779972372368,0.0247194141678951,0.966,0.0665244444790079,8.14366262984133,1.05696410030069,0.872619843397195,0.321453663190539,0.904,0.35123561406267,3.28049146280105,0.760229851278043,NA,NA,NA,NA,NA,NA,0.0552414975632345,0.0494364182536056,1,0.336575447711188,0.229270532342422,0.0131535720239125
DGP B: Gamma Hurdle,3,1.00459273220035,0.061989410173133,6.98871635397461,0.834222163293719,0.954,0.0101371271132905,7.3560270535546,1.83881489549407,1.80779773583514,0.97641975583687,0.978,0.501686826624977,4.44198300940665,1.98101248803722,NA,NA,NA,NA,NA,NA,0.0328358745368298,0.0208956474926549,1,0.314662713043875,0.21855284243008,0.0410937626804781
DGP B: Gamma Hurdle,4,1.03701276850961,0.0635660014797508,0.893368741372932,0.410505842767709,0.93,-0.111515351653626,3.28432010135501,0.626506925741903,1.72765097756142,0.718642345954479,0.986,0.284839930315912,5.25852335165785,1.75565511446409,NA,NA,NA,NA,NA,NA,0.0273419588100183,0.000900824534271305,1,0.607867237574141,0.372786186931225,0.0644668260140221
DGP B: Gamma Hurdle,5,1.13630313034745,0.0624933389534259,6.70737900361854,1.12068548182405,0.864,0.399889489996668,8.56880476072632,2.2569886121715,1.34241787960244,0.393193659182924,0.994,0.578889464299612,4.30444260811768,1.52949678953037,NA,NA,NA,NA,NA,NA,0.0460544652519018,0.035088119917744,1,-0.149134235386947,0.246797114450972,0.0274052190356819
DGP B: Gamma Hurdle,6,1.06711140769309,0.0594924405387721,6.15567414969265,0.426331465243374,0.898,0.0438280201550527,8.61856183866109,1.49344287293646,0.966526318117661,0.245343341936826,0.836,0.435143444596374,3.59673803608324,0.821768065756265,NA,NA,NA,NA,NA,NA,0.0347334775845065,0.00125713229554977,1,-0.142991156100357,0.299571521538854,0.0582353082432223
DGP B: Gamma Hurdle,7,1.09669941366151,0.0641070511478757,9.74641871285529,0.494652711942113,0.888,0.106732450873752,7.24590815271555,1.59135212560362,0.828390619400748,0.390212904131712,0.926,0.451130734570973,3.20994240746233,0.706486509529796,NA,NA,NA,NA,NA,NA,0.0450021088062058,0.0354894178838954,1,-0.229399870646185,0.239511440443605,0.0286176332639803
DGP B: Gamma Hurdle,8,1.09017566870585,0.0634768842927548,2.80209573355993,0.187100578594752,0.988,0.175746851416942,9.78103700439681,1.2772762473006,1.28722701857674,0.358916678758856,0.994,0.394122258334158,4.69721941171853,1.44909234746471,NA,NA,NA,NA,NA,NA,0.0511688282565646,0.0400527476401312,1,0.00554105849819914,0.290216615308464,0.0234241366526237
DGP B: Gamma Hurdle,9,1.03084480168908,0.0611201041898992,8.12468864673869,1.00451472782245,0.944,0.234185645102285,6.67986805653847,2.03535952951153,1.35576526669805,0.287119530094894,0.952,0.525126730578005,3.96173075458252,1.31796433178397,NA,NA,NA,NA,NA,NA,0.047003874043614,0.0399997498495838,1,0.552029150236484,0.202588947736,0.0211203543403155
DGP B: Gamma Hurdle,10,1.06812638985511,0.0604860253685846,6.61926909612694,0.692811495203232,0.816,0.194712874320872,6.98833725226084,1.76093788505834,1.35150253296519,0.444249858613327,0.978,0.438003709701831,4.2902769476775,1.51237624846843,NA,NA,NA,NA,NA,NA,0.0383938548667932,0.0237477536881234,1,-0.186036214652312,0.214036397262722,0.0367382716804612
DGP B: Gamma Hurdle,11,1.05097897564146,0.0616537347756644,1.27341826334593,1.05727541474255,0.772,-0.0136836713473185,2.99986270303936,-0.00629643910108905,0.661492367146524,0.215151558849769,0.92,0.634328107541181,3.215917442103,0.83582741679169,NA,NA,NA,NA,NA,NA,0.033004136935447,0.0181690027469595,1,0.228393538451016,0.267432167535129,0.0434847320287049
DGP B: Gamma Hurdle,12,1.02502604152068,0.0614808953529731,9.45009294340028,0.29535244425697,0.896,-0.152626684847191,6.91814519910286,1.32037848577765,1.32708033037958,0.0823539468099743,0.964,0.111639925502977,3.64721522211442,1.10737998833065,NA,NA,NA,NA,NA,NA,0.0283969632937233,0.0104607446037304,1,0.411956529160714,0.27437999309801,0.0719416399567035
DGP B: Gamma Hurdle,13,1.09205019577225,0.0620441719790205,10.3788316925674,0.0692400402576548,0.812,0.244897774351257,10.2251674119179,1.02281015551459,0.798459297936616,0.0324007964361197,0.994,0.548154065970475,3.47351951463365,1.12445099220837,NA,NA,NA,NA,NA,NA,0.0285617774513243,0.000672323610474964,1,0.0091231148575629,0.231876683209133,0.0613718483685455
DGP B: Gamma Hurdle,14,1.00826892395016,0.0604188110902955,0.741385487261117,0.298830678364394,0.98,0.446159753577548,3.30925987408594,0.709438245585763,1.34226149805295,0.373888785462809,0.984,0.193112391363501,3.4763614299897,1.38215770941297,NA,NA,NA,NA,NA,NA,0.0474531617602527,0.0393498628952218,1,0.235577235851686,0.257506875227791,0.0997686739855173
DGP B: Gamma Hurdle,15,1.02162541709684,0.0611058087363861,1.2958345242768,1.07332517485674,0.858,0.15101177937763,3.69790441890461,-0.0516997577598949,0.986390211041535,0.126867130992586,0.984,0.209587425669282,4.01355010375041,0.894758286104257,NA,NA,NA,NA,NA,NA,0.0335724937188428,0.00298167993968526,1,0.239970212006277,0.341507642791024,0.0640874886760714
DGP B: Gamma Hurdle,16,1.04374948740396,0.0619602601447845,6.15214482815535,0.859003216129453,0.9,0.210590107382082,6.47309157877036,1.90275270353342,1.11314543680974,0.235120712189227,0.988,0.430511834710615,3.80210001746496,1.27887019959319,NA,NA,NA,NA,NA,NA,0.0278743587052538,0.0163283845210349,1,0.44735502130869,0.242922185210013,0.0456318756237495
DGP B: Gamma Hurdle,17,1.07624016459578,0.0613186769884893,9.37221613601086,0.693509626538489,0.952,-0.173126069001671,7.12231754815148,0.382730538057288,1.02144556700842,0.0383635784205852,0.988,0.413097299053419,3.99022815868843,1.11460374301636,NA,NA,NA,NA,NA,NA,0.0392708715102694,0.0265587114500053,1,0.00315092728911628,0.267169297489664,0.034759965538484
DGP B: Gamma Hurdle,18,1.01814988325792,0.0627559442926202,0.777009334008576,0.159849867708562,0.996,0.530469742411351,4.34120127547111,0.858300015549357,0.83937475079929,0.316241040670246,0.966,0.523138416610309,3.10229990974753,0.701908842587674,NA,NA,NA,NA,NA,NA,0.0443034760022154,0.0375965021490889,1,0.428348978799167,0.205544724713491,0.0251594421435314
DGP B: Gamma Hurdle,19,1.06356487114662,0.0615033413301548,3.97378945507644,0.596333809419605,0.956,0.248276011509655,7.98485994335296,1.65989868056623,1.36542502070637,0.638934631836767,0.99,0.603521322858296,4.32412356531559,1.70249950298339,NA,NA,NA,NA,NA,NA,0.0334737093064332,0.0175736937397307,1,-0.0830115214978125,0.219898428733586,0.0439296475904241
