DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP C: Tweedie Semicontinuous,1,0.0815333872754266,0.0456833651335591,0.288686197991652,0.0383746328457147,0.914,0.529322423889613,0.446514690773319,0.119908020121141,0.101500979683731,0.0452028917134031,0.998,0.805231099316715,0.365377478941976,0.12673627898883,NA,NA,NA,NA,NA,NA,0.0283043789725336,0.0217364482330279,1,0.893162411516971,0.320346751969424,0.067419813366587
DGP C: Tweedie Semicontinuous,2,0.0770992573242969,0.0466445124003248,0.190738785042365,0.0422644643493754,0.93,0.618182962575147,0.532814427464982,0.119363721673672,0.0875514033100729,0.0223853865677342,0.998,0.767842888251669,0.301005505666815,0.0994846438920311,NA,NA,NA,NA,NA,NA,0.0300122616296189,0.0253103273747023,1,0.819878630397794,0.298688585727802,0.071954839775027
DGP C: Tweedie Semicontinuous,3,0.082444495555657,0.0469713359987116,0.43438341970734,0.0324464259143381,0.962,0.523742100419998,0.566431569814376,0.114890921469995,0.125289669386784,0.0636078522080347,0.998,0.836172439418474,0.349261941190936,0.0188366433476222,NA,NA,NA,NA,NA,NA,0.0601287588703909,0.0562825000814784,1,0.755867888886626,0.31298723593307,0.10325383608019
DGP C: Tweedie Semicontinuous,4,0.0779616290440854,0.0481751493558514,0.282200180112056,0.0820996397989825,0.924,0.478555066332816,0.519676803006499,0.160061268843068,0.0801607989033477,0.0460447131723026,0.954,0.815093727022282,0.3508502694782,0.124006342216388,NA,NA,NA,NA,NA,NA,0.113232648489597,0.104629972490915,0.892,0.213906731137784,0.360402735453256,0.152805121846766
DGP C: Tweedie Semicontinuous,5,0.083365280967755,0.0472319219039003,0.170559289369525,0.0745421363734652,0.92,0.613063473663073,0.324390055291623,0.0088231445942898,0.161255787796847,0.0569955078440565,0.988,0.69775635356648,0.264341423851203,0.0263697731236984,NA,NA,NA,NA,NA,NA,0.0512303690821735,0.0457584784329791,1,0.623980729663573,0.240666091066847,0.00147344347092118
DGP C: Tweedie Semicontinuous,6,0.0699917818194697,0.0432960908433896,0.118244117777409,0.0146876700103495,0.908,0.475764522765373,0.195902931244354,0.0553041118091202,0.0862884386386633,0.00481472839847813,0.998,0.792847677838952,0.271513000868111,0.0748065102179478,NA,NA,NA,NA,NA,NA,0.115894835304335,0.112742224019939,0.886,0.433185377376973,0.307630777386459,0.156038314863329
DGP C: Tweedie Semicontinuous,7,0.0738115494155857,0.0464092161243885,0.122706338753846,0.0351298366768487,0.934,0.384323716961542,0.270342916173956,0.108941386092434,0.126594775844786,0.096261401453053,0.72,0.781220947753153,0.405185191534765,0.170072950868639,NA,NA,NA,NA,NA,NA,0.0443109277528894,0.0346586379867244,1,0.386909346011941,0.299300539173142,0.0810678541111129
DGP C: Tweedie Semicontinuous,8,0.0742093327577503,0.0470256823971712,0.0714973851124565,0.0360244687820814,0.998,0.829630226835705,0.447278888537162,0.0381848639756688,0.0677460198347479,0.0247914718001747,0.998,0.89283207716274,0.326789203420035,0.0494178609575756,NA,NA,NA,NA,NA,NA,0.043350389177896,0.0375851781712577,1,0.637971216574019,0.288962423112277,0.0846108605684289
DGP C: Tweedie Semicontinuous,9,0.0757933857102811,0.0456180403190146,0.121993317621985,0.0213477446553751,0.914,0.465780649098069,0.236196597893381,0.054445641054906,0.110360793919228,0.022221120118385,0.964,0.671380971294959,0.199121890385028,0.053572265591896,NA,NA,NA,NA,NA,NA,0.0643436556785334,0.062582117232395,1,0.848959683257001,0.300776612485843,0.10820015755141
DGP C: Tweedie Semicontinuous,10,0.0811531150847782,0.0456769650381445,0.0845829436081668,0.0166979217898609,0.994,0.810134605412872,0.426511694918873,0.0978510368746391,0.0924699057333712,0.0104399959550307,0.992,0.819092290571084,0.26612039311313,0.0915931110398088,NA,NA,NA,NA,NA,NA,0.0189933661410612,0.000594116643096739,1,0.794896951238031,0.245820432500162,0.0450828483950477
