DGP,Seed,True_ATE,True_Hurdle_ATE,Linear_CATE_RMSE,Linear_CATE_Abs_Bias,Linear_CATE_Coverage,Linear_CATE_Correlation,Linear_CATE_CI_Length,Linear_Est_ATE,Smear_CATE_RMSE,Smear_CATE_Abs_Bias,Smear_CATE_Coverage,Smear_CATE_Correlation,Smear_CATE_CI_Length,Smear_Est_ATE,Linear_Hurdle_RMSE,Linear_Hurdle_Abs_Bias,Linear_Hurdle_Coverage,Linear_Hurdle_Correlation,Linear_Hurdle_CI_Length,Linear_Est_Hurdle_ATE,Smear_Hurdle_RMSE,Smear_Hurdle_Abs_Bias,Smear_Hurdle_Coverage,Smear_Hurdle_Correlation,Smear_Hurdle_CI_Length,Smear_Est_Hurdle_ATE
DGP B: Gamma Hurdle,1,1.03946845104642,0.0340762112105508,1.34744068114804,0.218247934724645,0.974,0.133751135977022,4.39195766940165,0.821220516321777,2.11360957900335,0.595929791797183,0.986,-0.0786409806768254,4.90349917214972,1.6353982428436,NA,NA,NA,NA,NA,NA,0.0167973545731918,0.00664869661241843,1,0.568806634578748,0.231861773648129,0.0407249078229692
DGP B: Gamma Hurdle,2,1.11670130545484,0.0342525736893592,6.40744599525594,0.578878245724905,0.896,-0.105853030935947,7.20517081552578,1.69557955117974,1.24938338470708,0.0467236932941126,0.908,-0.0289125584972135,3.61276444342274,1.06997761216073,NA,NA,NA,NA,NA,NA,0.0317322090598634,0.0260022191977904,0.976,-0.231594803677128,0.162070168013791,0.00825035449156876
DGP B: Gamma Hurdle,3,1.0244863748076,0.0337552539442459,8.03183083071908,1.36485354199747,0.976,-0.32641388709572,9.11276132939138,2.38933991680507,2.58870795800188,1.42786730472678,0.928,0.0754159208083236,5.15050023500178,2.45235367953438,NA,NA,NA,NA,NA,NA,0.0259692986511975,0.0113590427843658,1,0.040447562922597,0.200321272805351,0.0451142967286117
DGP B: Gamma Hurdle,4,1.0228337861837,0.0341860009290037,5.30117944511872,0.92310082862068,0.97,-0.325966779857342,7.21360387143064,1.94593461480438,2.82447713470215,1.33898645538555,0.918,-0.092358444099182,5.39837895975333,2.36182024156924,NA,NA,NA,NA,NA,NA,0.0177532738690302,0.00209671880855838,1,0.332346063470375,0.25854985291696,0.0362827197375621
DGP B: Gamma Hurdle,5,1.17320885925167,0.0342092103804721,5.50253687485089,0.734970974693003,0.948,0.113610654837081,6.91750524842464,1.90817983394467,1.20020601062086,0.0209318925856075,0.914,0.289235987432704,3.6644686162516,1.15227696666606,NA,NA,NA,NA,NA,NA,0.0277613624674123,0.0164481494148031,1,0.0606430425879696,0.193212449289717,0.0506573597952752
DGP B: Gamma Hurdle,6,1.12307194693151,0.0335530779584051,4.62562427601413,0.632463841029605,0.898,-0.256588464328231,7.99334106927565,0.490608105901904,1.16497534505385,0.801271837083156,0.602,-0.0380463166781939,2.91663615087315,0.321800109848353,NA,NA,NA,NA,NA,NA,0.0322170040975996,0.0247169290771663,1,-0.148285909366172,0.21742634914423,0.00883614888123887
DGP B: Gamma Hurdle,7,1.1486699191055,0.0362052777828499,9.45890794376305,1.16423657246981,0.938,-0.106673834847628,7.20986652151656,2.31290649157531,1.76165777946332,0.571555934877665,0.974,0.150998451598313,4.29583452026243,1.72022585398317,NA,NA,NA,NA,NA,NA,0.0374022102440329,0.0331787790529282,0.992,-0.139486751535115,0.158712068793273,0.00302649872992169
DGP B: Gamma Hurdle,8,1.09676391690297,0.0351783931348561,0.899301265835298,0.402534260518169,0.986,0.30001008217113,4.07509046994169,0.6942296563848,1.7076136758423,0.544204535694891,0.978,-0.0622171731472703,4.61242646133215,1.64096845259786,NA,NA,NA,NA,NA,NA,0.0192749968742963,0.00942380408886167,1,0.475634487690332,0.223877227370559,0.0446021972237177
DGP B: Gamma Hurdle,9,1.05683891549581,0.0337258855244657,8.45422365587034,1.20405052779928,0.944,-0.0317731319929861,6.01376946662301,2.26088944329508,2.12056907542252,0.719287926458175,0.948,0.120774651416967,4.72215257949439,1.77612684195398,NA,NA,NA,NA,NA,NA,0.0335769357250638,0.0184091206083897,1,-0.187598373117028,0.263011802637816,0.015316764916076
DGP B: Gamma Hurdle,10,1.08736286710881,0.034032008468493,7.98302879346042,0.815510673572189,0.862,-0.0724943688720462,8.94085303007734,1.902873540681,1.6736295607345,0.216412768633104,0.978,-0.123827203255905,4.50459494467323,1.30377563574192,NA,NA,NA,NA,NA,NA,0.0429370795049036,0.0383386144355965,1,-0.106525227689299,0.201862029089826,-0.00430660596710352
DGP B: Gamma Hurdle,11,1.07398336993988,0.0341197418275955,1.11294056721725,0.863010792641784,0.886,0.160756707412118,3.09004498408678,0.210972577298101,1.60058382151991,0.717697353443179,0.948,0.249327960863974,4.19055588784577,1.79168072338306,NA,NA,NA,NA,NA,NA,0.0355704814862469,0.0322849045680111,1,0.499276108564225,0.194276052076777,0.00183483725958438
DGP B: Gamma Hurdle,12,1.07926345236328,0.0351902360046576,1.25333713928134,0.632868714106107,0.932,-0.447656638520716,4.10591559818279,0.44639473825717,1.66437884252162,0.17730892073853,0.972,-0.272872115929373,4.15512532161709,1.25657237310181,NA,NA,NA,NA,NA,NA,0.0475987793142941,0.043258487884588,0.966,0.0799521580325827,0.20470304916806,-0.00806825187993039
DGP B: Gamma Hurdle,13,1.12043025539916,0.034689175152116,9.40438258747546,0.00511839764625061,0.904,0.258304799755798,8.17624531144997,1.12554865304541,1.50696578581247,0.50963306202695,0.988,0.220024638237221,4.36637514417674,1.63006331742611,NA,NA,NA,NA,NA,NA,0.0503726075623439,0.0458702697080032,0.91,-0.304145877551376,0.165209984246923,-0.0111810945558872
DGP B: Gamma Hurdle,14,1.01470586888103,0.03405170678811,2.44077774133698,0.531493434530375,0.954,-0.147622298743565,7.35420142316183,1.54619930341141,2.47594406162834,1.07394938208569,0.914,-0.232612911282308,4.29131775641558,2.08865525096672,NA,NA,NA,NA,NA,NA,0.0194012880855523,0.00244018826497968,1,0.198458769718943,0.209562739564854,0.0364918950530897
DGP B: Gamma Hurdle,15,1.04878798336495,0.033977917385462,1.14262646732796,0.717115610542375,0.952,-0.107818003164321,3.88468962516129,0.331672372822578,1.35141180922618,0.151297889604033,0.9,-0.249731664132031,3.98035228632985,0.89749009376092,NA,NA,NA,NA,NA,NA,0.025904344268219,0.0209862921512089,1,0.355153543898155,0.173539059403069,0.0129916252342531
DGP B: Gamma Hurdle,16,1.08617028055522,0.0351209601484949,5.27177113708141,0.531191013895052,0.94,0.0276650756256316,7.87586085469483,1.61736129445027,1.08170843922489,0.152950931710028,0.954,0.140119641899629,4.35976204899855,0.933219348845188,NA,NA,NA,NA,NA,NA,0.0245411073301743,0.0134283686718701,1,0.329469367471235,0.207111108192773,0.048549328820365
DGP B: Gamma Hurdle,17,1.08842897765904,0.0339027610583577,9.45925975647025,0.0149021235776255,0.956,-0.428685284244759,8.44131871366336,1.10333110123667,1.56087369405544,0.0532450629991805,0.946,-0.0484203867667652,4.48998317412107,1.14167404065823,NA,NA,NA,NA,NA,NA,0.0583237771633916,0.0333021637455614,1,0.491905790605318,0.374547356745728,0.0672049248039191
DGP B: Gamma Hurdle,18,1.04410875663213,0.0358001558234077,1.1677293124326,0.216285839720386,0.978,0.360890129553348,4.59889244384306,0.827822916911743,1.47880717968545,0.237356586783374,0.972,0.186692013475261,3.78672694344517,1.2814653434155,NA,NA,NA,NA,NA,NA,0.0186804865644165,0.000242827709928865,1,0.199068898876872,0.183266023355522,0.0360429835333366
DGP B: Gamma Hurdle,19,1.07643582595262,0.0339799326473204,5.75384829013288,1.1345568627419,0.918,-0.178934997804195,8.2872551108739,2.21099268869451,2.38769387548837,1.08346743466953,0.942,0.202142310522014,4.77032846128597,2.15990326062215,NA,NA,NA,NA,NA,NA,0.0363177012233819,0.0329248346261388,0.984,0.35885232416745,0.165457813625005,0.0010550980211816
DGP B: Gamma Hurdle,20,1.00383585109873,0.0337154098084187,1.05878355747918,0.291652699190275,0.978,0.127719485186471,3.77327861219077,0.71218315190846,1.83516398384449,0.400421857624989,0.962,-0.17455953250164,3.91981836134382,1.40425770872372,NA,NA,NA,NA,NA,NA,0.0290553046440196,0.0233187342053611,0.994,0.156727850476767,0.183578459114983,0.0103966756030576
DGP B: Gamma Hurdle,21,1.06774095199819,0.0344629884472354,4.3585072035393,0.738444200916521,0.954,-0.250208252894272,8.35601549402851,1.80618515291471,2.31011816331174,1.06225050650858,0.922,0.0116089578877126,4.44138182271815,2.12999145850678,NA,NA,NA,NA,NA,NA,0.0284941720871847,0.0226617147258505,1,0.261049686944599,0.194629670589059,0.011801273721385
DGP B: Gamma Hurdle,22,1.13778616670396,0.0349144859080337,8.7805515066254,0.989512630462185,0.922,-0.150727462184783,7.96555782793338,2.12729879716614,2.01977009891548,0.884865139996702,0.958,0.135984022509475,4.63446746073268,2.02265130670066,NA,NA,NA,NA,NA,NA,0.0470819512713101,0.0370464526810467,0.998,0.3393103051129,0.220525028114866,0.0719609385890804
DGP B: Gamma Hurdle,23,1.0966876281678,0.0349794453654165,1.46886583337605,1.17911465010332,0.7,-0.0443192948840225,3.53077085088668,-0.0824270219355153,1.25021498980513,0.346347172959215,0.928,0.037364405524497,4.70320634229785,0.750340455208589,NA,NA,NA,NA,NA,NA,0.0452295312131194,0.0148247582953735,1,0.270907028903535,0.354092607411316,0.0201546870700431
DGP B: Gamma Hurdle,24,0.991900406676338,0.0336322776886749,9.4140225915711,0.628478215328781,0.964,-0.626266568765051,7.54622874738263,1.62037862200512,3.09907187190278,1.14741153354433,0.936,-0.374652506440496,5.19970567825963,2.13931194022067,NA,NA,NA,NA,NA,NA,0.0581436360275197,0.0415816831106227,1,0.752307092025801,0.34271444831211,0.0752139607992976
DGP B: Gamma Hurdle,25,1.09967308009357,0.0338642325851485,1.02293422096784,0.505678260998898,0.988,0.112535775660265,5.06913485443657,0.593994819094674,1.39287691061604,0.111643993512087,0.964,0.0399748340491649,4.24763644988916,1.21131707360566,NA,NA,NA,NA,NA,NA,0.024718726738285,0.00943235076107201,1,0.221014014263015,0.203790751125052,0.0432965833462205
DGP B: Gamma Hurdle,26,1.0144906336,0.0351710091618167,5.86831812895026,0.638173180873267,0.968,-0.567716228665414,7.25173052994616,1.65266381447327,2.07406866096778,0.487029260480961,0.97,-0.343578387066964,4.19215358952957,1.50151989408096,NA,NA,NA,NA,NA,NA,0.0295044080339587,0.0164808504549625,1,0.205991542595417,0.245859811039857,0.0516518596167792
DGP B: Gamma Hurdle,27,1.13451753096768,0.0349648726393554,1.09403775225237,0.811813788564444,0.886,0.217830759025251,2.86248186425132,0.32270374240324,1.28793964072858,0.395375433287948,0.988,0.279635536286977,4.72416208689657,1.52989296425563,NA,NA,NA,NA,NA,NA,0.038498545846938,0.0314211844825067,1,0.275381036835998,0.24201150554435,0.0663860571218622
DGP B: Gamma Hurdle,28,1.06358471737068,0.0340285165184459,0.710079881307301,0.172407952416584,0.992,0.458889332386492,4.89151660823304,0.891176764954098,1.17710704749169,0.226747725286699,0.964,0.204069323287182,4.26497907469596,1.29033244265738,NA,NA,NA,NA,NA,NA,0.0276648127439991,0.0206535867582382,1,0.443048321876,0.2450050031955,0.0546821032766842
DGP B: Gamma Hurdle,29,1.07980502390098,0.034440448332083,1.63067353126247,0.927845043358694,0.628,-0.144929475609153,2.2571913572306,0.151959980542282,1.60926245046005,0.807423544324591,0.564,-0.151285829033344,2.66351594209052,0.272381479576385,NA,NA,NA,NA,NA,NA,0.0334884727907596,0.0300237512097104,0.996,0.576399237750263,0.178612935263797,0.00441669712237259
DGP B: Gamma Hurdle,30,1.17131487653965,0.0351930771404544,5.78191199996351,0.583489433392707,0.882,0.287738401906405,8.65218526706646,1.75480430993236,1.59319946659118,0.373987465325974,0.97,0.487659239430267,5.03949963716786,1.54530234186562,NA,NA,NA,NA,NA,NA,0.0179810947122789,0.00573987401299073,1,0.290960719941626,0.230820175017693,0.0294532031274636
DGP B: Gamma Hurdle,31,1.0873965536331,0.0343594852506107,0.917472331937812,0.59872987620496,0.954,0.308892327030077,3.07574299652161,0.488666677428142,0.99348022970305,0.0189695156728576,0.908,0.22840136822256,3.40886811794184,1.06842703796024,NA,NA,NA,NA,NA,NA,0.0188182432913567,0.00764544731199042,1,0.195299593445891,0.171015519363298,0.0267140379386203
DGP B: Gamma Hurdle,32,1.07666180157973,0.0345681651600246,5.05430638222443,0.252838108851216,0.888,-0.335165633161494,9.01365046359655,1.32949991043095,2.2026763852462,0.60681147249483,0.944,-0.17799944723777,4.28373678951405,1.68347327407456,NA,NA,NA,NA,NA,NA,0.0719906379301813,0.0661144353211425,0.526,-0.0627499792913698,0.181732510771735,-0.031546270161118
DGP B: Gamma Hurdle,33,1.11645537704108,0.0340361971613152,4.81781701599687,0.644436688007965,0.84,0.14734776312852,6.86095601062513,1.76089206504904,1.7878216839367,0.612274149450243,0.972,0.180577221130282,4.30232316298664,1.72872952649132,NA,NA,NA,NA,NA,NA,0.0321889179666338,0.0275071561468459,0.998,-0.19509720768798,0.163144849419789,0.00652904101446928
DGP B: Gamma Hurdle,34,1.06315386697163,0.0334737436624585,8.69239898941738,1.02051347509161,0.874,-0.294653127982126,9.1326766084084,2.08366734206324,1.45704713027675,0.406552878496096,0.966,-0.0886560880702423,3.92271015468814,1.46970674546773,NA,NA,NA,NA,NA,NA,0.0461185364983101,0.0318237663487159,1,0.147594003544159,0.220575641337314,0.0652975100111744
DGP B: Gamma Hurdle,35,1.10847388533326,0.035194613417895,4.85633526234209,1.46955935109883,0.936,-0.0296951176436236,11.3737100959356,2.57803323643209,3.22674665570766,1.89680859909061,0.788,0.0359548116990545,5.59788889286003,3.00528248442386,NA,NA,NA,NA,NA,NA,0.0660004636030991,0.0578713242324211,1,0.338910681762591,0.264810979381967,0.0930659376503161
DGP B: Gamma Hurdle,36,1.05926569840333,0.0342713646767234,4.3411309429896,1.33678893367628,0.972,-0.398860519334512,8.59505465681651,2.39605463207961,2.66428361564236,1.49710436629155,0.87,-0.0348584986890348,5.03421364052841,2.55637006469488,NA,NA,NA,NA,NA,NA,0.0305453365357093,0.024550816593964,1,0.293115365007925,0.215845513567735,0.00972054808275945
DGP B: Gamma Hurdle,37,1.06401356824684,0.0337113015143418,6.17345902276885,1.3889827144592,0.958,-0.0358687403597701,9.16235380929978,2.45299628270605,2.73842818633053,1.15515095300287,0.95,-0.00914351340370209,4.84782671996056,2.21916452124971,NA,NA,NA,NA,NA,NA,0.0344313451006633,0.0225115789443457,0.998,0.182394809942785,0.193909109110699,0.0562228804586875
DGP B: Gamma Hurdle,38,1.11454324542614,0.0347946815218471,0.669684455899563,0.155484528211494,0.996,0.431591194315164,3.51085920946681,0.959058717214649,1.63182229701717,0.791098282262639,0.924,0.0439625408613047,4.08231953817198,1.90564152768878,NA,NA,NA,NA,NA,NA,0.0270219912949933,0.00111451665968484,1,0.39137287555627,0.233196955336954,0.0359091981815319
DGP B: Gamma Hurdle,39,1.0830636503443,0.0345036997336445,1.42036305976776,0.912790043363157,0.822,-0.0847241525742027,3.05870463481178,0.170273606981147,1.49083190422826,0.820926591181865,0.854,-0.179475776177035,4.10153603750275,0.262137059162438,NA,NA,NA,NA,NA,NA,0.0656776110553642,0.0608350651663982,0.77,-0.10504532211813,0.190792456756198,-0.0263313654327537
DGP B: Gamma Hurdle,40,1.03692614849234,0.034019498842934,1.02558849716265,0.53200380516911,0.964,0.235230947702916,3.30684936962664,0.504922343323227,1.29001404830478,0.0922826852014146,0.916,-0.121347965944414,3.3996504143362,0.944643463290923,NA,NA,NA,NA,NA,NA,0.0168650667295377,0.00468521548101993,1,0.446129784408547,0.166156009736059,0.0293342833619141
DGP B: Gamma Hurdle,41,1.1291223115352,0.0347607676266542,0.967129131224071,0.127203152176242,0.994,0.207517183486349,4.83692727995399,1.00191915935896,2.75120036407735,1.39319791397717,0.94,-0.0880845469375619,5.59374411201109,2.52232022551237,NA,NA,NA,NA,NA,NA,0.0382708260900639,0.0157943229728603,0.998,-0.0786123007414546,0.212579240700326,0.0505550905995145
DGP B: Gamma Hurdle,42,1.06037423350851,0.0338268956295775,0.754471957869539,0.165994342449514,0.994,0.536018256049266,5.65772788079207,0.894379891058992,1.23417400377207,0.142413766812595,0.9,0.0628117793624713,3.62718735492689,0.917960466695911,NA,NA,NA,NA,NA,NA,0.0412089918327152,0.0346867455675858,0.982,-0.100486830951984,0.219188364913948,-0.000859849938008359
DGP B: Gamma Hurdle,43,1.10310034064123,0.0341231408889937,3.84593355380418,0.575275568389189,0.966,-0.299456549588129,9.2099234794006,1.67837590903042,1.53773779062131,0.00370428264120666,0.904,-0.00899210666011767,4.64278428183144,1.09939605800002,NA,NA,NA,NA,NA,NA,0.0219427832751215,0.0150753185540675,1,0.368258304565234,0.169503531587298,0.0190478223349262
DGP B: Gamma Hurdle,44,1.05817102998988,0.0344310054524415,5.03773151236409,0.212316184948685,0.956,0.0689652058307359,8.19517436338259,1.27048721493857,1.09297067068716,0.0872223599313908,0.968,0.242012606097304,3.64839432259463,1.14539338992127,NA,NA,NA,NA,NA,NA,0.0261960343575713,0.0093029308171315,1,0.122559145184913,0.186648376375626,0.043733936269573
DGP B: Gamma Hurdle,45,1.06511612147527,0.0342717738748325,1.34683330699383,0.0324714682756856,0.948,-0.112434760727742,4.6140449555468,1.09758758975096,2.78957105759641,1.1728955271694,0.944,-0.0669607312544109,4.99956137645824,2.23801164864467,NA,NA,NA,NA,NA,NA,0.0442901185157778,0.0293703348442476,1,0.222947083835917,0.191015526348826,0.0636421087190801
DGP B: Gamma Hurdle,46,1.11928663730268,0.0357425999234473,0.786975456488354,0.0840892376831428,0.996,0.257355220846906,4.73905392374544,1.03519739961954,1.27772814521156,0.126035662480753,0.934,0.118809335076668,4.12754338813587,1.24532229978343,NA,NA,NA,NA,NA,NA,0.0228567530602747,0.00688131945717247,1,0.0659606994004741,0.199240363555128,0.0288612804662748
DGP B: Gamma Hurdle,47,1.09810708019827,0.0328618183728571,3.29777064164821,0.731462148374632,0.974,-0.196410148925346,7.7912217250373,1.8295692285729,1.68230518147799,0.546861417198387,0.98,0.0962663235304307,4.29550769625549,1.64496849739666,NA,NA,NA,NA,NA,NA,0.0544765951815556,0.0470428232449899,1,0.0435944562870893,0.225671594061903,0.079904641617847
DGP B: Gamma Hurdle,48,1.14193479095087,0.0359045713519685,1.04377783643454,0.448674802091035,0.992,0.371346506587259,4.36167286686041,0.693259988859835,1.64006306246714,0.599614138883643,0.988,0.188631685334666,4.38545950405064,1.74154892983451,NA,NA,NA,NA,NA,NA,0.0265631915863466,0.0191444251368557,0.992,0.18927914005526,0.202969314954339,0.0167601462151128
