"DGP","True_ATE","Metric","BCF_Linear","BCF_Log"
"Log-Normal Hurdle",2.64946425036006,"Est ATE Mean",2.38075172366697,3.04223422589019
"Log-Normal Hurdle",2.64946425036006,"Est ATE SD",0.346213094536005,0.694525856345793
"Log-Normal Hurdle",2.64946425036006,"CATE RMSE",1.53264633210354,2.17343359392536
"Log-Normal Hurdle",2.64946425036006,"CATE Abs Bias",0.268712526693087,0.392769975530126
"Log-Normal Hurdle",2.64946425036006,"CATE 95% Coverage",0.867,0.87
"Log-Normal Hurdle",2.64946425036006,"CATE Correlation",0.55327908175765,0.130059723465248
"Gaussian Hurdle",1.69778286084579,"Est ATE Mean",1.90686459524135,2.49911491933525
"Gaussian Hurdle",1.69778286084579,"Est ATE SD",0.21238462945776,0.468640092568774
"Gaussian Hurdle",1.69778286084579,"CATE RMSE",0.458862335359658,1.25922371376596
"Gaussian Hurdle",1.69778286084579,"CATE Abs Bias",0.209081734395552,0.801332058489452
"Gaussian Hurdle",1.69778286084579,"CATE 95% Coverage",0.963,0.961
"Gaussian Hurdle",1.69778286084579,"CATE Correlation",0.792777841227131,0.29610837135151
"Tweedie Compound",7.20904272326316,"Est ATE Mean",8.18231609079784,3.99084768346704
"Tweedie Compound",7.20904272326316,"Est ATE SD",0.399902458476891,0.528561649181726
"Tweedie Compound",7.20904272326316,"CATE RMSE",10.9254390955962,15.4191870460503
"Tweedie Compound",7.20904272326316,"CATE Abs Bias",0.973273367534685,3.21819503979612
"Tweedie Compound",7.20904272326316,"CATE 95% Coverage",0.63,0.741
"Tweedie Compound",7.20904272326316,"CATE Correlation",0.877928410471346,0.610411939389712
