"dgp","kind","monitored","median_rhat","max_rhat","p95_rhat","median_ess","min_ess","max_abs_geweke"
"Linear DGP A (log-normal hurdle)","Global summary",40,1.00363805484338,1.01718434700265,1.01427057576863,927.789501256637,448.965132801243,4.04778748064753
"Linear DGP A (log-normal hurdle)","Unit-level CATE",50,1.00494111975083,1.04828701805633,1.01224265769661,1125.18421626294,508.004188189108,3.67810768270365
"Linear DGP B (Gamma hurdle)","Global summary",40,1.00212529612675,1.00952850581263,1.0065199895541,1123.86513767022,444.182571364146,2.57443851936257
"Linear DGP B (Gamma hurdle)","Unit-level CATE",50,1.00348467016439,1.02163407878934,1.00962957372868,1562.93018938981,693.126316795954,3.53270789964324
"Linear DGP C (Tweedie)","Global summary",40,1.00426689345749,1.11777108805856,1.03824746940795,1113.11944137069,203.271554752674,4.07506126750753
"Linear DGP C (Tweedie)","Unit-level CATE",50,1.00351335653049,1.02952654444278,1.01148357592915,1488.68434738493,869.020765949405,4.9087394700812
"Nonlinear DGP A (log-normal hurdle)","Global summary",40,1.00840390543189,1.13122208237824,1.05012446067585,667.691877789994,159.058568776424,7.05557414720885
"Nonlinear DGP A (log-normal hurdle)","Unit-level CATE",50,1.00931969936707,1.07362261530749,1.02682274417455,889.643107903556,395.986749581922,4.987217960787
"Nonlinear DGP B (Gamma hurdle)","Global summary",40,1.00310016875281,1.01503527760848,1.01173480603552,888.357549917883,451.029984408581,4.2029226953452
"Nonlinear DGP B (Gamma hurdle)","Unit-level CATE",50,1.00585569497958,1.02618666461884,1.01452050729849,1397.74006976839,531.860450174884,4.13142321621811
"Nonlinear DGP C (Tweedie)","Global summary",40,1.00460760173385,1.1621524348319,1.0738183168048,1085.83175802207,161.053950531622,4.45565362754007
"Nonlinear DGP C (Tweedie)","Unit-level CATE",50,1.0038272132719,1.01639568112739,1.00889253590331,1645.87898167152,965.977166122611,3.43396214662438
