"dgp","replicate","bp_statistic","bp_df","bp_p_value","draw_median_p","draw_fraction_p_below_0.05","residual_sd_ratio","scalar_smearing_ate","local_smearing_ate","relative_change","true_ate"
"Linear DGP A (log-normal hurdle)",1,7.50408201517731,6,0.276731104796261,0.310179915789237,0.11,1.1467566110062,1.14217931436165,1.17711563874998,0.0305874252396652,1.17996553942862
"Linear DGP A (log-normal hurdle)",2,10.4980182503927,6,0.10518603236734,0.209220950433016,0.15,1.22833685049241,0.842304280811262,0.849660981349777,0.00873401774882288,1.22570800112796
"Linear DGP A (log-normal hurdle)",3,3.67979238717882,6,0.719915536884145,0.54848889267569,0.005,1.18259715771922,1.03633758992311,1.03646315014315,0.000121157643278025,1.138352700455
"Linear DGP A (log-normal hurdle)",4,13.3061283651946,6,0.0384241354914339,0.180875653061256,0.175,1.46998992308204,1.45706519828267,1.4974192658324,0.0276954439631747,1.17508941444721
"Linear DGP A (log-normal hurdle)",5,8.65334397661992,6,0.194032716491496,0.246771547002012,0.11,1.34083235092395,1.26476987767234,1.26252862620636,-0.0017720626538853,1.2876001343682
"Linear DGP B (Gamma hurdle)",1,6.48784461147414,6,0.37081269036364,0.4121684810325,0.03,1.20479802172153,1.64536500598004,1.68498368471402,0.0240789603461808,1.04131593370232
"Linear DGP B (Gamma hurdle)",2,9.76698924834174,6,0.134813812939225,0.577787920622594,0.04,1.18834519503118,0.714749517668012,0.700749267215605,-0.0195876318994723,1.08168351446858
"Linear DGP B (Gamma hurdle)",3,14.3851139559829,6,0.0256179292238302,0.140880568287656,0.185,1.13845921475548,1.95035106393266,1.81571448902901,-0.0690319693687202,1.00459273220035
"Linear DGP B (Gamma hurdle)",4,20.9591651372632,6,0.00186586601810795,0.105942104268759,0.34,1.41074265708352,1.78433002959575,1.63204333323418,-0.0853467093170385,1.03701276850961
"Linear DGP B (Gamma hurdle)",5,14.8819191573998,6,0.0211952703331621,0.223401331491809,0.135,1.34574980156632,1.55033200226684,1.48253166701948,-0.0437327844282497,1.13630313034745
"Linear DGP C (Tweedie)",1,46.0671841148253,6,2.87075859015807e-08,0.00244357007395941,0.96,1.85733033875196,3.0985566449971,2.5253288384985,-0.18499833056921,2.70001496934885
"Linear DGP C (Tweedie)",2,40.9511194769631,6,2.96058151645209e-07,0.000276622369013827,1,2.27808575254886,3.76300360762753,3.02878756810861,-0.19511435971804,2.55317675197361
"Linear DGP C (Tweedie)",3,40.9919908313441,6,2.90620518520558e-07,8.01679570477252e-05,1,2.12273551691172,3.92584472688463,3.2297876485193,-0.177301224778111,2.73018673183198
"Linear DGP C (Tweedie)",4,38.8594512691554,6,7.62626235084285e-07,0.000859834008569612,0.995,2.08229591855852,3.40478940796144,2.85385409833437,-0.161811860768486,2.5817345812308
"Linear DGP C (Tweedie)",5,43.1977674081917,6,1.06590258171108e-07,7.52567428561647e-05,1,2.3149644154342,2.73249154854189,2.29722563316167,-0.159292684953586,2.76067895691057
"Nonlinear DGP A (log-normal hurdle)",1,8.69383249192506,6,0.191542912946327,0.302480393750969,0.075,1.23437189478359,1.09716660857155,1.12573092615748,0.026034621690791,1.73338437832028
"Nonlinear DGP A (log-normal hurdle)",2,2.40920411291719,6,0.878487569965619,0.55695032980841,0.01,1.16452279885905,0.685483918101183,0.694071165669723,0.0125272779445018,1.64723122181896
"Nonlinear DGP A (log-normal hurdle)",3,7.08911901721789,6,0.312684150904533,0.328837621660934,0.11,1.20270451939243,1.48796005434201,1.49501121695044,0.00473881176302537,1.44405080599355
"Nonlinear DGP A (log-normal hurdle)",4,5.23256216942755,6,0.51435001780917,0.514882267211069,0.05,1.38119517899129,1.47919740765443,1.51250807808896,0.0225194218581979,1.61373734651575
"Nonlinear DGP A (log-normal hurdle)",5,11.3611512409512,6,0.0778356738508543,0.174177162113674,0.24,1.20754414845417,2.07455473554709,2.09331191054113,0.00904154258870027,1.64278439106285
"Nonlinear DGP B (Gamma hurdle)",1,3.45054922165392,6,0.750536862018555,0.633775280409189,0,1.18780955867254,2.07493476850026,2.17791948902457,0.0496327509123304,1.52970634485617
"Nonlinear DGP B (Gamma hurdle)",2,4.57243045880665,6,0.599697579721447,0.586355838101156,0.015,1.2681710728913,0.277365670412813,0.298837481117022,0.0774133679638558,1.45367645109587
"Nonlinear DGP B (Gamma hurdle)",3,19.9707679775725,6,0.00280276871776094,0.0288429158073775,0.63,1.28475039313769,2.02594199550443,1.99956861877616,-0.0130178340677001,1.2743703634641
"Nonlinear DGP B (Gamma hurdle)",4,12.1756710392612,6,0.0581626010198473,0.10324963667684,0.31,1.527521728139,0.991115349287956,0.984486270638295,-0.00668850366854212,1.42411820988523
"Nonlinear DGP B (Gamma hurdle)",5,7.95353867463743,6,0.241526987599978,0.299490565730962,0.09,1.19649397492303,2.07131408855607,2.12303143664061,0.0249683755690526,1.44975213672729
"Nonlinear DGP C (Tweedie)",1,38.0933984030746,6,1.07710671067099e-06,0.000473242628159264,0.975,1.53715015851701,0.274908411641702,0.205812205875403,-0.251342639367304,1.32614697930154
"Nonlinear DGP C (Tweedie)",2,13.8685153630449,6,0.0311399068948676,0.202977230459064,0.18,1.6279672016426,1.25803796923061,1.10300715036536,-0.123232225621987,1.51329869103964
"Nonlinear DGP C (Tweedie)",3,40.7748536177882,6,3.2069228844419e-07,7.45875631823451e-05,1,2.07871145742074,1.41374196094495,0.954007996062522,-0.325189445869696,1.35041462603936
"Nonlinear DGP C (Tweedie)",4,14.5176520136213,6,0.0243590037641607,0.224961787775935,0.19,1.44010716289834,0.830310231231208,0.738394673568203,-0.110700259018499,1.42316979431712
"Nonlinear DGP C (Tweedie)",5,23.3111238137023,6,0.000698698472573354,0.0178422313526713,0.695,1.46853510295562,1.18834764321788,0.887617408052907,-0.253065874183613,1.39626043257314
